"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"0.029581","0.039557","0.042752","0.056074","0.087261","0.084638","0.123214","0.211879","0.344448","0.622403","0.928919","0.877272","0.630027","0.088416","-0.389799","-0.871698","-1.541353","-1.77166","-1.848005","-1.565172","-1.402913","-1.320423","-1.130169","-0.892123","-0.655814","-0.463383","-0.308828","-0.168328","-0.084557","0.054926","0.168232","0.219457","0.329221","0.454127","0.506791","0.563005","0.558024","0.375994","0.216147","0.188145","0.280657","0.202833","0.13828","0.231613","0.309076","0.243374","2"
"-0.171726","-0.208366","-0.159317","-0.11354","0.019269","-0.000875","0.109955","0.176035","0.252907","0.526308","0.859823","0.981104","0.700992","-0.085357","-0.600994","-1.258627","-1.819859","-1.829492","-1.734667","-1.497533","-1.183521","-1.178029","-0.973948","-0.693582","-0.490048","-0.365004","-0.31491","-0.14008","0.001874","0.043863","0.180908","0.389473","0.35407","0.299843","0.347522","0.384173","0.281686","0.287068","0.389835","0.537776","0.612435","0.572124","0.516507","0.444241","0.420351","0.422848","2"
"-0.009189","-0.003107","0.006421","0.047101","0.064605","-0.018115","-0.176119","-0.286942","-0.300182","-0.428868","-0.341174","-0.07359","0.0302","0.082149","0.098238","0.04384","-0.187734","-0.516826","-0.357101","-0.764341","-0.934569","-0.880823","-1.11352","-1.007821","-0.823609","-0.671754","-0.5086","-0.450382","-0.353245","-0.226962","-0.139813","-0.095238","-0.054337","0.081741","0.179104","0.291173","0.418413","0.399082","0.332153","0.280792","0.319728","0.388458","0.37315","0.476815","0.535781","0.535206","2"
"-0.065164","-0.048552","0.017974","0.096448","0.135357","0.258185","0.296995","0.464128","0.676008","0.99899","1.067308","0.590967","-0.110556","-0.965622","-1.477018","-1.727413","-1.964916","-1.680543","-1.542898","-1.4498","-1.238219","-1.160361","-1.000267","-0.801798","-0.618251","-0.491063","-0.387947","-0.273464","-0.151845","-0.068429","-0.015903","0.011403","0.013331","0.013607","-0.06732","-0.121573","-0.042032","0.028886","0.097515","0.309697","0.477911","0.566849","0.582558","0.631817","0.633498","0.507933","2"
"-0.018243","-0.040542","-0.055102","-0.071207","-0.077021","-0.004825","0.270752","0.514056","0.853765","1.001819","0.953009","0.520392","-0.370007","-0.923953","-1.356916","-1.562776","-2.102798","-2.359046","-1.731089","-1.144466","-0.692238","-0.777914","-1.076887","-0.83428","-0.643516","-0.580544","-0.434451","-0.212785","-0.032006","0.033775","0.02174","0.051399","0.175674","0.279655","0.335945","0.498586","0.608438","0.564293","0.591866","0.563531","0.346746","0.258055","0.22105","0.107816","0.061398","0.076014","2"
"-0.105357","-0.127476","-0.092618","-0.171585","-0.332612","-0.360373","-0.294054","-0.348384","-0.398073","-0.466957","-0.355587","0.02485","0.438729","0.713338","0.354399","-0.135477","-0.618299","-0.967386","-1.157025","-1.277405","-1.358202","-1.238993","-1.191273","-1.212966","-1.137032","-0.79787","-0.59286","-0.473113","-0.374759","-0.229674","-0.161118","0.026395","0.13506","0.222735","0.298652","0.319648","0.26566","0.119715","0.191842","0.346505","0.412536","0.538138","0.662938","0.684095","0.684188","0.642293","2"
"0.084467","0.019926","0.028929","0.068278","-0.013828","-0.041105","-0.054419","0.029012","-0.008688","0.064676","0.289115","0.662603","0.380497","0.008257","-0.319749","-0.961401","-1.268594","-1.473035","-1.805859","-1.992898","-1.572888","-1.082176","-0.828595","-0.712025","-0.607164","-0.423803","-0.332728","-0.320053","-0.271536","-0.214798","-0.164431","-0.065066","0.090563","0.177837","0.173841","0.124896","0.163533","0.200755","0.353173","0.447854","0.441445","0.435296","0.457424","0.504703","0.440174","0.330804","2"
"0.081044","0.109892","0.103021","0.076418","0.09097","0.084093","0.065562","0.116728","0.385081","0.761866","0.633932","0.228211","-0.146263","-0.706641","-0.922523","-1.176771","-1.559438","-1.580174","-1.664952","-1.397246","-1.043632","-1.091357","-1.023237","-0.822143","-0.663828","-0.573973","-0.530039","-0.475345","-0.364361","-0.268923","-0.172817","-0.021908","0.136836","0.187042","0.1982","0.274086","0.408514","0.506559","0.563544","0.571056","0.498821","0.484505","0.523785","0.422805","0.334055","0.396075","2"
"0.161703","0.174698","0.199169","0.188481","0.144907","0.126988","0.14488","0.142176","0.113847","0.184794","0.210393","0.137551","-0.138379","-0.518031","-0.893664","-1.278539","-1.556243","-1.329812","-1.215095","-1.296904","-1.061734","-1.16765","-1.160667","-0.911903","-0.639761","-0.519101","-0.442912","-0.373597","-0.314662","-0.139706","-0.045241","-0.010021","0.204512","0.354379","0.315874","0.252329","0.184537","0.236667","0.227455","0.26837","0.434222","0.543787","0.59797","0.623163","0.592225","0.579725","2"
"0.109478","0.054737","0.022814","0.022627","0.033672","-0.025907","0.018463","0.146063","0.074439","0.242628","0.397727","0.332899","0.180137","-0.292401","-0.454986","-0.864348","-1.128176","-0.987953","-1.171808","-1.271279","-1.249377","-1.417132","-1.408498","-1.04526","-0.79859","-0.661077","-0.566451","-0.435388","-0.306657","-0.122308","0.084897","0.223719","0.41354","0.554298","0.386001","0.238903","0.269896","0.259351","0.367502","0.598731","0.73358","0.812267","0.861238","0.801082","0.75796","0.643077","2"
"0.075835","0.062587","-0.017601","-0.017924","0.010566","-0.070291","-0.173062","-0.097241","0.046606","0.097081","0.252139","0.379222","0.444782","0.338678","-0.014111","-0.405153","-0.760908","-1.183029","-1.30864","-1.140838","-1.158931","-1.202145","-1.104087","-1.068597","-1.0786","-0.903117","-0.606997","-0.478297","-0.408422","-0.286888","-0.166542","0.252616","0.241503","0.227057","0.234209","0.248388","0.315873","0.38904","0.546378","0.746191","0.793895","0.719997","0.672505","0.666156","0.560159","0.317053","2"
"0.132815","0.091443","0.109557","0.112766","0.119122","0.154436","0.19402","0.145319","0.085177","0.236534","0.259108","0.052052","-0.216337","-0.605503","-1.03177","-1.324429","-1.159438","-1.263845","-1.203803","-1.398958","-1.310676","-1.134487","-1.060637","-0.957489","-0.865478","-0.713786","-0.537952","-0.423502","-0.340198","-0.254448","-0.190894","-0.103867","0.006521","0.11904","0.199477","0.236859","0.245068","0.259605","0.32928","0.44267","0.613209","0.59399","0.49303","0.564433","0.581798","0.514106","2"
"0.256858","0.174347","0.10036","0.050649","0.111621","0.070765","0.056874","0.157351","0.377092","0.350795","0.413162","0.33289","-0.087811","-0.580272","-1.155741","-1.525885","-2.02213","-1.840355","-1.575079","-1.46104","-1.098695","-0.999161","-0.983142","-0.851327","-0.642456","-0.482123","-0.355402","-0.280901","-0.202049","-0.152543","-0.05387","0.024763","0.105986","0.19846","0.142633","0.072017","0.166899","0.381086","0.534925","0.598712","0.579771","0.536625","0.532987","0.506188","0.454005","0.483806","2"
"0.178225","0.107978","0.08334","0.041854","0.036242","0.049669","0.078972","-0.027005","-0.158051","-0.20657","-0.329465","-0.406685","-0.754765","-0.953124","-1.05585","-1.026358","-1.218391","-1.326415","-1.015391","-1.260969","-1.209167","-0.92713","-0.697628","-0.626096","-0.691137","-0.580289","-0.34991","-0.217838","-0.161644","-0.151317","-0.067002","0.158256","0.395582","0.551514","0.423285","0.063049","-0.082369","-0.054091","0.013123","0.055745","0.281225","0.564781","0.569444","0.498818","0.492392","0.47671","2"
"0.380454","0.258941","0.158658","0.244179","0.27323","0.500539","0.734509","0.858484","0.895466","0.835412","0.55876","-0.144671","-1.164379","-2.002057","-1.980376","-2.057887","-1.938641","-2.11905","-2.016027","-1.483966","-1.183031","-1.002102","-0.737406","-0.474386","-0.322716","-0.286706","-0.277263","-0.232127","-0.136224","-0.025229","-0.016798","-0.016564","0.027011","0.099807","0.162372","0.217195","0.290873","0.394355","0.488296","0.547077","0.548315","0.48633","0.521751","0.530409","0.447561","0.251333","2"
"0.080909","-0.002259","-0.103232","-0.184137","-0.143045","-0.092798","-0.164996","-0.090459","0.084993","0.144795","0.043267","0.108976","0.203473","-0.026745","-0.362357","-0.798373","-1.279503","-1.277748","-1.311164","-1.255379","-1.13803","-1.009369","-0.89158","-0.640313","-0.466937","-0.43929","-0.371376","-0.261952","-0.187361","-0.155068","-0.082682","0.063678","0.176271","0.163921","0.029988","-0.06665","0.047864","0.168356","0.230388","0.448511","0.684926","0.700556","0.616606","0.591668","0.599577","0.55163","2"
"0.410705","0.260265","0.12148","-0.015736","-0.022431","-0.026684","-0.009392","-0.074808","-0.32905","-0.483565","-0.351652","-0.237007","-0.221065","-0.432041","-0.60077","-0.794628","-1.252353","-1.462415","-1.188993","-1.190725","-1.198731","-1.077443","-1.027956","-1.064084","-0.926433","-0.682328","-0.510936","-0.37591","-0.295766","-0.192509","-0.11764","-0.031923","0.175819","0.293139","0.373576","0.451802","0.460821","0.404412","0.311471","0.255501","0.421023","0.60128","0.558338","0.589968","0.72332","0.568769","2"
