"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-0.000697","0.027852","0.061309","0.082392","0.055946","0.065565","0.100317","-0.012432","-0.254353","-0.901806","-1.745322","-2.154025","-2.103898","-1.672421","-1.150582","-0.837704","-0.132321","0.634947","0.894935","1.601197","1.056062","0.647318","0.588275","0.675382","0.633399","0.498402","0.426671","0.42775","0.450723","0.436357","0.330413","0.267206","0.202598","0.222507","0.185068","0.14162","0.061211","0.007816","0.062266","0.069393","-0.00916","-0.092764","-0.106001","-0.209229","-0.259165","-0.267019","2"
"0.047437","0.161819","0.042271","0.009933","-0.135299","-0.167881","-0.244831","-0.362347","-0.3268","-0.710027","-1.293925","-1.983466","-2.120008","-1.342166","-1.203676","-0.791845","0.532615","0.682603","1.280669","1.165548","0.820713","0.553569","0.46896","0.508296","0.573834","0.595296","0.572777","0.558047","0.557477","0.528496","0.493877","0.31944","0.322844","0.422016","0.296647","0.192778","0.343851","0.374219","0.20947","0.083209","-0.166664","-0.2579","-0.197164","-0.199975","-0.226194","-0.28316","2"
"-0.307887","-0.37339","-0.26891","-0.187576","-0.092479","-0.119625","-0.144647","-0.096043","-0.49206","-0.842805","-1.102227","-2.033885","-2.434037","-2.075585","-1.260536","-0.535154","-0.327633","0.764502","1.065056","1.716795","1.841603","1.16898","1.006165","1.006289","0.861214","0.598052","0.436479","0.474855","0.489837","0.418646","0.34089","0.318043","0.259593","0.190147","0.01741","-0.040146","-0.020981","-0.022341","-0.220277","-0.273937","-0.125229","0.089367","0.043102","-0.129535","-0.233944","-0.243258","2"
"0.070626","0.087783","0.047575","0.063019","0.117757","0.253592","0.403123","0.350988","0.216698","-0.426519","-1.478893","-2.091502","-2.015936","-2.322607","-1.771178","-1.130526","-0.349038","0.596371","1.000201","0.879757","0.663411","0.46704","0.415058","0.487559","0.500895","0.51185","0.495941","0.464898","0.451365","0.493163","0.474413","0.471745","0.452109","0.493708","0.524878","0.575631","0.553803","0.475539","0.398471","0.352043","0.249446","0.101858","-0.035442","-0.085676","-0.183472","-0.101553","2"
"-0.322521","-0.212754","-0.164627","-0.003631","0.269844","0.451413","0.58457","0.766149","0.578099","-0.035967","-1.609358","-2.268241","-2.411957","-2.394527","-1.762336","-0.411374","-1.114413","0.271628","0.145968","0.861805","1.432001","0.940764","0.865806","0.716521","0.627058","0.733978","0.715689","0.632552","0.618069","0.667154","0.725114","0.662799","0.573287","0.433973","0.290221","0.224103","0.175032","0.032126","-0.128698","-0.199596","-0.085572","-0.043545","-0.019929","0.005691","-0.030615","-0.040873","2"
"0.252209","0.249016","0.17773","0.255153","0.233826","0.135994","0.100401","-0.030619","-0.198688","-0.495684","-1.289238","-1.705264","-2.19848","-2.429379","-1.776755","-1.27471","-0.859055","0.300167","0.211668","0.926749","1.757359","1.245836","0.825655","0.479424","0.631751","0.759562","0.643441","0.463823","0.493263","0.572703","0.638343","0.521951","0.424396","0.417207","0.385388","0.306814","0.27853","0.343682","0.311943","0.306069","0.181667","0.077255","0.027997","0.006593","-0.049345","-0.12032","2"
"-0.321066","-0.206328","-0.062667","0.141646","0.239619","0.333452","0.429142","0.38884","0.379187","-0.311735","-1.169568","-1.880681","-2.138319","-2.007047","-2.040694","-1.446402","0.001106","0.310403","0.186795","0.470308","0.653564","0.733174","0.528422","0.475418","0.650386","0.815993","0.876516","0.897981","0.820791","0.69395","0.631596","0.656889","0.63207","0.48029","0.356468","0.248599","0.279533","0.173863","0.079385","0.202215","0.122521","-0.123917","-0.243607","-0.258933","-0.25921","-0.24181","2"
"-0.247856","-0.435772","-0.301081","-0.056497","0.056751","0.027982","-0.012162","0.03803","-0.204374","-0.649238","-1.203631","-1.647318","-1.849646","-1.671479","-1.377722","-1.101377","-0.393791","-0.289452","0.411533","0.440324","0.393553","0.408097","0.596714","0.79573","0.745982","0.657567","0.663279","0.694419","0.755942","0.787136","0.78403","0.719202","0.641149","0.546519","0.587178","0.55217","0.409235","0.292199","0.249793","0.240666","0.08822","-0.003856","0.056142","0.049288","-0.115398","-0.366589","2"
"-0.204292","-0.03001","-0.015784","-0.014709","0.17031","0.046375","-0.02957","0.076861","-0.283162","-0.883059","-1.269571","-1.932602","-1.906355","-1.478763","-1.4272","-1.184284","-0.326632","0.130735","1.147828","1.392819","0.837723","0.539725","0.569567","0.70405","0.757038","0.682955","0.582614","0.66416","0.74111","0.765521","0.706705","0.641722","0.536917","0.595646","0.692156","0.725418","0.640057","0.569057","0.47537","0.485207","0.483678","0.213129","-0.10455","-0.204819","-0.129157","-0.186525","2"
"-0.426807","-0.119171","-0.067657","-0.070709","-0.031679","0.102309","0.100452","-0.35459","-0.451185","-0.777132","-1.658629","-1.791391","-1.744573","-1.332392","-1.140477","-0.885318","0.069489","0.461069","1.263305","1.153019","0.723942","0.559993","0.773261","0.729766","0.501798","0.401854","0.470745","0.552995","0.61213","0.550083","0.524833","0.466019","0.376518","0.392045","0.609013","0.679269","0.590309","0.648331","0.433406","0.234927","0.123361","-0.217931","-0.291526","-0.23542","-0.430116","-0.519959","2"
"-0.19467","-0.103385","0.1247","0.200561","0.06194","0.131933","0.439835","0.434858","0.057228","-0.541442","-1.188772","-1.643776","-2.056905","-2.164711","-1.752904","-1.357293","-1.030074","-0.312715","-0.045458","0.205778","1.277451","1.451927","0.815947","0.510254","0.527997","0.714057","0.763505","0.65184","0.593402","0.545742","0.561564","0.559374","0.517915","0.572496","0.501027","0.27","0.245292","0.304287","0.204141","0.027571","-0.019546","-0.162204","-0.284827","-0.316408","-0.205645","-0.110718","2"
"-0.081623","0.026841","0.071105","0.23093","0.202504","0.045876","-0.104913","-0.40278","-0.473082","-0.761308","-1.140773","-1.755391","-1.755195","-1.487888","-1.61214","-1.149999","-0.41229","0.080318","0.156888","0.421857","0.753538","0.87435","0.871778","0.725266","0.694399","0.749584","0.801512","0.776492","0.737646","0.691004","0.674219","0.739141","0.71971","0.664101","0.567438","0.518085","0.547951","0.581072","0.43124","0.304287","0.279069","0.265396","0.126362","-0.063468","-0.131845","-0.196905","2"
"-0.452013","-0.263291","0.037028","0.153513","0.003836","0.005993","0.090457","0.081107","-0.201573","-0.493042","-1.033888","-1.636534","-1.79205","-1.786483","-1.471108","-1.149319","-0.154658","0.100928","0.37061","0.840017","0.802777","0.709825","0.581444","0.643499","0.69945","0.756263","0.743429","0.684791","0.766582","0.783095","0.797683","0.80985","0.736516","0.651708","0.639642","0.643825","0.683079","0.64234","0.47697","0.306407","0.276964","0.302","0.156551","-0.072748","-0.223873","-0.259724","2"
"-0.035469","-0.028381","-0.064296","0.024657","0.247255","0.242687","-0.146609","-0.454031","-0.64326","-0.951222","-1.314081","-2.10243","-2.084765","-1.582983","-1.05974","-0.765059","-0.005074","0.778308","0.858864","0.881217","0.975917","1.321403","1.359372","1.130729","1.036372","1.102772","1.131169","1.102317","1.006991","0.86495","0.692954","0.543761","0.394124","0.310613","0.371765","0.325433","0.288518","0.364207","0.301099","0.292401","0.207953","-0.012116","-0.264437","-0.547978","-0.484206","-0.223171","2"
"-0.394465","-0.054193","0.118092","0.02515","0.052049","0.515566","0.64518","0.179407","0.167017","-0.173648","-1.389201","-2.029827","-2.287556","-2.273737","-1.683203","-0.551257","-0.196675","-0.217627","0.399682","0.36069","0.558883","0.738293","0.948536","1.158937","1.136822","1.078294","1.037724","0.950638","0.907893","0.892643","0.833373","0.692356","0.627821","0.748335","0.663647","0.452386","0.38668","0.206919","-0.030483","-0.230125","-0.303643","-0.404616","-0.478721","-0.483694","-0.705413","-0.731633","2"
"0.153813","0.168023","0.178974","0.178262","0.227043","0.260529","0.131242","-0.075859","-0.362496","-0.725817","-1.306458","-1.871159","-2.17286","-1.833827","-1.775218","-1.262757","-0.091554","0.774528","1.285048","1.511879","1.294154","1.04307","0.91465","0.825242","0.780336","0.788991","0.807984","0.734219","0.649794","0.587005","0.578827","0.50846","0.339886","0.272149","0.29349","0.227104","0.232478","0.277474","0.245138","0.177282","-0.073568","-0.354926","-0.417302","-0.454442","-0.378368","-0.260512","2"
"-0.374734","-0.214807","-0.022794","0.047009","0.177057","0.049787","-0.145445","-0.120693","-0.337349","-0.800225","-1.306086","-2.118603","-2.304028","-2.072576","-1.21358","-1.132054","-0.837911","0.177528","0.697005","1.269992","1.593432","1.264277","0.889236","0.752768","0.879295","0.956945","0.873728","0.77244","0.682019","0.731168","0.810955","0.820023","0.778989","0.696474","0.624224","0.659847","0.645402","0.547269","0.461521","0.454092","0.304067","0.10832","-0.056939","-0.232762","-0.302396","-0.379875","2"
"-0.188559","-0.21227","0.013845","0.040668","-0.119799","-0.183874","-0.218126","-0.304144","-0.308055","-0.534047","-1.086838","-1.792137","-2.186204","-2.120675","-1.558608","-1.415031","-0.797206","0.233719","0.864291","1.701057","1.63338","1.12742","1.048179","1.183532","1.250567","1.024609","0.894874","0.953243","0.999021","0.937407","0.852649","0.815869","0.766429","0.743558","0.77108","0.735369","0.694194","0.819459","0.768837","0.691605","0.492405","0.219117","0.227934","-0.164273","-0.803509","-1.088975","2"
"-0.033605","0.011966","0.115978","0.073777","0.035545","-0.069167","-0.014033","-0.152715","-0.561125","-0.911593","-1.357801","-1.927267","-1.946791","-1.765055","-1.101276","-0.396658","0.101417","0.406572","0.73881","1.074407","1.077794","0.910708","0.861142","1.006861","1.133163","1.130591","1.011258","0.884902","0.946631","0.999742","0.941159","0.798275","0.683138","0.715412","0.72076","0.402808","0.347224","0.593781","0.32185","-0.112171","-0.256796","-0.01374","-0.337472","-0.587463","-0.50652","-0.543294","2"
"-0.309115","-0.289768","-0.207248","-0.083595","-0.075447","-0.14275","-0.169143","-0.274483","-0.537176","-0.720465","-1.452251","-2.013234","-2.180532","-1.950788","-1.327081","-0.764658","-0.202743","0.494049","1.144477","1.4772","1.198056","1.120223","1.054886","0.983194","0.965019","0.996334","0.852387","0.798588","0.800054","0.844145","0.860349","0.859407","0.999461","1.07487","1.128052","1.143267","1.143874","1.271575","1.185972","0.891984","0.104874","-0.612296","-0.861848","-0.81563","-0.822455","-1.159296","2"
"-0.308928","-0.340772","-0.303583","-0.332496","-0.360929","-0.401138","-0.409802","-0.375698","-0.446522","-0.795255","-1.189847","-1.676288","-2.178137","-2.102995","-1.414412","-1.106529","-0.809189","0.734091","1.299673","1.951513","1.776724","1.534231","1.442565","1.34494","1.403988","1.281625","1.071476","0.983003","0.905221","0.825189","0.747675","0.65457","0.608215","0.572856","0.586799","0.548261","0.46295","0.291476","0.201648","0.12975","-0.008022","-0.206145","-0.321581","-0.355411","-0.50189","-0.500411","2"
"-0.151557","-0.289743","-0.314284","-0.137005","-0.227206","-0.257731","-0.421712","-0.637252","-0.594584","-0.776176","-1.415274","-1.60116","-1.457089","-1.187921","-0.983728","-0.835632","-0.727098","-0.106627","0.628519","0.70478","0.565114","0.331245","0.425506","0.46546","0.438902","0.525654","0.58136","0.679644","0.714057","0.754626","0.782783","0.746159","0.730681","0.671412","0.711813","0.777856","0.735909","0.639621","0.525635","0.34191","0.267505","0.35188","0.326573","0.057854","-0.031471","0.107838","2"
"-0.217525","-0.133494","-0.013568","0.044001","-0.048829","-0.18764","-0.365955","-0.433083","-0.451731","-0.776205","-1.305943","-1.342716","-1.571586","-1.218686","-0.836025","-0.949031","0.039713","0.160166","0.489875","0.567379","0.651291","0.754516","0.741092","0.624955","0.666064","0.754589","0.817555","0.839361","0.835552","0.741937","0.663231","0.700787","0.771545","0.749024","0.617135","0.503835","0.537986","0.681285","0.678701","0.366583","0.100023","0.233095","0.293374","0.000817","-0.212765","-0.163448","2"
"-0.099415","0.135568","0.1255","0.057477","0.116907","0.296235","0.152951","-0.084753","-0.363241","-0.695606","-1.401578","-1.663389","-1.530379","-1.239146","-0.610882","-0.593404","0.25535","0.777362","1.004806","0.670053","0.370331","0.44344","0.66166","0.734601","0.776736","0.753518","0.795124","0.82882","0.817782","0.78431","0.706426","0.642931","0.624159","0.585671","0.512538","0.427188","0.356707","0.357899","0.215375","0.172909","0.2318","0.142264","-0.012811","-0.085011","-0.257265","-0.286479","2"
"-0.291648","-0.146449","0.121381","0.26592","0.153188","0.120751","0.115665","-0.027805","-0.404024","-0.737625","-1.168539","-1.649765","-1.860676","-1.752481","-0.978107","-0.147736","0.14357","0.789778","1.253616","1.252451","0.727137","0.659578","0.779324","0.842711","0.815148","0.687105","0.727706","0.843658","0.873695","0.828163","0.644872","0.611437","0.613951","0.544089","0.448275","0.351934","0.312198","0.357326","0.434197","0.266314","0.086678","0.090059","-0.022518","-0.145609","-0.0493","0.049177","2"
"-0.46546","-0.241258","-0.149522","0.014829","0.142697","0.239613","0.228361","0.338399","0.202312","-0.369959","-1.023559","-1.232324","-1.475379","-1.69258","-0.432344","-0.166871","0.355668","0.731933","0.542163","0.34984","0.364119","0.455176","0.643147","0.751691","0.623398","0.591092","0.669012","0.760349","0.782617","0.724952","0.658836","0.634772","0.657633","0.609636","0.552425","0.564443","0.539543","0.401032","0.403812","0.306479","0.202922","0.266983","0.219826","-0.116032","-0.27305","-0.187887","2"
"-0.474651","-0.483247","-0.27509","-0.037532","0.037796","0.014634","-0.026697","-0.250955","-0.405894","-0.534091","-1.09735","-1.635713","-1.942767","-1.942471","-1.176138","-0.329639","-0.24447","-0.043484","0.562689","0.93094","1.136361","1.071581","0.812113","0.713682","0.7338","0.869099","0.902278","0.883404","0.841623","0.774014","0.81175","0.829268","0.794527","0.684359","0.46929","0.360545","0.31782","0.328408","0.353656","0.309935","0.074605","0.068495","0.124778","0.005367","-0.212888","-0.215977","2"
"0.009637","0.091148","0.118989","0.134201","0.110743","0.134418","0.135174","0.040178","-0.144812","-0.559287","-1.884529","-2.154657","-2.149672","-1.255865","-0.474014","-0.459665","-0.557808","0.208036","0.448368","0.768188","0.83951","0.700215","0.862206","1.112758","1.164852","1.096949","0.960393","0.956362","0.911006","0.931772","0.840982","0.626996","0.457974","0.427917","0.576943","0.566936","0.213553","-0.002443","-0.020788","0.028505","-0.065874","0.006642","0.046902","-0.395473","-0.630812","-0.704492","2"
"0.138371","0.181581","0.023401","-0.091225","-0.091417","-0.19508","-0.133845","-0.172174","-0.57027","-0.639473","-1.446379","-1.937714","-1.516333","-1.158319","-1.261504","-0.742481","0.076127","0.741947","0.815809","0.570857","0.547968","0.626444","0.703833","0.747538","0.767159","0.760546","0.783299","0.841167","0.909094","0.866516","0.813881","0.810177","0.809006","0.771805","0.756044","0.767856","0.68529","0.520378","0.48291","0.340243","0.204216","0.217898","0.175842","0.027478","-0.257833","-0.370362","2"
"-0.477483","-0.212155","0.015259","0.243765","0.304044","0.317382","0.312402","0.138553","-0.319679","-0.788582","-1.263845","-1.562483","-1.95594","-1.734358","-1.077985","-0.917947","-0.326431","0.032591","0.572766","0.985396","1.137375","1.027661","0.875626","0.91103","0.966244","1.032109","1.013926","0.929645","0.941573","0.993465","1.020629","0.944698","0.824114","0.723933","0.696459","0.625434","0.435069","0.304731","0.268612","0.346265","0.364219","0.147376","0.114155","0.058237","-0.230891","-0.420154","2"
