"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"0.021607","0.084708","0.151618","0.12944","0.045963","0.153609","0.261495","0.128064","0.438924","0.963674","2.370352","4.912704","4.082161","0.965703","0.446915","0.644229","-2.774395","-5.011675","-5.090693","-2.70537","-0.935018","0.458","1.214679","1.229403","1.18946","1.507576","1.638273","1.23077","0.810486","0.511452","0.508025","0.757128","0.678541","0.346201","0.166088","-0.066698","-0.205642","0.173545","0.140389","-0.418797","-1.172174","-1.201364","-0.679174","-0.263907","-0.298554","-0.398971","2"
"0.513588","0.552076","-0.258963","-0.665924","-0.405086","0.35944","0.780648","0.453972","0.565112","0.765085","1.641152","3.138638","3.577184","3.912246","1.408469","-1.910591","-4.005548","-4.128403","-3.213866","-2.937797","-2.000904","-0.542308","0.505556","0.787853","0.780064","0.92082","1.27056","1.483892","1.196752","0.63517","0.491312","0.380925","0.576663","0.598957","0.578122","0.215628","-0.306301","-0.868223","-1.245028","-1.384083","-1.062779","-0.423928","-0.09951","-0.094189","-0.020956","0.205103","2"
"-0.494642","0.331351","0.909345","0.700749","0.473921","0.66044","0.909556","1.469079","2.371608","3.436274","3.968899","3.373262","3.380742","3.439547","2.695541","0.751788","-1.437799","-2.383626","-2.736386","-2.263123","-1.650008","-1.620104","-1.219737","-0.917733","-1.148108","-1.382403","-1.436871","-1.189881","-1.006929","-1.135896","-1.626282","-1.796952","-1.256858","-0.899324","-0.869543","-0.916375","-0.491401","-0.089431","0.048376","0.099929","-0.131678","-0.847303","-1.173351","-0.887316","-0.416682","-0.103094","2"
"-0.861148","-0.284637","-0.188369","-0.169532","0.126498","0.834199","1.467184","0.815247","0.309462","1.240247","2.677113","3.19476","2.169659","0.669088","0.181223","-1.16102","-3.145787","-3.251573","-3.460237","-3.10453","-2.135246","-0.883439","-0.047637","0.019079","-0.032991","0.406178","1.127787","1.230776","0.996936","0.977315","1.167291","1.643972","1.832951","1.387805","0.608956","0.04481","-0.158111","-0.371997","-0.737322","-1.100695","-1.051633","-0.889264","-0.603989","-0.381391","-0.028102","0.336259","2"
"0.264617","0.772283","0.480928","0.254517","0.535761","0.457028","-0.063404","-0.575381","-1.214643","-0.122361","1.685818","0.248174","-2.315585","-0.84859","1.912736","1.759434","-3.503384","-4.526875","-5.247612","-4.505618","-0.666479","1.332984","2.613135","3.077375","2.694778","2.213363","1.978848","2.091048","2.118211","1.412882","0.524955","0.196779","0.487751","0.564073","0.007946","-0.398535","-0.13789","0.371869","0.663098","0.368928","-0.198762","-0.220485","0.031854","-0.465777","-1.39689","-1.521199","2"
"0.425798","-0.25988","-0.173701","0.325293","0.211195","-0.173654","-0.355375","-0.883092","-0.448562","0.492068","-0.329481","0.423319","1.564865","0.792071","1.90134","1.98874","-1.569123","-3.550434","-5.073682","-4.040421","-1.439259","-0.293044","0.350639","0.792737","0.916927","0.686207","0.552625","0.691343","0.974865","0.907998","0.841731","0.587773","0.768724","1.130372","1.019065","0.673356","0.098375","-0.195769","-0.3862","-0.400657","-0.098677","-0.144301","-0.388167","-0.379912","0.015099","0.389309","2"
"0.694527","0.433914","0.676917","1.024662","0.806244","0.50916","0.517332","0.382758","0.497249","0.040842","-0.151547","1.38188","2.609701","1.159604","-1.063338","-0.648767","1.543741","1.628466","-0.884974","-2.028493","-2.033547","-1.812628","-1.269792","-0.165867","1.024481","1.405924","1.25853","1.052119","1.024237","1.033984","1.119458","1.011369","0.751771","0.615164","0.774239","0.635012","0.079335","-0.850344","-0.857436","-0.920333","-1.117381","-1.187798","-0.790095","-0.147457","0.249702","0.565658","2"
"-0.660561","-0.771835","-0.608616","-0.13806","-0.154301","-0.518307","-0.940401","-0.202873","0.621935","0.418137","1.517784","2.161053","-0.899276","-2.465793","-0.839011","2.688643","2.023229","-1.34711","-2.342498","-2.383377","-1.681902","-0.505601","0.425062","1.068321","1.38044","1.503482","1.78485","1.925948","1.805945","1.808054","2.085578","1.956935","1.550342","1.177972","0.740699","0.221547","-0.153674","-0.524937","-0.789697","-0.745206","-0.559822","-0.575858","-0.898808","-1.187804","-1.150106","-1.230094","2"
"0.623626","0.746486","0.810751","1.037122","1.264074","1.060568","1.165101","1.428214","0.945775","0.872562","1.842499","1.162234","1.699503","3.243055","1.381722","-1.756611","-3.886405","-4.514193","-3.104163","-1.833238","-0.99501","-0.357939","0.374279","0.74064","0.764299","0.836306","0.906402","1.056364","0.970709","0.722058","0.692593","1.082581","0.93791","0.969798","1.110866","0.714021","0.074591","-0.329944","-0.323869","-0.461397","-1.058215","-1.527804","-1.42009","-0.850461","-0.593384","-0.83183","2"
"0.676457","0.950086","1.031138","0.970674","0.814932","0.770437","1.229743","1.13013","1.185949","1.299875","1.138256","1.386988","1.9391","1.990611","-0.299132","-2.198626","-2.653415","-2.352048","-1.094742","-1.019259","-1.300561","-1.304094","-0.623136","-0.129819","0.056038","0.364682","0.879119","1.031299","0.926189","0.820905","0.614751","0.864067","1.252795","1.221942","1.26745","1.506078","0.319258","-0.896543","-1.296254","-1.138972","-0.736131","-0.554246","-0.629855","-0.715663","-0.475104","0.378204","2"
