"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-0.057051","-0.115908","-0.147539","-0.227918","-0.408418","-0.579538","-0.737066","-1.023199","-1.013378","-0.965827","-0.8338","0.072333","1.259171","2.55178","3.653956","4.745067","4.938175","5.104418","4.429518","3.728465","2.909553","2.298583","1.67149","1.148038","0.81269","0.703209","0.637277","0.485672","0.435136","0.26608","0.149557","0.175345","0.027067","-0.399275","-0.609234","-0.967654","-1.521864","-1.652298","-1.425613","-1.329035","-1.621318","-1.571101","-1.217416","-1.205647","-1.389542","-1.483295","2"
"-0.454939","-0.218802","-0.317516","-0.517948","-0.941887","-1.161249","-1.55423","-1.906537","-1.858086","-1.797807","-1.558079","-0.757371","0.32468","2.518747","3.940466","3.877985","5.038029","4.8154","4.304705","3.542097","2.705982","2.279604","1.863478","1.385368","0.946071","0.715546","0.766897","0.703215","0.470563","0.47984","0.508427","0.156501","-0.026747","-0.184573","-0.357352","-0.626353","-0.683787","-0.67951","-0.527293","-0.740305","-0.949902","-1.032736","-1.118606","-1.190024","-1.335604","-1.61925","2"
"-1.143634","-1.182442","-1.080146","-1.065141","-1.213528","-1.319128","-1.474683","-1.945719","-2.461326","-2.463059","-2.019372","-1.550466","-0.439882","1.034547","2.531348","3.615274","3.867919","4.103522","3.090535","2.779073","2.231735","1.214526","1.050181","0.824007","0.679059","0.544617","0.444421","0.61702","0.646226","0.719678","0.65848","0.75907","0.920147","0.932524","0.965326","0.871078","0.438545","0.159495","0.114175","0.396091","0.40161","0.182562","0.226868","0.216367","0.12931","-0.022787","2"
"-1.551205","-1.391818","-1.506037","-1.754484","-1.810847","-1.97093","-1.999425","-2.208658","-2.427308","-2.572965","-2.723756","-1.807837","-0.620395","1.255532","3.22523","4.234322","5.155775","5.021227","4.670953","4.37488","3.639318","3.135504","2.837983","2.377436","1.981536","1.769907","1.779131","1.679446","1.29463","1.044402","0.839277","0.627528","0.368874","-0.077627","-0.289873","-0.369624","-0.576484","-0.579718","-0.395345","-0.573753","-0.892192","-1.132488","-1.201495","-1.484854","-1.86181","-1.870061","2"
"-1.7625","-1.701303","-1.657322","-1.517923","-1.298062","-1.031992","-1.114455","-1.355232","-1.703969","-1.650541","-1.141788","-0.075459","1.259432","2.654462","4.454144","4.819465","4.458369","5.764168","5.208153","3.896645","2.187331","1.448377","1.884229","1.640187","1.203897","1.181994","1.250105","1.106106","0.7001","0.213545","-0.136446","-0.252056","-0.40579","-0.472828","-0.314014","-0.560802","-0.986485","-0.979936","-1.177067","-1.499682","-1.529568","-1.669188","-1.770573","-1.699022","-1.800185","-1.767795","2"
"-1.166955","-1.20849","-1.248934","-1.21246","-1.079433","-1.21894","-1.418209","-1.753103","-1.924886","-1.375311","-1.095818","-0.236748","0.875368","1.28698","2.621655","3.867155","4.748855","4.992192","3.938617","3.007704","2.943901","2.414089","1.839996","1.625837","1.655677","1.376122","1.138121","1.123729","1.087341","0.93767","0.941503","0.711495","0.633843","0.466224","0.22148","-0.155312","-0.466874","-0.233572","-0.148618","-0.250558","-0.092399","-0.153897","-0.392946","-0.556586","-0.726786","-0.841488","2"
"-1.445761","-1.154523","-0.945591","-1.126292","-1.367586","-1.507091","-1.668452","-2.131464","-2.183588","-2.190537","-1.830665","-1.267313","-0.070368","1.474637","2.120392","2.705413","4.040628","4.413441","4.214093","4.563827","4.264356","3.489067","2.727426","2.15246","1.816958","1.218437","0.635421","0.347543","0.169963","-0.007544","0.061114","0.062764","-0.29346","-0.760757","-1.049369","-1.005242","-1.282919","-1.342234","-1.266009","-1.354427","-1.318743","-1.080764","-0.986462","-1.117921","-1.134313","-1.116385","2"
"-1.778958","-1.762369","-1.666544","-1.475927","-1.351737","-1.217452","-1.229672","-0.936759","-0.775608","-1.053623","-0.826284","0.678804","1.790047","3.249684","4.211943","3.937712","5.401894","4.436043","4.476924","3.889111","2.886763","2.398705","2.13086","1.803916","1.425261","1.13062","1.030786","1.058809","0.932664","0.77792","0.726616","0.533921","-0.03146","-0.454819","-0.631039","-0.852991","-1.133959","-1.298155","-1.457039","-1.517179","-1.259781","-1.032978","-1.241031","-1.243611","-1.049604","-1.144869","2"
"-1.549203","-1.596546","-1.708349","-1.863281","-1.916991","-2.226964","-2.271223","-2.129363","-2.002489","-1.90457","-1.018298","-0.340734","0.516292","2.057408","3.237094","3.734031","4.717829","4.547945","4.075896","3.837377","3.199445","2.595973","2.412867","2.155159","1.778063","1.617176","1.474935","1.424583","1.53578","1.327146","1.193553","1.315784","0.998117","0.393676","-0.152087","-0.641453","-0.870366","-1.207916","-1.202191","-0.954519","-1.122455","-1.316824","-1.228561","-1.258584","-1.328736","-1.663247","2"
"-1.618961","-1.421403","-1.464017","-1.479321","-1.694298","-1.827937","-1.847352","-1.893802","-1.725167","-1.297387","-0.782605","-0.013836","0.827078","2.093002","2.623209","2.80681","3.40124","3.091162","3.22148","2.892617","2.329388","2.028621","2.112382","1.876692","1.602605","1.406266","1.464509","1.496924","1.508269","1.369827","1.135218","1.010157","0.678216","-0.158997","-0.658727","-0.692238","-1.164277","-1.297126","-1.236064","-1.467463","-1.49811","-1.486864","-1.631923","-1.698442","-1.921945","-1.991699","2"
