"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.413379,2.140092,2.234468,-0.428861,0.309413,-0.632998,0.251485,-0.074143,-0.153378,0.952751
-0.265859,2.019479,2.684722,-0.611783,0.342349,-0.333435,0.251019,-0.060457,-0.12498,0.957974
-1.483388,2.121077,3.358903,-0.801335,0.252873,-0.399141,0.243435,-0.047172,-0.091369,0.964451
-1.615848,2.125269,3.999962,-0.654115,0.329511,-0.477806,0.226964,-0.034014,-0.051205,0.971961
0.152726,1.976739,4.324778,-0.553892,0.495531,-0.445597,0.218502,-0.02275,-0.006311,0.975551
2.096906,1.967934,4.531348,-0.442344,0.511461,-0.1511,0.229576,-0.013339,0.04126,0.972324
1.650967,2.124245,5.042662,-0.196255,0.3395,0.430146,0.248028,-0.003545,0.092287,0.964341
0.393391,1.943901,5.85357,0.002055,0.004429,0.769154,0.253331,0.00381,0.149887,0.95569
2.833493,1.086241,6.092048,-0.11793,-0.338429,0.974743,0.26417,0.005696,0.211085,0.941077
4.877453,0.003626,5.688859,0.057025,-1.301152,2.134961,0.301702,0.00429,0.267135,0.915203
3.327091,-0.772621,5.027514,0.219219,-2.675046,3.876475,0.34131,-0.004271,0.314529,0.885755
2.745423,-2.931461,1.681854,-1.16207,-4.233486,5.172215,0.3706,-0.022555,0.341448,0.863458
3.069882,-5.920536,-3.764815,-1.071172,-3.877212,5.22428,0.413674,-0.046105,0.315127,0.852903
-1.161315,-7.01557,-6.954639,-1.556317,-4.488644,4.749243,0.442584,-0.07635,0.240564,0.860476
-1.288261,-7.204957,-9.516068,-3.080773,-3.066409,2.53966,0.450882,-0.104104,0.135702,0.876044
-2.395947,-6.302903,-11.216673,-5.05416,-2.542973,0.123686,0.454246,-0.118475,0.012171,0.882879
-6.39078,-4.874614,-12.323083,-6.017694,-0.529181,-0.850595,0.431192,-0.112363,-0.123967,0.886612
-6.352381,-3.643123,-11.638121,-5.339845,2.198766,-0.502691,0.373953,-0.087308,-0.255929,0.887151
-2.395322,-3.687157,-10.32279,-5.32943,2.182759,-0.848522,0.332582,-0.067305,-0.367779,0.865793
1.593453,-3.438867,-8.571014,-4.747839,2.553749,-1.359273,0.321953,-0.066243,-0.460329,0.824654
