"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-1.039991,9.309793,4.366257,-5.141058,1.659188,-2.934308,-0.422994,0.550101,-0.451174,0.561165
0.120613,4.862924,1.9236,-2.654521,-1.633554,1.704291,-0.372617,0.603266,-0.459701,0.534698
2.008826,1.178257,0.477859,-1.728667,-1.323981,2.922509,-0.348047,0.618477,-0.468795,0.52591
4.246733,-0.271044,-0.360214,-1.643545,-0.530445,2.026265,-0.329702,0.605026,-0.489453,0.534487
5.461216,-0.856414,-0.608753,-1.275648,-0.411609,1.5058,-0.308382,0.574956,-0.519925,0.551366
4.394867,-1.318292,-0.981814,-1.056726,-0.45748,1.656688,-0.290007,0.539477,-0.54923,0.568513
2.394591,-1.681143,-1.418882,-0.749606,-0.634536,1.661108,-0.285372,0.508529,-0.569463,0.579373
1.039057,-1.828677,-1.594277,-0.574519,-0.647671,1.435943,-0.293374,0.484035,-0.581746,0.584135
0.104064,-1.797514,-1.441465,-0.467608,-0.618602,1.126173,-0.308223,0.465689,-0.587737,0.585404
-0.383384,-1.590438,-1.216562,-0.344209,-0.325809,0.843863,-0.325022,0.452343,-0.589495,0.585015
-1.119367,-1.379071,-1.093316,-0.205439,-0.247974,0.629796,-0.343047,0.444008,-0.588083,0.582524
-1.920324,-1.168699,-1.007889,-0.149469,-0.228778,0.553338,-0.363794,0.441817,-0.582969,0.576714
-2.51348,-1.146767,-0.933434,-0.144123,-0.209262,0.523876,-0.387608,0.44461,-0.574381,0.567599
-2.70051,-1.133334,-0.763647,0.047848,-0.018306,0.434021,-0.412909,0.449932,-0.562693,0.557176
-2.87629,-1.113805,-0.645957,0.183468,0.145946,0.331624,-0.437661,0.456331,-0.549171,0.546467
-2.564558,-1.138361,-0.57905,0.361017,0.275057,0.240223,-0.461552,0.462304,-0.534723,0.536019
-2.188934,-1.161575,-0.69901,0.493434,0.422775,0.188842,-0.482903,0.465792,-0.521724,0.526922
-1.75548,-1.174367,-0.917365,0.573643,0.404757,0.182552,-0.502965,0.465954,-0.510853,0.518596
-1.489642,-1.225623,-1.445962,0.440739,0.378563,0.187424,-0.522477,0.461795,-0.503438,0.51021
-1.721719,-1.328999,-2.106557,0.261447,0.227065,0.27512,-0.544756,0.453688,-0.498546,0.498859
-1.801392,-1.435252,-2.528584,0.148183,0.230772,0.185278,-0.571012,0.442761,-0.494223,0.483376
-1.863601,-1.52574,-2.749908,0.055302,0.244262,0.075154,-0.598373,0.429202,-0.490241,0.466261
-1.604042,-1.510291,-2.747926,0.017939,0.203595,-0.036338,-0.625382,0.413821,-0.486222,0.448595
-1.331312,-1.381582,-2.484478,0.055158,0.159246,-0.238154,-0.649708,0.3978,-0.482472,0.432268
-0.937094,-1.27777,-2.235116,0.151192,0.193698,-0.423328,-0.670116,0.38207,-0.479187,0.418744
-1.29718,-1.304659,-2.323437,0.234563,-0.43482,-0.368893,-0.705785,0.349544,-0.473651,0.394134
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.217751,-1.149292,-2.076608,0.138429,-0.243557,-0.366673,-0.724423,0.335302,-0.468718,0.378269
-0.619708,-0.968833,-1.820099,0.097328,-0.009592,-0.333797,-0.739305,0.321588,-0.465063,0.365685
-0.192309,-0.899275,-1.85569,0.117294,0.02645,-0.280381,-0.750498,0.306286,-0.463758,0.357588
-0.025388,-0.849711,-1.88852,0.197928,-0.036226,-0.326748,-0.76066,0.289523,-0.463326,0.350573
0.426945,-0.641082,-1.852707,0.224571,0.226063,-0.385384,-0.76866,0.271804,-0.464601,0.345588
0.931728,-0.233275,-1.971268,0.150333,0.403474,-0.367849,-0.773251,0.252432,-0.469562,0.343326
1.061996,-0.218001,-2.045706,-0.015009,0.534794,-0.305248,-0.775519,0.231181,-0.477681,0.341975
0.841282,-0.717794,-2.025763,0.212291,0.499498,-0.207186,-0.778972,0.209447,-0.483111,0.340497
0.849223,-1.028099,-2.161925,0.377594,0.455584,-0.340917,-0.784616,0.186121,-0.484828,0.338642
1.141823,-0.999325,-1.986922,0.248892,0.605851,-0.402898,-0.790072,0.16135,-0.485498,0.337704
1.546176,-0.953709,-1.497777,-0.003926,0.961876,-0.408534,-0.792856,0.137722,-0.485714,0.341312
1.704566,-1.005463,-1.324711,-0.010735,0.810483,-0.379614,-0.793528,0.115289,-0.484934,0.349087
1.405639,-1.153983,-1.483247,0.072374,0.395751,-0.309005,-0.794651,0.092967,-0.482985,0.355826
1.062304,-1.341414,-1.531448,0.047269,0.336195,-0.260199,-0.797433,0.070246,-0.479569,0.359416
1.240509,-1.412985,-1.305013,-0.027659,0.67977,-0.325051,-0.800897,0.048654,-0.474308,0.362255
1.874131,-1.427249,-1.04128,-0.021239,0.953464,-0.476077,-0.802308,0.026696,-0.467711,0.369914
2.240911,-1.393309,-0.897611,-0.035625,0.908843,-0.529393,-0.801253,0.00416,-0.460217,0.382331
2.98597,-1.284889,-0.791458,-0.130891,0.965483,-0.485961,-0.797504,-0.019424,-0.452541,0.398518
6.072442,-1.391015,-1.249827,-0.27556,1.455176,-0.30638,-0.766785,-0.085584,-0.436927,0.462398
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.57453,-2.453546,-1.89552,-0.214358,1.594391,-0.006492,-0.742006,-0.133839,-0.423498,0.50216
5.47563,-3.942863,-2.483037,-0.185356,1.560799,0.361014,-0.720899,-0.191785,-0.401902,0.531035
7.298295,-3.278479,-2.290037,-0.343122,2.566504,-0.029561,-0.697304,-0.25404,-0.37459,0.5558
13.202744,0.84128,-0.12163,-0.793733,3.955939,-1.404678,-0.641252,-0.307203,-0.343193,0.613711
17.192034,9.645694,2.033824,-2.086653,3.080347,-2.987085,-0.521768,-0.319147,-0.312248,0.726914
-18.64797,18.054062,-2.383541,-10.48823,-5.983473,2.19157,-0.354277,-0.071666,-0.409298,0.837751
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-21.424337,13.302345,0.690337,-6.558589,-7.138898,9.332162,-0.460562,0.149687,-0.464786,0.741249
-27.75408,9.411419,0.749281,0.215338,-5.550591,9.047552,-0.566206,0.340106,-0.464974,0.589524
-5.965564,10.718911,9.719217,0.099052,5.017256,-3.879445,-0.59637,0.50635,-0.42162,0.458464
6.775208,7.625525,4.750647,-7.439325,3.373,-0.177187,-0.507984,0.578186,-0.455377,0.447531
6.181879,2.22586,1.547657,-2.85184,-2.70388,4.164167,-0.442566,0.585349,-0.497398,0.462706
7.168891,-0.364972,-0.145119,-1.957796,-0.482178,3.525547,-0.399818,0.552878,-0.54092,0.491811
6.153904,-0.875816,-0.459812,-1.21743,-2.292234,1.823741,-0.373423,0.512106,-0.574155,0.518313
3.772978,-0.514456,-0.48918,-0.825204,-1.22369,1.122298,-0.352558,0.475811,-0.599732,0.538172
1.000349,-0.32032,-0.464736,-0.499215,-0.647506,1.339737,-0.344119,0.458229,-0.61201,0.545025
-0.391531,-0.830492,-0.262844,-0.428431,-0.361225,1.682138,-0.348588,0.453103,-0.612783,0.545601
-0.125528,-1.272541,0.243021,-0.305198,-0.163471,1.521165,-0.356521,0.448826,-0.607787,0.549585
-0.22314,-1.377942,0.576584,-0.159776,-0.351579,1.059135,-0.36366,0.443728,-0.59987,0.557685
-0.942086,-1.241361,0.58108,-0.065484,-0.337552,0.659333,-0.371741,0.441674,-0.589441,0.56506
