"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-9.963149,9.330472,-2.856405,-5.144141,-2.42484,1.869056,-0.620368,0.333334,-0.345476,0.620224
-3.86733,4.230518,-3.00301,-1.147671,-0.959206,1.301205,-0.645791,0.380957,-0.378621,0.542653
1.144319,-0.022151,-3.607739,-0.932857,0.410776,1.000481,-0.656986,0.375405,-0.405271,0.513027
6.273686,-2.325856,-2.718908,-0.904639,0.934556,0.422872,-0.655043,0.331113,-0.426052,0.528926
7.338596,-3.217047,-2.771945,-1.182133,-0.142572,0.76165,-0.63467,0.265841,-0.444286,0.573702
3.718934,-2.795524,-2.643063,-1.401528,-0.860747,1.162475,-0.62257,0.205836,-0.45451,0.602875
2.692875,-2.885662,-2.328505,-0.882945,-0.13433,0.753777,-0.621573,0.159379,-0.457769,0.61538
2.612046,-2.650243,-1.417754,-0.699637,0.634831,0.441179,-0.620989,0.118896,-0.455587,0.626639
2.946392,-2.223097,-1.282254,-0.704671,0.743397,0.327146,-0.615329,0.082609,-0.451683,0.640725
1.819345,-1.9898,-1.037518,-0.505205,0.402849,0.30979,-0.609184,0.050336,-0.448249,0.652253
0.39118,-2.004301,-1.279391,-0.458901,0.226347,0.240607,-0.611812,0.026127,-0.443703,0.654317
-0.377581,-1.692147,-1.610301,-0.477333,0.382948,0.108063,-0.620704,0.005128,-0.441683,0.647778
-0.398413,-1.036838,-1.581927,-0.338892,0.75111,-0.09842,-0.629818,-0.01161,-0.443274,0.637733
0.157574,-0.475822,-1.635565,-0.042649,0.970367,-0.134509,-0.633094,-0.026275,-0.449011,0.629992
0.006152,-0.145695,-1.553766,0.238553,1.001538,0.01807,-0.633387,-0.03852,-0.457052,0.62325
0.403036,0.227847,-1.096918,0.55967,1.131155,-0.244668,-0.631789,-0.047698,-0.465566,0.617912
1.819103,0.561711,-0.478274,0.933292,1.2242,-0.395655,-0.622712,-0.055234,-0.472544,0.621194
2.302261,0.722702,0.099954,1.00745,0.963721,-0.162692,-0.605923,-0.062503,-0.476149,0.634218
1.559676,0.896244,0.352509,0.729068,0.767176,0.07315,-0.589897,-0.065123,-0.478107,0.647452
2.465724,0.90875,0.394375,0.7817,0.95453,-0.033392,-0.57319,-0.066012,-0.479867,0.660926
3.790612,0.955869,0.615198,0.913564,0.801435,-0.221485,-0.548247,-0.072255,-0.47943,0.681433
4.922148,1.312846,0.834765,1.01546,0.415205,-0.507854,-0.513243,-0.08105,-0.477051,0.708826
6.201043,1.376441,0.484531,1.148889,0.173607,-0.757685,-0.467305,-0.094234,-0.473436,0.740679
4.861792,1.588646,-0.294775,1.180443,-0.33297,-0.553398,-0.416056,-0.110094,-0.47325,0.768642
0.748402,1.181097,-0.786025,1.395705,-1.205338,-0.631986,-0.386078,-0.115476,-0.48031,0.779046
-3.14282,1.076594,0.022075,1.241628,-0.78467,-0.6828,-0.390933,-0.101807,-0.489363,0.772872
-4.268837,0.856567,0.271612,1.017266,-1.00908,-0.530134,-0.413887,-0.075745,-0.495017,0.76021
-7.568974,0.671546,0.596087,0.877334,-1.260639,-0.151613,-0.45399,-0.039092,-0.498677,0.737351
-8.93592,0.546454,0.987247,0.909378,-0.343102,-0.236216,-0.512428,0.010865,-0.496387,0.700642
-6.893986,-0.286035,0.125877,1.111958,-0.502694,-0.520881,-0.565646,0.054497,-0.490698,0.660523
-5.544379,-0.355894,-0.214704,0.666641,-0.597505,-0.387683,-0.607691,0.082486,-0.484564,0.623783
-2.952031,-0.858423,-0.634946,0.650188,-0.391054,-0.121912,-0.636754,0.096786,-0.479742,0.59584
-0.316644,-1.455978,-1.01527,0.637077,-0.161722,-0.087651,-0.652869,0.092416,-0.475601,0.582259
1.569992,-2.069033,-0.827547,0.559835,0.339634,0.449239,-0.657657,0.072571,-0.470643,0.583708
3.829162,-3.12587,-0.74981,0.297036,0.897198,0.429141,-0.655025,0.041004,-0.45917,0.598685
4.961802,-3.451716,-0.956377,0.133448,0.559842,0.881951,-0.641705,-0.006705,-0.443646,0.625578
4.334531,-5.869697,-0.217203,0.862518,0.485894,1.085587,-0.619213,-0.107504,-0.392222,0.6717
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.140121,-6.692544,0.303559,0.466433,0.73179,1.002927,-0.610936,-0.168571,-0.345983,0.691836
6.069975,-6.217159,0.73648,0.021254,0.817223,0.580983,-0.592877,-0.2285,-0.292103,0.714815
6.317501,-6.023451,1.257636,5.2e-05,0.755224,0.223466,-0.566263,-0.283428,-0.233857,0.737784
6.527401,-5.889875,1.840936,-0.176432,0.935699,0.110616,-0.535297,-0.332593,-0.169516,0.757696
6.7333,-5.291039,2.260969,-0.543809,1.002007,0.187082,-0.499442,-0.373825,-0.101189,0.774967
6.571754,-4.623904,2.414905,-0.846429,0.906522,0.093028,-0.459672,-0.40564,-0.032848,0.789353
6.099404,-3.912382,2.352176,-1.003331,0.607203,-0.13887,-0.418996,-0.429086,0.031272,0.799593
5.122669,-3.278638,2.385751,-1.101191,0.24206,-0.570559,-0.382054,-0.445254,0.089355,0.80486
4.428477,-2.079152,2.287086,-1.641041,0.104386,-1.332265,-0.351991,-0.453124,0.139751,0.807001
4.615757,0.093234,1.075197,-2.150301,0.124605,-2.080715,-0.321623,-0.448603,0.177499,0.814744
4.396801,2.606014,-0.250567,-1.962085,-0.266599,-2.498019,-0.289102,-0.427447,0.197589,0.833468
3.27157,5.406677,-2.94782,-1.852916,-1.148568,-2.155778,-0.256905,-0.390062,0.19013,0.863541
-0.639724,7.804811,-5.984005,-2.005327,-3.041407,-1.049679,-0.236912,-0.340283,0.140565,0.899067
-7.783384,12.339046,-6.63513,-4.149853,-2.802074,0.878016,-0.266523,-0.268421,0.042994,0.924698
-8.84322,14.64535,-2.183115,-4.565688,0.807003,3.876656,-0.336456,-0.156028,-0.063801,0.926489
-9.022341,16.531918,-3.404685,-5.40563,4.028913,8.101698,-0.390909,-0.010709,-0.139641,0.909712
-22.159674,12.571243,0.44225,-1.834473,-3.305961,0.083286,-0.500736,0.137532,-0.216041,0.826846
-25.926596,9.830573,8.968151,-4.521793,-1.576195,3.414483,-0.663792,0.322385,-0.18071,0.650225
2.301985,6.938107,4.403911,-3.150319,2.092786,-0.018172,-0.698968,0.438943,-0.145965,0.545405
12.674403,3.144485,-0.424656,-0.927479,-1.580472,2.275999,-0.626199,0.460916,-0.219826,0.589158
3.793798,-1.683307,-0.972672,0.699438,-2.564999,2.457588,-0.578235,0.439725,-0.263655,0.634643
2.332134,-3.838879,-1.896167,-0.265535,-0.365407,1.907238,-0.576156,0.405829,-0.267092,0.657274
3.694915,-3.922039,-2.53986,-0.772941,-0.15735,1.578873,-0.57466,0.358126,-0.270434,0.684381
3.491161,-3.32237,-3.192093,-0.778787,-0.474297,1.188187,-0.568167,0.306064,-0.28251,0.709718
2.155129,-2.718841,-3.134138,-0.480936,-0.478307,0.861646,-0.565701,0.258032,-0.296326,0.724978
1.319352,-1.99555,-2.926389,-0.211924,-0.157224,0.619276,-0.567833,0.2187,-0.308825,0.731002
0.716623,-1.550502,-2.984267,-0.099999,0.034114,0.572879,-0.571411,0.18608,-0.322709,0.731248
0.233929,-1.441224,-3.080523,-0.028163,0.181342,0.422273,-0.57857,0.15653,-0.337069,0.726044
