"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.846154,0.500615,3.26509,0.160456,0.47282,0.041121,-0.00308,-0.244005,0.764307,0.596897
0.834131,0.31758,3.166053,0.073428,0.53874,0.02613,-0.008941,-0.234994,0.78509,0.573003
0.867219,0.246709,3.031226,-0.002441,0.584029,0.025353,-0.013476,-0.226287,0.804391,0.549152
0.880989,-0.094073,2.644901,-0.035385,0.605719,0.030668,-0.018534,-0.209924,0.838177,0.503039
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.816792,-0.141003,2.358515,-0.142516,0.625138,0.025476,-0.018465,-0.202951,0.852252,0.481805
0.777037,-0.201363,2.041895,-0.135308,0.663203,0.027975,-0.01771,-0.196549,0.864221,0.462792
0.757695,-0.277447,1.744357,-0.127838,0.657677,0.034176,-0.015744,-0.190543,0.874363,0.446022
0.703959,-0.36197,1.493681,-0.173395,0.643026,0.004951,-0.012701,-0.185215,0.882849,0.431407
0.620721,-0.404458,1.215258,-0.204814,0.629373,0.046254,-0.008992,-0.180958,0.889845,0.418748
0.698375,-0.472942,1.012348,-0.198368,0.644674,0.044819,-0.004358,-0.176803,0.895642,0.408101
0.70541,-0.558994,0.811016,-0.197159,0.610679,0.018777,0.001509,-0.172476,0.900549,0.399075
0.574847,-0.69692,0.603725,-0.198405,0.555341,-0.013682,0.008513,-0.169103,0.904456,0.391524
0.484589,-0.774001,0.338403,-0.220682,0.532518,-0.008444,0.016393,-0.167426,0.907017,0.386032
0.461149,-0.835119,0.169313,-0.244259,0.471685,-0.024779,0.025169,-0.166162,0.908617,0.382324
0.30374,-0.89885,0.084386,-0.267796,0.32908,-0.073537,0.034345,-0.165859,0.909449,0.379754
0.065471,-0.885311,0.007296,-0.294138,0.220462,-0.072727,0.04313,-0.167728,0.909593,0.377687
0.062245,-0.752617,-0.114777,-0.202555,0.162901,-0.046591,0.050797,-0.170475,0.909067,0.376769
