"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.536764,0.944766,2.798825,-0.35211,0.134386,-0.12439,-0.268112,-0.159966,0.066721,0.947668
0.962048,1.272165,2.981104,-0.442472,0.088865,-0.394054,-0.266025,-0.140459,0.092148,0.949216
0.828272,1.027447,3.065769,-0.277848,-0.090047,-0.517999,-0.262464,-0.120348,0.119015,0.949981
0.475321,0.653662,3.182628,-0.340296,-0.296282,-0.383708,-0.260687,-0.103879,0.147224,0.94846
0.437849,0.516696,3.094437,-0.54557,-0.225099,-0.341581,-0.260471,-0.089175,0.176122,0.945084
0.494234,0.518229,2.670276,-0.71707,-0.099177,-0.338895,-0.259686,-0.076084,0.202385,0.941177
0.540049,0.607495,2.293396,-0.769891,-0.336235,-0.393685,-0.257457,-0.063202,0.224441,0.937736
0.376973,0.289294,2.091443,-0.680302,-0.448794,-0.411936,-0.255994,-0.052196,0.243762,0.933982
0.662228,0.225585,1.790127,-0.675468,-0.148079,-0.359711,-0.252754,-0.0439,0.261541,0.930476
0.939041,0.331338,1.512585,-0.548455,0.134568,-0.383858,-0.246576,-0.034877,0.276544,0.928174
0.552453,-0.420847,0.984793,-0.140793,0.054768,-0.221393,-0.233056,-0.024084,0.300413,0.924585
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.729006,-0.567793,0.691407,-0.180263,0.167109,-0.082798,-0.225928,-0.024995,0.309355,0.92338
0.957923,-0.400058,0.57086,-0.235462,0.168413,-0.022281,-0.216861,-0.025779,0.316399,0.923146
0.853613,-0.316384,0.525385,-0.185349,0.090711,0.028179,-0.207199,-0.024739,0.322337,0.923339
0.597453,-0.295871,0.566368,-0.14155,0.105538,0.056211,-0.19968,-0.024255,0.328128,0.922969
0.513696,-0.141678,0.600645,-0.137623,0.156067,-0.031592,-0.194165,-0.023445,0.334059,0.922039
0.420361,-0.064398,0.662411,-0.064118,0.211748,-0.072768,-0.189658,-0.021443,0.340162,0.920793
0.338468,-0.094678,0.672073,-0.013528,0.182514,-0.108873,-0.185724,-0.019537,0.346567,0.919248
-0.147176,0.036921,0.678259,-0.045891,0.16481,-0.09279,-0.18455,-0.018109,0.352858,0.917117
-0.567899,0.088603,0.639106,-0.020364,0.124423,-0.065512,-0.188161,-0.017446,0.358716,0.914119
-0.60727,0.024923,0.56301,0.004563,0.1864,-0.082041,-0.194253,-0.018065,0.36402,0.91073
-0.284258,-0.048495,0.484064,-0.02492,0.198426,-0.067357,-0.198368,-0.018867,0.368776,0.907909
-0.112962,-0.107585,0.385076,-0.053417,0.11361,-0.072015,-0.199785,-0.019326,0.372814,0.905937
-0.197988,-0.125833,0.308097,-0.071021,0.000177,-0.04148,-0.200627,-0.020243,0.37613,0.904359
-0.372871,-0.188892,0.250158,-0.067469,0.001906,0.008984,-0.202824,-0.022318,0.378913,0.902657
-0.311613,-0.225464,0.244136,-0.092267,-0.010127,0.061691,-0.205248,-0.025075,0.381451,0.900966
-0.171199,-0.192004,0.300189,-0.134216,-0.042053,0.067477,-0.206792,-0.027878,0.384153,0.899381
0.039557,-0.083935,0.400545,-0.132109,-0.069671,0.069997,-0.206875,-0.029254,0.387411,0.89792
0.138996,-0.084929,0.501234,-0.077877,-0.044208,0.106309,-0.205618,-0.029278,0.391592,0.896393
-0.041893,0.012482,0.557923,-0.074985,-0.065405,0.131513,-0.205004,-0.029059,0.396136,0.894542
-0.345168,0.033125,0.62411,-0.049871,-0.051743,0.131685,-0.20703,-0.028436,0.401427,0.891732
-0.428417,0.089653,0.668724,-0.032301,-0.051676,0.112456,-0.211091,-0.028118,0.406852,0.888325
-0.242551,0.048776,0.708845,0.022259,0.001393,0.135965,-0.214859,-0.02742,0.412651,0.884761
0.180473,0.005485,0.794477,0.061113,0.051517,0.107655,-0.215426,-0.025752,0.419199,0.88159
0.299569,-0.009629,0.817396,0.083897,0.068011,0.098556,-0.213095,-0.022797,0.42633,0.878814
0.144619,-0.003561,0.88526,0.103142,-0.017019,0.077723,-0.211055,-0.020082,0.433943,0.87564
-0.003176,0.178685,1.09244,0.143302,-0.046922,-0.018842,-0.21136,-0.017141,0.442239,0.871469
0.099559,0.176705,1.293364,0.301512,0.01376,-0.131834,-0.212078,-0.012551,0.452203,0.866243
0.247299,-0.217713,1.350626,0.455575,0.048951,-0.209301,-0.210761,-0.008984,0.463738,0.860492
0.200412,-0.420497,1.328298,0.403759,-0.096647,-0.287225,-0.207101,-0.008186,0.475935,0.854709
0.11173,-0.546492,1.381147,0.354887,-0.188867,-0.293028,-0.203813,-0.008841,0.48837,0.848456
0.23695,-0.763956,1.334772,0.372991,-0.145722,-0.356902,-0.199093,-0.010526,0.501215,0.842042
0.654862,-1.060804,1.303614,0.327161,-0.169626,-0.420268,-0.190963,-0.01351,0.514172,0.836049
1.090296,-1.11528,1.343531,0.226297,-0.160391,-0.472153,-0.178137,-0.015819,0.527253,0.830675
1.506924,-1.139351,1.459906,0.213864,-0.178075,-0.4499,-0.161798,-0.015721,0.540978,0.825177
1.644653,-1.24507,1.484252,0.19508,-0.114291,-0.385276,-0.142271,-0.014479,0.555204,0.819328
1.450529,-1.23466,1.523806,0.079925,-0.128879,-0.310145,-0.122787,-0.013964,0.569266,0.812813
1.281946,-1.041874,1.605787,-0.040296,-0.019804,-0.21366,-0.105565,-0.013749,0.583441,0.805148
1.554129,-0.900664,1.7046,-0.097336,0.046641,-0.148149,-0.088858,-0.011458,0.59772,0.796683
1.751468,-0.828861,1.759053,-0.15101,0.124534,-0.162853,-0.070643,-0.007128,0.612391,0.78736
1.495644,-0.666033,1.698716,-0.244318,0.061095,0.013101,-0.052923,-0.00148,0.626595,0.777545
0.972313,-0.547421,2.037977,-0.350313,0.141521,0.222958,-0.040477,0.001889,0.641314,0.766207
1.193372,-0.145718,2.132473,-0.470665,0.264002,0.629758,-0.029129,0.007802,0.656947,0.753333
0.683958,0.352592,2.616639,-0.581423,0.303576,1.097691,-0.022253,0.01533,0.674008,0.73823
-0.353736,1.185778,3.321173,-0.661374,0.394525,1.472161,-0.024587,0.023317,0.69548,0.717746
-2.514347,1.794477,4.243391,-0.728765,0.451092,1.25549,-0.044189,0.02521,0.721844,0.690183
-4.985306,2.195636,5.456926,-0.58222,0.495887,0.253427,-0.082193,0.016561,0.753897,0.651621
-8.772332,1.082998,6.206853,0.016973,1.134917,-0.091263,-0.137771,-0.019564,0.78935,0.597965
-9.423408,0.086765,6.039128,-0.121363,2.504811,1.69195,-0.197431,-0.084745,0.818854,0.532275
-3.270949,4.368201,2.661897,0.089228,5.886468,2.600887,-0.257492,-0.123955,0.828706,0.481227
0.956724,3.962285,-1.570679,2.954731,7.408442,2.670996,-0.299892,-0.103706,0.818719,0.478549
1.642513,4.709279,-8.220078,3.095246,7.242957,2.254338,-0.320095,-0.088947,0.782608,0.526453
2.687801,4.757354,-11.424506,4.587431,6.695024,1.07636,-0.338144,-0.076833,0.709151,0.613889
1.147979,0.945031,-12.831252,7.022484,4.311204,-0.296299,-0.333335,-0.085026,0.620878,0.704393
-0.666846,-1.492044,-13.642654,9.424801,2.443912,-1.765766,-0.318223,-0.129796,0.520934,0.781355
0.432831,-1.547888,-17.640352,9.8857,-0.84577,-3.134089,-0.289757,-0.193587,0.396656,0.849252
3.842466,-4.177882,-16.478252,9.80245,-0.812786,-2.34306,-0.220336,-0.256023,0.258025,0.905167
2.262228,-4.823248,-15.07736,7.549818,-4.386504,-0.311041,-0.138003,-0.318619,0.128083,0.928995
-1.373875,-3.869928,-10.841834,5.091589,-4.208372,0.388786,-0.084048,-0.375474,0.014894,0.922894
-4.828262,-2.058644,-7.133972,3.784257,-4.011048,0.305149,-0.080799,-0.408339,-0.077468,0.905941
-5.876828,-0.455328,-4.049066,2.909924,-3.726786,0.22194,-0.108713,-0.417374,-0.149618,0.889716
-4.480357,0.166872,-1.037366,2.009538,-2.359612,0.202317,-0.183922,-0.402507,-0.237392,0.864758
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.549113,0.636323,-0.12502,1.693245,-1.387515,-0.33389,-0.211266,-0.39153,-0.256908,0.857945
-0.951082,0.886805,0.487742,1.490052,-0.683545,-0.578178,-0.22411,-0.380076,-0.263192,0.857932
-0.449143,1.339066,0.820895,1.203422,-0.461097,-0.29006,-0.228867,-0.367757,-0.262204,0.862336
-0.272815,1.784228,1.306068,1.013525,-0.19936,-0.205754,-0.231963,-0.350538,-0.258319,0.86982
0.210853,1.97155,1.900832,0.984396,0.301745,-0.530028,-0.232806,-0.330154,-0.248701,0.880311
0.471886,1.898723,2.426429,1.003244,0.500089,-0.746854,-0.231233,-0.309145,-0.232537,0.892685
-0.383136,1.692216,2.704774,0.895238,0.517066,-0.508548,-0.233844,-0.287048,-0.21336,0.904101
-0.561815,1.441802,2.916406,0.659655,0.338237,-0.219434,-0.243805,-0.265091,-0.193151,0.912677
-0.084548,1.71013,3.154359,0.456911,0.462106,-0.070897,-0.251972,-0.242481,-0.170375,0.921241
0.222642,1.754417,3.552978,0.434667,0.511893,-0.221997,-0.255271,-0.218135,-0.143706,0.930915
-0.151003,1.431105,3.738357,0.386647,0.411484,-0.457732,-0.259604,-0.19397,-0.113275,0.939229
-0.654214,1.234293,3.802951,0.275522,0.25779,-0.428562,-0.269396,-0.171004,-0.082019,0.94417
-0.535151,0.741277,3.814617,0.146535,0.292548,-0.338239,-0.281114,-0.15083,-0.049456,0.946456
-0.46714,0.615828,3.732444,-0.25065,0.24248,-0.329649,-0.291261,-0.134061,-0.016793,0.947055
-0.182294,0.96287,3.80039,-0.471741,-0.0524,-0.534146,-0.29827,-0.115583,0.016231,0.947319
-0.5227,0.463577,3.560328,-0.252681,-0.188873,-0.620596,-0.305397,-0.097056,0.048843,0.946006
-0.27066,-0.043309,2.824057,-0.567815,-0.106884,-0.372887,-0.319882,-0.079417,0.107403,0.937994
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.262441,0.280005,2.661484,-0.541869,-0.12251,-0.352516,-0.322195,-0.069273,0.132776,0.934753
