"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.046161,-0.863293,-2.312161,-0.200877,0.083505,0.308704,-0.29403,-0.083879,-0.282749,0.909155
-0.310204,-1.054043,-2.426518,-0.202558,0.08359,0.224516,-0.295956,-0.09919,-0.301372,0.90097
-0.529505,-1.117204,-2.517165,-0.255947,0.120547,0.10761,-0.300487,-0.115015,-0.320713,0.890855
-0.437397,-1.078131,-2.487716,-0.307562,0.173046,0.019493,-0.305547,-0.130633,-0.340256,0.87966
-0.217963,-1.144459,-2.368236,-0.278491,0.249975,-0.006153,-0.308684,-0.146575,-0.358527,0.868728
-0.293996,-1.174825,-2.121672,-0.231426,0.211592,-0.060142,-0.311345,-0.162801,-0.374726,0.857986
-0.669155,-1.212233,-1.839656,-0.159969,0.221894,-0.133592,-0.316602,-0.177356,-0.388701,0.846888
-0.975515,-1.229144,-1.520544,-0.064876,0.216759,-0.150742,-0.325301,-0.189723,-0.400412,0.835377
-0.993284,-1.231136,-1.217901,0.032607,0.258066,-0.161539,-0.33595,-0.200337,-0.409653,0.824128
-0.699497,-1.172172,-0.960071,0.084006,0.372857,-0.175587,-0.345769,-0.210374,-0.416149,0.814252
-0.238607,-1.081828,-0.777008,0.121611,0.43624,-0.179055,-0.352445,-0.220525,-0.420247,0.806563
0.175757,-0.972568,-0.623508,0.142908,0.412958,-0.150718,-0.355324,-0.231229,-0.422236,0.801246
0.317529,-0.780538,-0.507084,0.137524,0.29581,-0.110255,-0.355555,-0.241363,-0.422977,0.797757
0.321842,-0.631186,-0.429603,0.144837,0.187132,-0.02594,-0.354806,-0.249935,-0.42339,0.795227
0.299803,-0.566743,-0.41373,0.123039,0.1537,0.093579,-0.353789,-0.257405,-0.423798,0.793077
0.251368,-0.549729,-0.494918,0.068358,0.12224,0.220521,-0.352795,-0.264534,-0.424653,0.790713
0.264241,-0.645622,-0.68256,-0.016606,0.064215,0.384332,-0.3518,-0.272244,-0.426544,0.787515
0.317531,-0.868235,-0.927997,-0.157018,-0.005168,0.600312,-0.350511,-0.282303,-0.42933,0.783022
0.102833,-0.954589,-1.191142,-0.331987,-0.178593,0.778103,-0.349527,-0.294247,-0.433621,0.776674
-0.479567,-0.948288,-1.53024,-0.417193,-0.38502,0.892777,-0.350923,-0.305461,-0.441289,0.76734
-1.226183,-1.030093,-1.932771,-0.454952,-0.484149,0.942856,-0.356439,-0.315253,-0.453545,0.753567
-1.588646,-1.083079,-2.40662,-0.569876,-0.392421,0.966102,-0.36522,-0.324295,-0.470457,0.734927
-1.731277,-1.06988,-2.900678,-0.641675,-0.308661,0.880136,-0.373634,-0.333938,-0.491101,0.712533
-1.961299,-1.123179,-3.276317,-0.598513,-0.329127,0.666761,-0.381341,-0.344078,-0.514784,0.68643
-2.23942,-1.140676,-3.562774,-0.565935,-0.226259,0.422558,-0.389672,-0.353712,-0.540769,0.656211
-2.363201,-1.039349,-3.743782,-0.536876,-0.053499,0.153727,-0.397497,-0.362393,-0.568014,0.622919
-2.318721,-0.769364,-3.811749,-0.496158,0.081703,-0.079898,-0.403122,-0.369353,-0.5959,0.588196
-2.112232,-0.36922,-3.714432,-0.433299,0.204013,-0.231218,-0.405285,-0.374459,-0.623249,0.554154
-1.926035,0.221454,-3.503134,-0.335573,0.320541,-0.398288,-0.403081,-0.376699,-0.6499,0.522737
-2.0524,0.949903,-3.208968,-0.150613,0.408329,-0.668007,-0.396483,-0.374432,-0.676462,0.494976
-3.003469,1.813649,-3.025418,0.040592,0.485233,-1.055328,-0.38738,-0.362976,-0.705858,0.468987
-4.579796,3.048242,-2.880473,0.142322,0.614706,-1.388158,-0.376833,-0.336071,-0.741718,0.441484
-5.775419,4.492594,-2.323279,0.213852,1.091568,-1.3265,-0.362026,-0.289786,-0.78342,0.413781
-6.033345,5.549529,-1.206272,0.230877,1.814434,-1.055926,-0.340421,-0.228085,-0.823779,0.391765
-5.996947,6.016834,-0.050974,0.235492,2.124633,-0.790452,-0.313492,-0.157265,-0.856868,0.377846
-6.099061,6.147533,1.368308,0.000292,2.489299,-0.650672,-0.283578,-0.079917,-0.879912,0.372762
-5.533158,5.763683,2.779661,-0.423233,2.970535,-0.540401,-0.253135,-1.3e-05,-0.89067,0.377664
-3.865965,4.942966,4.464111,-0.948037,3.583782,-0.205421,-0.222626,0.071295,-0.887824,0.396388
-2.127588,4.065897,6.351796,-1.645444,4.225701,0.181317,-0.189609,0.127177,-0.872013,0.432976
-1.012108,2.89972,8.156463,-2.598118,4.939361,0.514085,-0.156286,0.168319,-0.842493,0.487287
-2.685227,1.973781,9.992405,-3.766981,4.906233,0.9576,-0.126984,0.205517,-0.795779,0.555314
-8.415835,-0.022183,11.5832,-3.974694,3.623604,0.285646,-0.124037,0.265097,-0.720478,0.628688
-12.503412,-3.746983,13.224743,-3.177157,3.311715,-0.585119,-0.171909,0.343503,-0.601517,0.70045
-9.207678,-6.23739,14.103561,-3.823341,6.432387,-1.095764,-0.22907,0.392245,-0.449388,0.769234
-0.883011,-6.4165,14.231323,-5.798111,7.884197,-2.787276,-0.240091,0.396253,-0.292636,0.836483
0.028403,-5.04434,16.749847,-7.024809,1.953709,-4.083844,-0.201451,0.383157,-0.146379,0.889484
0.818092,-2.410906,16.736862,-8.674543,2.347119,-4.073989,-0.137992,0.377333,0.008873,0.915696
2.711619,0.490516,15.585608,-9.00316,1.903539,-3.736639,-0.060375,0.385855,0.152075,0.907934
3.630594,3.0273,13.145419,-8.421553,1.064299,-2.377784,0.02235,0.412077,0.266991,0.870867
2.459559,4.770146,9.711128,-6.933938,-0.632032,-0.845175,0.085963,0.448903,0.352103,0.816774
-0.120213,4.954076,6.727316,-4.931623,-2.058008,0.116897,0.114845,0.484495,0.416063,0.760899
-2.470854,4.106421,4.178386,-3.601979,-1.98231,0.600532,0.11136,0.505456,0.468008,0.716297
-2.825278,3.335779,2.438774,-3.048976,-1.496326,1.025051,0.09,0.514296,0.508887,0.684423
-1.423298,2.714311,1.126345,-2.651043,-1.066421,1.121397,0.068646,0.521784,0.534396,0.6614
