"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.025098,-0.268372,0.253229,0.214156,-0.121088,-0.006358,-0.687736,0.167061,-0.285003,0.646438
0.198433,-0.346194,0.412119,0.225055,-0.012914,-0.024601,-0.687447,0.167077,-0.280981,0.648499
0.368596,-0.469983,0.569891,0.256074,-0.036997,-0.019375,-0.685805,0.167009,-0.275418,0.652629
0.27939,-0.308086,0.693451,0.081944,-0.268013,-0.010895,-0.681442,0.168535,-0.261843,0.662322
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.213708,-0.073697,0.602052,-0.048394,-0.356234,-0.046701,-0.679212,0.171015,-0.256718,0.665974
0.14428,0.057743,0.688685,-0.046534,-0.415772,-0.061181,-0.676857,0.174754,-0.252861,0.668869
-0.254629,0.158477,0.89664,0.002101,-0.486546,-0.041136,-0.675469,0.180879,-0.248201,0.670389
-0.691213,0.317495,0.999509,0.024877,-0.457932,-0.047861,-0.676366,0.190128,-0.242451,0.669028
-0.646089,0.444927,0.990054,0.0371,-0.340896,-0.090366,-0.678177,0.201088,-0.237128,0.66589
-0.539966,0.521119,0.974514,0.038095,-0.328784,-0.084631,-0.678917,0.212445,-0.232595,0.663203
-0.419736,0.524055,1.040387,0.077367,-0.330934,-0.056897,-0.6787,0.223796,-0.228621,0.661071
-0.555931,0.535281,1.059188,0.085387,-0.377252,0.013107,-0.678359,0.235504,-0.224032,0.658921
-0.856085,0.624607,1.075402,0.011308,-0.489199,0.003975,-0.678782,0.24805,-0.219269,0.655475
-1.320058,0.760427,0.956875,-0.047528,-0.447862,0.028081,-0.681996,0.26186,-0.214594,0.648275
-1.190524,0.763562,1.034575,-0.056179,-0.26874,-0.026998,-0.685992,0.276253,-0.21004,0.639518
-1.181888,0.780841,1.110076,-0.014328,-0.165167,0.030217,-0.688759,0.290951,-0.205177,0.631554
-1.310257,0.772258,1.064253,0.052327,-0.046277,0.08123,-0.691722,0.305842,-0.199961,0.622894
-1.280442,0.839808,0.978907,0.065616,0.092119,0.127779,-0.695134,0.320437,-0.195032,0.613247
-1.032159,0.977024,0.978758,0.090405,0.134569,0.153639,-0.69721,0.334992,-0.191614,0.604122
-0.910479,1.04693,0.92877,0.077813,-0.042041,0.148043,-0.697799,0.349505,-0.189705,0.595765
-0.983828,1.0934,0.914524,0.144215,-0.108937,0.192873,-0.698068,0.364023,-0.188485,0.58708
-1.155285,0.987971,0.909299,0.300819,-0.067134,0.259124,-0.698628,0.378526,-0.186554,0.577784
-1.23317,0.679693,0.716766,0.441092,0.168009,0.33171,-0.701107,0.391275,-0.183141,0.567286
-0.944066,0.364828,0.777603,0.506823,0.375696,0.385541,-0.703435,0.401263,-0.178311,0.558903
-1.00648,0.277226,0.837202,0.446342,0.381454,0.466339,-0.704836,0.410298,-0.172121,0.552482
-1.214203,0.462411,0.878018,0.274309,0.395591,0.43544,-0.706809,0.420183,-0.165204,0.544587
-1.265992,0.791714,0.860145,0.060973,0.527398,0.262107,-0.708872,0.431742,-0.15957,0.53445
-1.097073,1.064035,0.931587,-0.09307,0.647695,0.099726,-0.709847,0.444742,-0.15629,0.52335
-1.030478,1.457071,0.951895,-0.197268,0.780532,0.085007,-0.709194,0.459632,-0.155283,0.511536
-0.701628,1.858401,0.840966,-0.190999,0.978175,0.102646,-0.706749,0.475884,-0.15834,0.498967
-0.090669,2.123618,0.474029,-0.084369,1.321824,0.10398,-0.702348,0.491216,-0.167114,0.487327
0.663581,2.235544,-0.041038,0.02013,1.581099,0.086662,-0.696082,0.502755,-0.182573,0.47893
1.697561,2.560533,-0.482216,0.059668,1.787874,-0.00411,-0.687478,0.509928,-0.206121,0.474195
2.985684,3.070043,-0.857669,0.056659,1.912722,-0.176398,-0.673751,0.513428,-0.240112,0.474129
4.31231,3.651296,-1.138793,0.039192,1.928394,-0.342743,-0.652801,0.513072,-0.285909,0.478397
5.807435,4.307997,-1.151154,0.095982,1.922133,-0.427836,-0.621925,0.50885,-0.342527,0.486782
7.246595,5.075278,-1.227481,0.206253,1.84567,-0.383356,-0.578014,0.500339,-0.409485,0.497879
8.456985,5.444538,-1.044187,0.433841,1.549231,-0.32284,-0.520382,0.485332,-0.483362,0.509918
8.736738,5.558656,-0.682227,0.541441,1.036706,-0.27505,-0.45135,0.464114,-0.555838,0.521466
8.415934,5.91678,0.178871,0.463489,0.486726,-0.246171,-0.374038,0.442386,-0.619899,0.52926
7.607333,5.885143,1.89566,0.607081,-0.296357,-0.595558,-0.2888,0.425686,-0.669312,0.536104
6.854045,2.942634,5.159123,1.414076,-1.396504,-1.74285,-0.202736,0.410287,-0.692903,0.557179
4.893224,-3.938885,8.779521,2.616384,-2.7394,-3.481168,-0.141394,0.376719,-0.675215,0.618204
0.666236,-9.780551,9.358481,3.981301,-2.140902,-3.320497,-0.136576,0.324644,-0.613498,0.706805
-0.897721,-12.966596,6.530163,5.35934,0.216573,-0.162731,-0.181143,0.25386,-0.534689,0.785398
