"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.923676,0.837264,-3.080323,-0.455554,0.227361,-0.232771,-0.95791,-0.121703,-0.069981,0.250399
2.29353,0.628134,-3.00978,-0.457863,0.354491,-0.119408,-0.949103,-0.150111,-0.082659,0.26427
3.488494,0.18199,-2.920929,-0.492406,0.476155,0.131771,-0.935827,-0.179393,-0.090005,0.289734
4.591019,-0.478802,-2.827832,-0.518373,0.550104,0.288328,-0.917826,-0.210149,-0.089842,0.324593
5.558505,-1.287528,-2.778827,-0.56975,0.675663,0.406223,-0.894898,-0.24286,-0.080041,0.365746
7.091365,-2.213764,-2.637956,-0.607785,0.843781,0.460609,-0.864207,-0.278099,-0.058995,0.415123
8.021619,-3.263265,-2.248367,-0.653552,1.060795,0.532629,-0.825224,-0.314051,-0.024059,0.468827
10.733535,-4.021703,-1.734293,-0.833846,1.847492,0.425902,-0.770928,-0.3493,0.025882,0.531968
13.155624,-4.639841,-0.141234,-0.581836,2.470979,0.451149,-0.695866,-0.374609,0.096295,0.605116
17.370199,-3.711889,3.067999,-0.913608,2.75071,-0.190857,-0.597399,-0.372503,0.189119,0.684536
19.011124,-0.710041,6.914087,-1.065696,2.667899,-1.222931,-0.473059,-0.317203,0.304985,0.76327
13.317044,2.413672,7.5453,-1.316563,0.775272,-1.505399,-0.366154,-0.220732,0.405,0.808198
6.028751,1.867369,6.778337,-0.591616,-1.262945,-1.523007,-0.313845,-0.13617,0.47341,0.811691
0.109088,1.707559,3.326794,-0.317256,-1.752749,-1.332232,-0.30574,-0.093709,0.512608,0.796853
-3.497375,2.677254,0.03255,-0.722591,-2.508831,-0.771801,-0.332912,-0.082726,0.516937,0.784284
-4.145427,7.657685,-2.666206,-2.535347,-2.67893,-0.638069,-0.389794,-0.069412,0.484587,0.780011
-1.257409,10.9759,-4.421494,-2.89714,0.477587,-0.958814,-0.452409,-0.024065,0.415476,0.78875
4.106108,10.569753,-4.429542,-2.337797,2.107894,0.819754,-0.485932,0.045694,0.326052,0.809613
11.892661,9.950655,-5.592141,-2.180022,2.531988,3.141422,-0.455232,0.131367,0.231189,0.84974
5.044087,6.292259,-7.495072,-2.352335,-0.902304,0.312612,-0.397627,0.18673,0.120849,0.89018
-3.005028,8.279059,-1.567887,-5.963045,-4.160098,-2.369379,-0.405774,0.216951,0.054402,0.886183
-3.341011,10.684602,-0.426658,-8.170166,1.997448,1.85251,-0.443253,0.305997,0.003935,0.842542
-3.422837,6.269065,0.919079,-2.183955,1.062382,1.985587,-0.467221,0.376403,-0.019931,0.799768
-4.185148,3.934577,1.163517,-0.84151,-1.004434,0.996912,-0.491524,0.421811,-0.019362,0.761646
-2.475296,2.587622,0.077707,-0.297633,-0.950457,0.347474,-0.514955,0.448942,-0.015201,0.730097
1.03183,1.96011,-0.246627,-0.522641,0.47474,0.615425,-0.520481,0.465123,-0.024477,0.715654
2.781786,1.027841,-0.7521,-0.080582,0.089189,0.833094,-0.507511,0.472644,-0.045302,0.719019
3.254263,0.015589,-1.155377,0.176992,-0.350076,0.929826,-0.489345,0.469861,-0.069519,0.731396
3.157521,-0.794766,-1.447339,0.148862,-0.512259,0.86994,-0.471396,0.457895,-0.09267,0.748018
2.512733,-1.274035,-1.522959,0.044884,-0.581175,0.68184,-0.457631,0.439901,-0.111923,0.764549
1.825467,-1.396492,-1.425633,-0.125102,-0.3586,0.447447,-0.449073,0.420247,-0.126519,0.778279
1.386669,-1.421425,-1.161541,-0.194227,-0.224667,0.276194,-0.443844,0.401285,-0.136913,0.789448
1.029171,-1.320175,-0.864143,-0.262566,-0.10341,0.145111,-0.440201,0.384079,-0.143517,0.798818
0.438929,-1.195301,-0.682023,-0.25809,-0.188102,0.004341,-0.438708,0.369681,-0.146977,0.805773
-0.363947,-1.227301,-0.663609,-0.19618,-0.319546,-0.056691,-0.442794,0.357091,-0.147167,0.809173
-0.819503,-1.387038,-0.624588,-0.204388,-0.342503,-0.061933,-0.451893,0.344526,-0.144446,0.81008
-1.077203,-1.581685,-0.620737,-0.266181,-0.281559,-0.115487,-0.463809,0.331197,-0.139365,0.809794
-1.328635,-1.687433,-0.725316,-0.405648,-0.226054,-0.16997,-0.477763,0.316286,-0.133202,0.80868
-1.7775,-1.572869,-0.909168,-0.484759,-0.274514,-0.174442,-0.494837,0.301029,-0.126974,0.80523
-2.107321,-1.619371,-1.240007,-0.439828,-0.238686,-0.237296,-0.515862,0.285483,-0.121782,0.79847
-2.296097,-1.473916,-1.524219,-0.415198,-0.248118,-0.262735,-0.53916,0.268565,-0.118381,0.789408
-2.124337,-1.40249,-1.823712,-0.375531,-0.140229,-0.238256,-0.562569,0.25084,-0.117831,0.778917
-2.037202,-1.244217,-2.10842,-0.360056,-0.11873,-0.176163,-0.584794,0.231618,-0.120304,0.768047
-2.227641,-1.068308,-2.663322,-0.375384,-0.062361,-0.157692,-0.607424,0.211328,-0.126936,0.755158
-2.937838,-0.950261,-3.181137,-0.316472,-0.201078,-0.138232,-0.633575,0.188364,-0.137812,0.737638
-3.692915,-0.708027,-3.660196,-0.306534,-0.108473,-0.155311,-0.664717,0.165165,-0.151468,0.712692
