"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
1.193871,-1.571147,1.3609,0.019713,0.228112,-0.291054,-0.124885,0.047226,0.484955,0.864287
1.445397,-1.586113,1.480826,-0.009299,0.298491,-0.197351,-0.104182,0.04225,0.498422,0.859614
1.568921,-1.509133,1.71246,-0.055395,0.285397,-0.087503,-0.082944,0.037862,0.512928,0.853576
1.77866,-1.312056,1.934151,-0.093163,0.320124,0.088034,-0.060165,0.035709,0.528896,0.845798
1.73886,-1.025104,2.197469,-0.099442,0.464526,0.357424,-0.037909,0.036698,0.546168,0.836012
1.292672,-0.80198,2.563597,-0.109143,0.450827,0.601742,-0.017953,0.03847,0.565506,0.823651
0.62768,0.168916,3.377232,-0.219825,0.465648,0.99319,0.006282,0.042625,0.613057,0.788863
-0.997366,0.746755,3.732099,-0.12107,0.701519,1.153764,0.004698,0.046386,0.6406,0.766458
-3.920009,-0.047222,4.66077,-0.051764,0.799826,1.607023,-0.013495,0.033969,0.672601,0.739102
-4.434843,-0.346311,6.644193,-0.464855,1.472618,1.539858,-0.043133,-0.000416,0.713337,0.699493
-5.677057,0.63658,7.041628,-1.239504,3.15012,0.226119,-0.082486,-0.029787,0.760888,0.642929
-8.125692,0.493058,7.147336,-0.456157,3.080477,-0.047591,-0.125192,-0.070563,0.800762,0.581487
-5.867723,4.575361,3.397904,1.212172,3.829023,4.019108,-0.191542,-0.111753,0.82334,0.522432
2.521753,7.309409,-9.497618,3.534662,5.985929,1.785343,-0.270279,-0.05599,0.769538,0.575869
1.093589,4.26654,-11.965355,6.337972,6.865708,1.341505,-0.299387,-0.037656,0.685323,0.662783
2.642385,1.345171,-14.332191,9.000482,3.824049,-0.457825,-0.29911,-0.049756,0.58661,0.750964
5.593541,-0.603959,-17.289146,11.231016,0.208059,-3.360277,-0.259077,-0.073883,0.469767,0.840678
7.089483,-4.065197,-17.898268,11.11802,-1.964002,-0.843257,-0.183426,-0.106433,0.319981,0.923385
5.033176,-5.706229,-15.266238,8.409343,-4.378855,0.277046,-0.084113,-0.163274,0.179253,0.966507
-1.532014,-4.271342,-11.402931,5.1912,-5.302475,0.503549,-0.033812,-0.218306,0.053374,0.973833
-2.767594,-2.093326,-7.347486,3.789629,-4.332032,1.140324,-0.034536,-0.25133,-0.039609,0.966474
-4.964499,-0.538804,-3.791025,2.496233,-4.107122,0.9223,-0.057459,-0.262845,-0.101811,0.957729
-6.431911,0.426895,-1.64084,1.745911,-4.07127,0.997014,-0.107444,-0.257584,-0.143801,0.949435
-4.485974,0.748059,-0.075362,1.881769,-2.60291,0.319054,-0.157765,-0.243635,-0.165494,0.942531
-2.726147,0.65123,0.062557,2.034527,-1.522125,-0.40747,-0.189,-0.230998,-0.174227,0.938384
-2.303649,1.264403,0.05286,1.361061,-1.299269,-0.373604,-0.210177,-0.218725,-0.181218,0.935492
-2.384492,1.787791,0.532293,0.974395,-0.813764,-0.349271,-0.229778,-0.198999,-0.18718,0.934112
-1.383846,1.998456,1.061169,0.951004,-0.562085,-0.287628,-0.245777,-0.175595,-0.187894,0.934588
-0.352451,1.963049,1.524076,0.955999,-0.17376,-0.392589,-0.251642,-0.15224,-0.182126,0.938259
-0.673759,2.069085,1.784699,0.956239,-0.345145,-0.372128,-0.254259,-0.128413,-0.172159,0.942987
-1.13602,2.059498,1.99876,1.030238,-0.076177,-0.481325,-0.262429,-0.102212,-0.160664,0.945976
-1.348202,1.644065,2.194761,1.077317,0.277243,-0.478313,-0.273487,-0.077153,-0.146697,0.947487
-1.567457,1.258614,2.255849,0.84903,0.240495,-0.475995,-0.286812,-0.055223,-0.130894,0.947394
-1.452016,1.186883,2.431989,0.485838,-0.074712,-0.301528,-0.300223,-0.03515,-0.11317,0.946479
-1.086356,1.004434,2.66622,0.37193,-0.003326,-0.35455,-0.312478,-0.015544,-0.092755,0.945258
-0.772387,0.691305,2.799935,0.311764,0.077614,-0.359499,-0.319317,0.00213,-0.069642,0.945083
-0.917095,0.20911,2.773677,0.100274,0.324621,-0.460088,-0.327337,0.015647,-0.044797,0.943716
-0.781774,0.144086,2.266353,-0.259936,0.306752,-0.617807,-0.334475,0.025484,-0.020842,0.941829
-0.902577,0.056226,2.284497,-0.469354,-0.036603,-0.505855,-0.342105,0.034128,0.000245,0.939042
-0.28719,-0.038171,2.467773,-0.559317,-0.011041,-0.374689,-0.346467,0.041969,0.022965,0.936842
0.128971,-0.071128,2.208746,-0.623323,0.391819,-0.346649,-0.345897,0.04933,0.045369,0.935876
0.317271,-0.174899,1.956855,-0.579537,0.300065,-0.317819,-0.342777,0.056006,0.064906,0.935497
0.329988,-0.136474,1.701652,-0.547958,0.272741,-0.276885,-0.33827,0.06088,0.082465,0.93545
0.32488,-0.301057,1.512223,-0.497876,0.400917,-0.264039,-0.334383,0.064401,0.097818,0.935132
0.568455,-0.090871,1.443882,-0.485883,0.38045,-0.101986,-0.328993,0.067885,0.11202,0.935204
0.487432,0.003585,1.544414,-0.337455,0.417539,-0.071711,-0.32285,0.073225,0.125564,0.935222
