"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.41439,1.144559,0.11224,0.032937,-0.303212,-0.094731,-0.695422,0.384595,-0.203092,0.572039
-1.581261,2.487621,0.707241,0.06972,-0.351886,-0.000702,-0.693911,0.398976,-0.2117,0.560793
-1.916046,2.317328,0.772045,0.430316,0.534592,-0.098812,-0.695788,0.421631,-0.216453,0.53968
-0.190425,2.227735,1.112514,0.473444,1.00958,-0.333367,-0.693294,0.4427,-0.222476,0.523321
1.091455,2.252198,1.561068,0.329249,0.917197,-0.355124,-0.679341,0.462096,-0.232648,0.520421
1.290332,2.849631,1.689119,0.058888,0.608689,-0.300925,-0.658912,0.483204,-0.246848,0.520975
1.653293,3.745896,1.75098,-0.093133,0.667557,-0.332569,-0.6346,0.508017,-0.266117,0.518057
2.553987,4.56938,1.940484,-0.142142,0.808864,-0.532283,-0.602818,0.53501,-0.293157,0.514231
3.141319,5.471885,2.095908,-0.200669,0.736394,-0.663957,-0.56133,0.563587,-0.327563,0.509883
3.841462,6.437103,2.161019,-0.103215,0.862533,-0.83826,-0.5107,0.593125,-0.368821,0.501358
4.928972,6.254488,2.457767,0.368158,1.075158,-1.139953,-0.450375,0.619036,-0.414633,0.491972
5.900711,4.345537,3.27381,1.018924,0.655118,-1.734511,-0.381701,0.633199,-0.458323,0.493258
6.448721,0.308113,4.560658,1.800849,-0.055149,-2.73124,-0.313624,0.630077,-0.486938,0.517237
6.524416,-5.616753,5.508011,3.354865,-0.58361,-3.658732,-0.2601,0.598334,-0.492438,0.576063
4.003154,-10.974895,6.262467,5.532043,-1.149919,-2.323813,-0.230689,0.535356,-0.467394,0.66462
-0.861048,-16.27129,6.278122,6.022615,-1.157672,1.890358,-0.249379,0.443709,-0.399237,0.76259
-3.449797,-18.521355,4.952068,3.851889,-0.254682,5.253462,-0.305143,0.326034,-0.294823,0.844789
-8.877213,-16.802235,2.515542,2.427859,1.239187,5.334407,-0.392726,0.19688,-0.186254,0.878814
-9.277584,-11.12228,-1.263353,0.997667,0.778926,2.715276,-0.500297,0.090975,-0.102639,0.854922
-6.595273,-6.242567,-2.402797,1.782229,0.046447,2.483271,-0.574079,0.015254,-0.06834,0.815801
-1.493939,-5.033746,-0.701012,2.317888,-0.376304,2.038132,-0.610837,-0.036351,-0.050478,0.789309
3.954385,-2.284849,0.512409,1.099902,-0.339544,2.154338,-0.601072,-0.067477,-0.025114,0.795945
5.937849,0.93548,0.353201,0.259581,-0.464498,2.001394,-0.558822,-0.069175,-0.015186,0.826258
3.951844,0.716332,0.272405,0.645335,-1.124309,1.578756,-0.515533,-0.059631,-0.014795,0.854664
0.337366,0.346077,-0.067827,0.493533,-1.283762,1.385409,-0.497532,-0.055764,-0.014475,0.86553
-0.972408,0.840479,-0.256393,0.098594,-0.619439,0.991119,-0.502082,-0.051277,-0.019568,0.863077
-0.50303,0.609057,-0.170961,0.109637,-0.287129,0.527216,-0.508507,-0.045627,-0.02572,0.859463
-0.278374,0.353324,-0.168197,0.027541,-0.373394,0.291582,-0.511098,-0.042361,-0.02956,0.857969
-0.718328,0.27137,-0.239084,-0.095492,-0.486152,0.172803,-0.514869,-0.040721,-0.032982,0.855666
-1.206898,0.294619,-0.364504,-0.182348,-0.486026,0.083438,-0.523037,-0.039537,-0.037428,0.85057
-1.436174,0.408935,-0.444905,-0.284394,-0.435466,0.096142,-0.534145,-0.038382,-0.043164,0.843418
-1.465102,0.685108,-0.429688,-0.33372,-0.402294,0.13179,-0.546157,-0.035472,-0.050475,0.835408
-1.172565,0.825075,-0.270764,-0.316686,-0.371614,0.086466,-0.556606,-0.030386,-0.057998,0.828193
-1.045072,0.948003,-0.138691,-0.313012,-0.372723,0.060333,-0.564899,-0.023522,-0.064995,0.82226
-1.100809,0.930461,0.029902,-0.286049,-0.359326,-0.022804,-0.572918,-0.015396,-0.071033,0.816383
-1.24127,0.855892,0.26614,-0.282339,-0.382276,-0.100091,-0.581698,-0.006444,-0.075148,0.8099
-1.407115,0.821058,0.526754,-0.311823,-0.406801,-0.138779,-0.591628,0.003617,-0.076895,0.802527
-1.57185,0.986151,0.861914,-0.389137,-0.405178,-0.180691,-0.614602,0.0294,-0.075638,0.784652
-1.663123,1.062474,1.026625,-0.361311,-0.415627,-0.157616,-0.626002,0.04448,-0.073926,0.775035
-1.423667,1.116017,1.112077,-0.343045,-0.370528,-0.259975,-0.636709,0.061299,-0.071385,0.765342
-1.507983,1.069046,1.103656,-0.262374,-0.272519,-0.255413,-0.646495,0.07776,-0.068936,0.755808
-1.615146,1.121316,1.162893,-0.221188,-0.225699,-0.283462,-0.656393,0.094699,-0.065826,0.745552
-1.773905,1.246711,1.192764,-0.178267,-0.118148,-0.290736,-0.667155,0.112308,-0.063073,0.733698
-1.663438,1.432899,1.192354,-0.147443,0.057677,-0.278836,-0.677486,0.131529,-0.06098,0.721107
-1.64241,1.476889,1.223122,-0.115247,0.188432,-0.328249,-0.686642,0.151105,-0.060035,0.70858
-1.733289,1.450135,1.204081,-0.142851,0.256422,-0.319215,-0.69573,0.171228,-0.058432,0.695144
