"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-1.123056,-2.536875,14.712984,-6.376221,4.486032,-2.191126,-0.196862,0.407103,0.201479,0.86886
-0.935033,-1.062755,13.824662,-5.722409,3.014006,-1.757821,-0.142242,0.413783,0.331038,0.836041
-0.577625,0.157587,12.118379,-5.221891,2.022997,-1.455385,-0.09229,0.422333,0.440429,0.786854
-0.553632,1.62647,9.93697,-4.901176,0.757344,-1.230631,-0.05351,0.434677,0.525697,0.72927
-1.15679,2.390385,7.64846,-4.334993,-0.316669,-0.73077,-0.032183,0.447952,0.590253,0.670749
-1.259127,2.657759,5.13729,-3.711666,-0.891512,-0.307228,-0.027125,0.458407,0.636583,0.619588
-0.687495,2.782415,2.424116,-3.070356,-1.333442,-0.114563,-0.033322,0.469494,0.663027,0.582118
-0.23868,2.094983,-0.069626,-2.19137,-1.621067,-0.08617,-0.046982,0.481468,0.670663,0.562311
-0.360584,0.692768,-2.450874,-1.532369,-1.572027,-0.313567,-0.06423,0.486922,0.664035,0.563773
-0.880841,-0.848657,-4.266001,-1.20646,-1.419625,-0.543411,-0.083603,0.479936,0.64741,0.586116
-1.566926,-2.021075,-5.332205,-1.215501,-1.031553,-0.734952,-0.104397,0.458601,0.625322,0.622704
-1.895467,-2.487671,-5.847612,-1.440768,-0.436829,-0.880137,-0.126557,0.426447,0.59967,0.665223
-1.140839,-2.393998,-6.448632,-1.506761,0.400123,-0.676547,-0.168756,0.355688,0.531711,0.749861
-0.978408,-2.23529,-6.608486,-1.382285,0.682807,-0.648588,-0.186895,0.321033,0.489046,0.789203
-0.825843,-1.947957,-6.72563,-1.226949,1.038926,-0.588566,-0.204855,0.286688,0.442261,0.824773
-0.537663,-1.528697,-6.741905,-1.027126,1.02805,-0.520856,-0.221161,0.255088,0.391101,0.856188
-1.004069,-1.156163,-6.604311,-0.880198,0.888039,-0.302538,-0.23879,0.225522,0.337948,0.881992
-1.110296,-0.877455,-6.290842,-0.735852,1.019695,-0.048298,-0.259155,0.196933,0.28532,0.90147
-0.624362,-0.425471,-5.960832,-0.691044,1.113714,0.069122,-0.276726,0.172116,0.233257,0.916182
0.004192,0.293885,-5.135783,-0.326429,0.757807,0.207312,-0.297626,0.139347,0.130265,0.935432
0.187254,0.393923,-4.66322,-0.161134,0.650325,0.259044,-0.303869,0.128003,0.08324,0.940399
0.409023,0.51699,-4.221458,-0.084001,0.509489,0.283097,-0.30681,0.118928,0.039763,0.943474
0.582955,0.484952,-3.843642,0.043691,0.431108,0.28618,-0.306973,0.111642,-0.000368,0.945147
0.568107,0.361616,-3.656259,0.130539,0.53147,0.223823,-0.305354,0.104131,-0.037523,0.945784
0.449216,0.224172,-3.600395,0.156651,0.685825,0.048366,-0.304297,0.095582,-0.073203,0.944938
0.235491,0.161198,-3.528991,0.198221,0.813171,-0.137544,-0.30426,0.086302,-0.10776,0.942531
0.015274,-0.061049,-3.348867,0.355617,0.841742,-0.278976,-0.306341,0.076126,-0.14047,0.938418
-0.327658,-0.282734,-3.150501,0.458713,0.835721,-0.385989,-0.310328,0.064692,-0.170052,0.933056
-0.485575,-0.4593,-2.97326,0.635174,0.870951,-0.481708,-0.317451,0.052296,-0.197185,0.926071
-0.459595,-0.768933,-2.536995,0.918611,0.887235,-0.546502,-0.324406,0.038732,-0.220593,0.919021
-0.363296,-0.809018,-1.95,0.897403,0.793937,-0.554276,-0.331613,0.024625,-0.238317,0.912487
-0.004824,-0.638696,-1.315273,0.842786,0.668362,-0.488356,-0.335594,0.012999,-0.250752,0.907927
0.356598,-0.373022,-0.700873,0.811925,0.491275,-0.34452,-0.335275,0.004597,-0.258168,0.906046
0.591232,-0.186292,-0.14229,0.773226,0.32657,-0.142649,-0.331625,-0.000466,-0.261048,0.906575
0.89478,0.039854,0.262075,0.678769,0.251018,0.005169,-0.325126,-0.002847,-0.260089,0.909197
1.218241,0.283404,0.491763,0.554409,0.14467,0.116364,-0.314992,-0.002871,-0.257009,0.913629
1.242869,0.548149,0.460379,0.377681,-0.008981,0.246741,-0.302407,-0.000731,-0.253746,0.918783
0.980642,0.805858,0.166613,0.190394,-0.157907,0.4137,-0.29038,0.003671,-0.252749,0.922921
0.585152,1.015972,-0.140706,0.005936,-0.227011,0.533345,-0.280845,0.01016,-0.255306,0.925117
0.219948,1.133517,-0.550005,-0.232303,-0.163294,0.598876,-0.274316,0.018124,-0.261514,0.92522
-0.312457,1.311224,-1.062427,-0.552186,-0.062514,0.639754,-0.271631,0.027367,-0.272134,0.922719
-0.711674,1.654953,-1.596646,-0.874044,-0.11825,0.710938,-0.27279,0.038705,-0.288133,0.917097
-0.839561,1.810163,-2.230488,-0.908902,-0.258653,0.836137,-0.275509,0.052034,-0.309962,0.908466
-1.029359,1.248412,-3.020362,-0.656948,-0.337651,0.826775,-0.280268,0.061999,-0.337359,0.896546
-1.290338,0.308979,-3.869193,-0.469221,-0.284802,0.672273,-0.291092,0.062961,-0.369386,0.880259
-1.652837,-0.564231,-4.620909,-0.425913,-0.184399,0.446825,-0.306938,0.054719,-0.405101,0.85947
