"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.6059,0.547757,-0.743184,-0.22157,0.087258,0.114763,-0.440404,-0.270164,0.11609,0.84828
-0.583397,0.681023,-0.644494,-0.180222,0.082313,0.239127,-0.444151,-0.268567,0.105721,0.848189
-0.920106,0.562848,-0.387958,-0.099626,-0.144842,0.278703,-0.449539,-0.266245,0.096506,0.847181
-1.398153,0.497755,-0.074694,-0.229367,-0.389053,0.286119,-0.459239,-0.264066,0.089213,0.843451
-1.507059,1.087189,0.142496,-0.183191,-0.351335,0.434867,-0.486958,-0.252562,0.074425,0.832794
-1.49722,1.142966,0.288811,0.076977,-0.534523,0.493506,-0.500627,-0.243295,0.067031,0.828062
-1.67186,1.288133,0.524937,0.268472,-0.786362,0.610053,-0.515131,-0.232223,0.060483,0.822833
-2.108187,1.409141,0.726643,0.429456,-1.023685,0.742081,-0.532891,-0.218927,0.054221,0.815572
-2.537641,1.571759,0.889115,0.491294,-1.076886,0.864138,-0.55421,-0.203788,0.047805,0.805628
-2.908945,1.74144,1.089077,0.548495,-1.088675,0.947455,-0.578513,-0.186148,0.04103,0.793088
-3.468704,1.808155,1.2908,0.639678,-1.035493,1.039207,-0.606179,-0.166344,0.034118,0.77699
-4.148201,1.59113,1.577184,0.668957,-0.923023,1.005476,-0.637901,-0.145551,0.028599,0.755698
-4.791311,1.338293,2.012991,0.527668,-0.608478,0.971179,-0.673946,-0.124221,0.026269,0.727788
-5.090087,1.150528,2.348094,0.209071,-0.123014,0.900119,-0.711886,-0.101602,0.027897,0.694347
-4.75569,1.360657,2.718268,-0.190712,0.683322,0.760853,-0.748156,-0.07649,0.031509,0.658346
-3.965538,2.028617,2.775931,-0.515045,1.468471,0.618805,-0.77834,-0.045971,0.033822,0.625244
-3.465467,2.647146,2.627705,-0.501614,1.925488,0.556609,-0.802277,-0.01166,0.030647,0.59605
-3.204667,3.269957,2.485947,-0.361769,1.99572,0.47742,-0.822121,0.025409,0.021967,0.568322
-3.235569,3.923605,2.35331,-0.186065,1.806893,0.444,-0.839384,0.064973,0.006723,0.5396
-2.709509,4.383761,2.093688,0.095229,2.007634,0.304246,-0.85323,0.106061,-0.014065,0.510443
-1.699637,4.277503,1.405962,0.393578,2.325414,0.021974,-0.860968,0.143492,-0.039833,0.486372
-0.379205,4.069733,1.073847,0.63682,2.297348,-0.245449,-0.861524,0.174389,-0.06842,0.471894
0.338718,4.025691,0.773972,0.639674,2.060668,-0.273678,-0.856525,0.200873,-0.098566,0.46508
1.666956,4.689002,0.748433,0.49619,2.297259,-0.428521,-0.845744,0.226025,-0.133626,0.464516
6.093843,7.045021,0.848549,0.51231,2.503295,-0.517344,-0.782447,0.28006,-0.242512,0.500531
7.844118,7.452322,1.678343,0.814881,1.867389,-0.158133,-0.721959,0.30715,-0.311779,0.535936
7.777582,7.984958,2.53865,0.970763,0.772972,0.159436,-0.644718,0.336296,-0.377372,0.57344
7.141717,7.342846,3.562958,1.444739,-0.118028,-0.345131,-0.559072,0.369718,-0.431685,0.603652
5.416578,3.400632,4.48398,2.742362,-0.175196,-1.829393,-0.479398,0.398033,-0.461556,0.631437
5.136425,-4.011574,6.196279,4.436029,-0.19678,-3.528122,-0.425903,0.396522,-0.446812,0.679512
6.65698,-11.63579,8.599691,4.35896,-0.62831,-3.661718,-0.387367,0.344321,-0.383197,0.764559
3.609808,-15.73087,8.439093,4.712466,-1.739406,-0.557363,-0.360829,0.244212,-0.27722,0.856336
4.484509,-14.311877,6.443936,4.324781,-0.556834,3.036258,-0.357054,0.126328,-0.163432,0.910958
3.582786,-11.126855,10.454959,2.5305,3.264023,3.839798,-0.253449,-0.12388,0.11011,0.953044
-14.732574,-8.164985,3.83013,5.296109,-3.225833,4.836184,-0.292846,-0.210564,0.215459,0.907459
-15.99052,-8.91813,-1.179464,4.149745,2.741564,5.589667,-0.423222,-0.314573,0.183645,0.829579
4.196298,-4.79154,0.32888,1.602795,4.462031,1.112836,-0.463902,-0.37352,0.193748,0.779576
8.274058,2.130291,-0.008691,-0.059128,-0.283964,3.94593,-0.406583,-0.369488,0.226685,0.804228
1.785567,3.420012,0.038761,-0.172113,-2.214978,2.809258,-0.367371,-0.330509,0.236612,0.836551
0.306151,2.152162,0.184804,0.644193,-0.039331,1.270262,-0.368864,-0.304342,0.228415,0.848022
0.487699,1.381034,-0.050813,0.157028,0.18859,0.637037,-0.369386,-0.288759,0.224039,0.854388
0.315886,1.243425,-0.092775,-0.27863,0.045262,0.455691,-0.368262,-0.277279,0.220001,0.859709
-0.127897,1.350234,-0.231741,-0.35682,0.191718,0.333896,-0.369559,-0.266097,0.214241,0.86413
-0.93581,1.160642,-0.324228,-0.241607,0.065288,0.256083,-0.376095,-0.25748,0.205731,0.865986
-1.365305,1.217406,-0.353346,-0.255861,0.125226,0.254697,-0.387753,-0.251086,0.195372,0.865121
-1.707727,1.325163,-0.466844,-0.170829,0.070532,0.343778,-0.402298,-0.244478,0.182889,0.863098
