"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.041645,0.193906,0.459534,0.060787,0.101396,-0.116898,0.338427,0.13258,0.754668,0.546228
0.537562,0.188263,0.748726,-0.024243,0.402823,-0.112798,0.339433,0.133667,0.758168,0.540463
0.26949,0.28794,1.169275,-0.062521,0.46374,-0.046284,0.341654,0.135274,0.763348,0.531293
-0.109571,0.527391,1.664394,-0.013958,0.652073,-0.12229,0.340929,0.132713,0.772012,0.519761
0.29515,0.938142,2.105444,0.03634,0.818928,-0.374804,0.338062,0.130303,0.784057,0.503974
0.949873,1.519418,2.319228,-0.049169,0.585962,-0.598089,0.334556,0.13375,0.798311,0.48258
1.154383,2.18077,2.447098,-0.043057,0.201405,-0.619862,0.328227,0.143484,0.814107,0.457066
1.012597,2.678581,2.403661,-0.015562,-0.37382,-0.40332,0.316478,0.154729,0.831286,0.429959
2.189766,3.035796,1.953832,-0.006386,-0.782983,-0.267696,0.302433,0.172586,0.846887,0.401908
2.284746,3.247043,0.934546,-0.139653,-1.657561,0.33817,0.287787,0.201145,0.857473,0.376111
1.212417,2.678891,-0.592034,-0.042218,-2.313323,1.174581,0.268193,0.226073,0.863097,0.363357
2.01222,1.438691,-2.440286,0.208551,-2.101749,1.449072,0.252211,0.250641,0.859411,0.367398
2.140075,0.152136,-4.219126,0.175281,-2.258536,1.287762,0.245209,0.280859,0.842713,0.388363
0.408812,-0.787566,-5.605747,-0.243726,-2.507611,1.097153,0.238822,0.302428,0.817915,0.42722
-0.062801,-1.373422,-6.528542,-0.51743,-1.570359,0.812032,0.228933,0.312013,0.787623,0.479465
0.622731,-1.698069,-6.430623,-0.657533,-0.178689,0.124488,0.222854,0.324195,0.748619,0.53367
0.252238,-1.790028,-6.405981,-0.895846,-0.463527,-0.173186,0.214497,0.328583,0.70847,0.586595
0.942323,-2.059143,-6.070166,-0.945906,-0.019347,-0.207814,0.210599,0.333842,0.664284,0.634764
0.837833,-2.168027,-5.455627,-1.103486,0.367337,-0.125774,0.211339,0.33841,0.618679,0.676795
0.750629,-2.122261,-4.913772,-1.122213,0.533532,-0.114636,0.211594,0.33869,0.575803,0.71342
0.962563,-1.977623,-4.332397,-1.009567,0.480201,-0.212794,0.213826,0.338357,0.534723,0.744221
1.064627,-1.640463,-3.764606,-0.978533,0.397432,-0.403024,0.217082,0.338549,0.496862,0.769018
1.076732,-1.420889,-3.224121,-0.89435,0.418989,-0.274699,0.220963,0.33962,0.462703,0.788505
1.096607,-1.355431,-2.811111,-0.822138,0.509976,-0.153816,0.225686,0.340308,0.431973,0.804149
0.669948,-1.26535,-2.5162,-0.767715,0.333508,-0.181658,0.22959,0.339553,0.4044,0.81759
0.541924,-1.125293,-2.328538,-0.732836,0.338197,-0.314498,0.230752,0.337522,0.379805,0.829808
0.402754,-1.016723,-2.116003,-0.607756,0.256976,-0.23629,0.231171,0.335483,0.357244,0.840469
0.470907,-1.034516,-1.917285,-0.482659,0.382893,-0.149456,0.231434,0.332964,0.336471,0.849918
0.347055,-1.077531,-1.686574,-0.422296,0.348035,-0.050776,0.232677,0.329489,0.317197,0.858303
0.313798,-0.92833,-1.491915,-0.47805,0.298307,-0.205288,0.23351,0.325179,0.300277,0.865775
0.086862,-0.734508,-1.302386,-0.440219,0.106133,-0.188207,0.233308,0.321937,0.285558,0.871998
0.20314,-0.654826,-1.106586,-0.383232,0.240009,-0.144043,0.232366,0.318771,0.273323,0.877317
0.461988,-0.681724,-0.890981,-0.28551,0.28633,-0.110436,0.234224,0.31621,0.261784,0.88126
0.391059,-0.64637,-0.661536,-0.313414,0.190212,-0.106535,0.237696,0.31298,0.252135,0.884292
0.051191,-0.561075,-0.466923,-0.294837,0.109047,-0.135885,0.23953,0.309533,0.245038,0.887001
-0.156468,-0.480937,-0.280106,-0.235853,0.13288,-0.138483,0.239135,0.30539,0.240859,0.889685
0.075185,-0.458586,-0.079176,-0.178815,0.195278,-0.139726,0.239186,0.301547,0.238323,0.891663
0.115796,-0.465677,0.126488,-0.174032,0.116545,-0.099528,0.241546,0.297328,0.237253,0.892727
0.038261,-0.422364,0.294359,-0.21106,0.163595,-0.094529,0.243989,0.293024,0.237866,0.893323
0.018484,-0.322897,0.38178,-0.18434,0.230922,-0.130257,0.246394,0.288589,0.240048,0.893523
0.055685,-0.272037,0.411569,-0.121703,0.300176,-0.069027,0.248445,0.28508,0.2428,0.893338
-0.015001,-0.263037,0.408219,-0.068306,0.345893,0.020626,0.250751,0.281411,0.245838,0.893026
-0.049374,-0.232204,0.38525,-0.069185,0.414786,0.025905,0.252082,0.278075,0.248864,0.892858
0.028812,-0.176904,0.387869,-0.067423,0.416702,-0.01882,0.253746,0.274954,0.251902,0.892501
0.053157,-0.122733,0.484538,-0.077141,0.343725,-0.10334,0.255617,0.272671,0.255228,0.891722
-0.020646,-0.141781,0.663848,-0.068209,0.261938,-0.104981,0.257878,0.269807,0.260039,0.890552
