"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.196132,-0.343259,0.222582,0.290689,-0.21515,-0.192491,0.1706,-0.561559,-0.623705,0.516275
0.08391,-0.350735,0.539663,0.280548,-0.311221,-0.327854,0.166451,-0.564976,-0.621466,0.516602
-0.015664,-0.080306,0.447663,0.266188,-0.151562,-0.435836,0.162623,-0.567353,-0.618649,0.518593
-0.747154,0.274251,0.12441,0.373037,-0.034371,-0.641698,0.159983,-0.565743,-0.618512,0.521328
-2.090453,0.723437,0.03057,0.59982,0.26906,-0.79646,0.1554,-0.554849,-0.625197,0.526423
-3.653845,1.636882,0.316773,0.721667,0.366323,-1.070001,0.146148,-0.53046,-0.638571,0.538034
-4.545238,2.620857,0.898831,0.885246,0.509318,-1.429622,0.134429,-0.492831,-0.653506,0.558549
-4.13436,3.402418,1.561696,0.611896,0.550679,-1.682243,0.123765,-0.448367,-0.663302,0.586242
-4.913397,3.948129,2.791853,0.11357,-0.005293,-1.642093,0.113273,-0.400257,-0.664464,0.620847
-6.449202,4.538081,4.655546,-0.621459,-0.392764,-1.733535,0.090268,-0.338246,-0.657716,0.666972
-4.982619,4.591733,6.193608,-1.395148,0.063465,-2.060865,0.061775,-0.271698,-0.634461,0.720987
-1.399666,4.388421,6.72155,-2.107249,0.169632,-1.64282,0.04993,-0.22235,-0.5912,0.77366
0.543808,4.60147,6.650532,-1.895661,-0.213629,-0.792411,0.058218,-0.188802,-0.536473,0.820464
0.440243,5.122097,6.581517,-1.782378,-0.316175,-0.642696,0.076072,-0.155128,-0.476989,0.861759
-0.914466,5.174986,6.91628,-1.750884,0.000378,-0.372059,0.088499,-0.113908,-0.4137,0.898913
-0.751983,4.026635,7.228841,-1.431094,0.552161,0.574626,0.090986,-0.074026,-0.345791,0.930951
0.430428,2.774606,7.768185,-0.884436,0.604305,1.192271,0.094375,-0.048702,-0.272565,0.956258
1.260418,2.249372,8.439577,-1.099323,-0.06802,1.214133,0.105069,-0.034789,-0.191219,0.975288
2.016797,1.935832,8.110578,-1.709947,-0.794495,1.411499,0.122301,-0.025833,-0.106368,0.986439
0.795337,0.775853,7.255116,-1.507477,-1.60944,2.951275,0.137386,-0.022317,-0.027908,0.989873
1.931095,-0.218781,5.784404,-1.430529,-1.982665,3.667817,0.147438,-0.029195,0.03754,0.987927
3.161494,-2.155349,3.683479,0.230578,-3.177229,4.622996,0.171228,-0.046665,0.083934,0.98054
2.755835,-3.403205,0.620957,-0.29778,-4.062592,3.915772,0.204414,-0.074531,0.102124,0.970686
1.195159,-4.98609,-2.748654,-0.302839,-4.311366,3.879457,0.227338,-0.11096,0.083918,0.963828
1.049846,-5.714868,-5.408841,-1.208227,-3.922838,3.325108,0.24685,-0.152789,0.032793,0.956371
-0.551535,-5.21637,-7.616071,-2.516885,-3.911901,2.687278,0.262068,-0.188324,-0.042173,0.945556
-3.286195,-4.777886,-10.034934,-3.400298,-3.068725,2.305625,0.256416,-0.210515,-0.141941,0.932624
-5.068289,-4.493363,-12.928181,-4.226682,-2.52507,1.690023,0.232707,-0.215972,-0.267495,0.909753
-10.578984,-5.299448,-14.334137,-6.491071,-0.798183,1.936339,0.19096,-0.207574,-0.414727,0.86513
-13.760264,-5.318128,-12.48834,-7.987487,4.258359,2.537349,0.077181,-0.166681,-0.563023,0.80577
-6.475944,-4.125015,-9.619192,-4.05444,3.231257,2.187912,-0.012973,-0.140298,-0.663644,0.73466
-0.64814,-2.597493,-7.230493,-3.970313,2.231237,1.588771,-0.052703,-0.139214,-0.72712,0.670178
3.896987,-1.462972,-5.944215,-3.348042,2.690565,0.701439,-0.044889,-0.170726,-0.764539,0.619934
4.121302,-0.749536,-5.502815,-3.433732,1.806863,-0.038721,-0.016546,-0.211944,-0.789827,0.575308
2.91315,-0.837093,-5.16875,-3.219812,1.317181,-0.049137,0.0094,-0.243878,-0.811355,0.531168
2.306323,-1.480207,-4.646569,-2.348219,0.475681,-0.548588,0.026193,-0.270271,-0.829929,0.487324
1.220296,-2.112045,-3.525941,-1.231568,0.075838,-1.278624,0.030901,-0.292549,-0.8448,0.44696
0.533763,-2.167344,-2.143278,-0.623,0.036061,-1.846301,0.024967,-0.308267,-0.855017,0.416286
0.408348,-2.045804,-1.010363,-0.389011,-0.211076,-1.735343,0.013466,-0.320345,-0.860323,0.396284
0.194181,-1.621421,-0.130979,0.037828,-0.422947,-1.508241,0.000629,-0.330269,-0.861604,0.385435
0.799047,-1.084151,0.239511,0.07593,-0.632405,-1.281466,-0.010013,-0.338923,-0.859793,0.381821
1.651713,-0.548889,0.226855,-0.210865,-0.848609,-0.875919,-0.012802,-0.353249,-0.854302,0.381077
0.887068,-0.123806,0.494028,-0.290334,-1.244775,-0.228392,-0.011535,-0.36611,-0.848055,0.382927
0.239567,0.261877,0.942203,-0.263197,-1.317072,0.011563,-0.01186,-0.369134,-0.843858,0.389234
1.467587,0.754023,1.405877,-0.298121,-1.169884,0.092532,-0.00859,-0.374157,-0.836148,0.400985
1.819237,0.994182,1.794894,-0.270589,-1.697435,0.525339,5.9e-05,-0.384616,-0.823145,0.417736
