"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.125259,-2.411438,0.377355,-0.184947,1.00029,0.003149,-0.263897,-0.127823,0.896527,-0.332053
0.072206,-2.019906,-0.156197,-0.362649,1.039435,-0.042224,-0.244765,-0.119211,0.901886,-0.335382
-0.00991,-1.701904,-0.854536,-0.272944,1.262081,-0.097657,-0.227472,-0.11415,0.907912,-0.333049
0.151755,-1.446378,-1.534054,-0.188758,1.408023,-0.075522,-0.212309,-0.111424,0.915279,-0.323688
0.303353,-1.312984,-2.135335,-0.117003,1.382203,0.012596,-0.198399,-0.108753,0.924155,-0.307812
0.742241,-1.299348,-2.713252,-0.093152,1.597806,0.048277,-0.185569,-0.105669,0.934234,-0.285666
1.531813,-1.308646,-3.192648,-0.057994,2.13907,0.158182,-0.173167,-0.096713,0.945759,-0.257294
1.680191,-0.850711,-3.804636,-0.260511,3.116148,0.69607,-0.163775,-0.084358,0.957347,-0.222593
0.816765,-0.122134,-5.362229,-0.366119,4.297508,1.497548,-0.158494,-0.077494,0.96812,-0.177817
-0.606555,0.907563,-8.464481,0.068457,5.653443,2.242346,-0.157034,-0.088191,0.977307,-0.111507
-1.370867,2.345669,-13.147379,1.070708,7.228279,2.313675,-0.161677,-0.116301,0.979942,-0.007014
-1.438518,4.066303,-17.960506,2.717814,8.52228,2.207581,-0.171767,-0.153884,0.961843,0.147223
-1.005878,5.529003,-20.869522,4.923527,9.533172,2.580509,-0.186895,-0.187956,0.903469,0.336877
-0.384742,5.149677,-21.470398,7.646362,10.602611,2.23249,-0.193202,-0.211894,0.799706,0.527489
0.663373,5.421191,-21.959354,8.797698,11.334084,1.400307,-0.182489,-0.218567,0.65651,0.698514
3.310889,3.254251,-20.153437,10.816744,10.403237,0.478441,-0.146999,-0.2114,0.493238,0.830914
4.885193,1.481191,-18.785128,9.787389,8.762007,1.170304,-0.080541,-0.19558,0.326785,0.921126
5.194246,-1.125957,-16.371796,8.745049,6.015442,1.293662,0.001242,-0.187873,0.169406,0.967473
3.695846,-3.731834,-12.921107,7.290301,3.584579,1.102193,0.076085,-0.202013,0.034314,0.97582
1.381865,-5.098554,-9.472086,6.079249,2.118773,1.249083,0.123376,-0.234846,-0.073026,0.961402
-0.415984,-5.449197,-6.384948,5.138325,0.611173,1.187079,0.141513,-0.275352,-0.154286,0.93827
-2.321959,-4.810114,-3.984612,4.234061,-0.336967,0.756852,0.134181,-0.313634,-0.212893,0.915591
-3.567874,-3.790905,-1.923411,3.543458,-0.62742,0.197219,0.106505,-0.341728,-0.254836,0.898297
-3.903614,-3.062164,-0.077824,3.125837,-0.824632,-0.229165,0.066901,-0.360984,-0.279719,0.887115
-3.94347,-2.298105,1.330409,2.610793,-0.837099,-0.361997,0.021847,-0.373719,-0.28986,0.880817
-3.687496,-1.158838,2.435317,2.004056,-0.742233,-0.401107,-0.02391,-0.378091,-0.287425,0.879695
-3.447549,0.107475,3.178422,1.561823,-0.529333,-0.578124,-0.067451,-0.371152,-0.275796,0.8841
-2.982506,0.873076,3.743588,1.482718,-0.285896,-0.840099,-0.107023,-0.354786,-0.257033,0.892528
-2.502083,1.153678,4.148221,1.371312,-0.03573,-1.001868,-0.142525,-0.333899,-0.232251,0.902363
-2.331562,1.377505,4.453236,1.12281,0.236045,-0.964773,-0.175492,-0.310402,-0.203042,0.911936
-2.161572,1.618991,4.582729,0.972067,0.500342,-0.914361,-0.206635,-0.283709,-0.17105,0.920627
-2.01126,1.532075,4.574876,1.00319,0.751148,-0.892857,-0.235779,-0.255626,-0.138052,0.927365
-1.909061,1.342485,4.703393,0.943332,0.796349,-0.744229,-0.263458,-0.228308,-0.103379,0.931546
-1.787976,1.193298,4.970961,0.791698,0.820641,-0.486211,-0.289933,-0.201642,-0.065825,0.933245
-1.767057,0.873215,5.084476,0.701546,0.937802,-0.374825,-0.315388,-0.175758,-0.025413,0.932198
-1.821706,0.441574,5.036952,0.595935,0.986322,-0.326609,-0.340208,-0.152826,0.016612,0.9277
-1.845699,0.021351,4.871566,0.4524,0.994565,-0.262813,-0.364345,-0.13408,0.059006,0.91967
-1.753088,-0.362639,4.706922,0.248134,0.926463,-0.121508,-0.3871,-0.119078,0.101036,0.908717
-1.795796,-0.737436,4.624319,0.10928,0.731862,-0.029673,-0.407454,-0.107628,0.14331,0.895466
-1.984163,-1.100526,4.418396,0.013735,0.585361,0.054534,-0.427556,-0.099957,0.185395,0.87911
-1.907377,-1.375617,4.069512,-0.050909,0.510371,0.129201,-0.446328,-0.096243,0.225808,0.860546
-1.575016,-1.610997,3.689723,-0.109223,0.439309,0.143112,-0.461218,-0.095491,0.264007,0.841701
-1.332317,-1.840819,3.33129,-0.161119,0.364401,0.136367,-0.471787,-0.097568,0.299789,0.823422
-1.178153,-2.061879,3.115159,-0.22961,0.320824,0.146591,-0.479152,-0.102001,0.333946,0.805289
-1.13999,-2.245293,3.010623,-0.270178,0.341098,0.19602,-0.484109,-0.108585,0.367302,0.786726
-1.057714,-2.324995,3.104948,-0.303425,0.308692,0.290713,-0.487533,-0.115802,0.400828,0.766968
