"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.986007,-3.62341,-1.613122,-1.246046,0.525856,-0.210282,-0.960578,-0.073786,0.000827,0.268039
0.987411,-3.694878,-1.700709,-1.338101,0.582822,-0.205863,-0.955718,-0.099657,0.032441,0.274989
0.830106,-3.579612,-1.693072,-1.476398,0.403771,-0.252927,-0.949562,-0.12538,0.063092,0.280414
0.661958,-3.406071,-1.710301,-1.555909,0.359054,-0.389312,-0.942414,-0.15066,0.09238,0.283942
0.841812,-3.092913,-1.867578,-1.611145,0.452414,-0.404727,-0.93403,-0.175942,0.119129,0.287125
1.15494,-2.653867,-2.07492,-1.733403,0.666662,-0.438879,-0.923691,-0.201279,0.141741,0.293583
1.64819,-2.336572,-2.155337,-1.783785,0.634971,-0.609884,-0.911299,-0.226019,0.161206,0.304078
2.198173,-1.899812,-2.150614,-1.92666,0.692021,-0.692999,-0.896543,-0.248856,0.178165,0.320217
2.11894,-1.564613,-2.143137,-2.145799,0.671615,-0.813438,-0.880704,-0.269544,0.191787,0.339005
3.104915,-0.913113,-2.238223,-2.522518,0.797239,-0.977654,-0.863727,-0.288172,0.201349,0.361096
5.113396,0.520673,-2.751989,-3.226137,1.228141,-1.458927,-0.840304,-0.302136,0.206905,0.399742
4.688723,3.039032,-3.269922,-4.266203,1.088962,-1.807797,-0.812106,-0.308602,0.195794,0.454877
-0.031182,6.214627,-2.829642,-4.750168,-1.139317,-2.227983,-0.797959,-0.307425,0.152817,0.495377
-4.46523,10.025975,-1.19639,-4.753028,-3.584104,-1.496139,-0.813762,-0.286292,0.070861,0.500807
-5.402305,15.282941,-0.390449,-4.605803,-1.659569,1.24321,-0.837997,-0.230522,-0.051262,0.491928
-3.517045,21.439861,0.97197,-3.101835,-0.418867,3.09453,-0.837285,-0.133339,-0.212929,0.485629
-4.063953,24.201488,-1.098481,-2.653223,0.931032,2.257889,-0.776259,-0.006139,-0.403216,0.484563
-8.326908,19.535137,1.568308,-3.791597,-0.480441,-0.31765,-0.700868,0.12222,-0.558896,0.426008
-11.497086,15.768541,2.93422,-5.101884,-0.897647,2.428893,-0.625261,0.266376,-0.649538,0.340872
-13.639874,11.376569,4.630929,-3.606932,-2.364838,4.207075,-0.560278,0.41571,-0.673369,0.24464
-7.931288,8.143346,3.47856,-2.512736,-1.911867,3.58592,-0.498307,0.533433,-0.662909,0.166408
-0.114765,5.465724,1.409239,-1.72512,-2.655499,2.309539,-0.445776,0.580429,-0.669621,0.126469
3.815907,3.319078,-0.091355,-1.079561,-2.464891,2.253724,-0.410253,0.572759,-0.700434,0.11416
4.05504,1.460332,-0.265133,-0.444648,-2.066724,2.088421,-0.390323,0.544737,-0.733124,0.115929
2.948436,0.803983,0.006323,-0.112369,-1.505852,1.988974,-0.379262,0.519459,-0.755824,0.122692
1.832897,0.902879,0.183076,0.285497,-1.144226,2.118423,-0.369224,0.50259,-0.771103,0.128365
0.817084,1.035759,0.145317,0.741506,-0.943731,1.968951,-0.359066,0.494483,-0.78088,0.129552
0.627784,0.703087,-0.025002,1.046679,-0.779922,1.687764,-0.350786,0.490884,-0.78716,0.127912
1.105828,0.191146,-0.480378,1.309457,-0.58992,1.472631,-0.347436,0.484057,-0.79306,0.126622
1.674562,-0.089735,-0.902092,1.306798,-0.388859,1.176951,-0.348631,0.470329,-0.800878,0.125868
1.83185,-0.25663,-1.281226,1.237045,-0.158678,0.980655,-0.352912,0.451879,-0.809837,0.124188
1.634268,-0.474736,-1.526564,1.238387,0.02216,1.01114,-0.359804,0.432232,-0.818053,0.120445
1.393967,-1.281839,-1.704495,1.39908,0.154421,1.16723,-0.371724,0.412919,-0.823287,0.116266
1.23035,-2.051524,-1.877685,1.409553,0.207889,1.163931,-0.39141,0.393545,-0.824079,0.1132
1.153483,-2.546359,-1.919093,1.321371,0.301519,0.971633,-0.416341,0.37345,-0.821489,0.111133
1.232648,-2.834437,-1.86338,1.249593,0.383353,0.733351,-0.444037,0.352588,-0.816269,0.110533
1.384366,-3.182317,-1.615159,1.217227,0.383052,0.628857,-0.47284,0.330862,-0.8089,0.112397
1.655906,-3.529337,-1.351277,1.152469,0.312713,0.616112,-0.502791,0.307797,-0.799008,0.118527
2.086712,-3.904149,-0.990373,1.084585,0.250098,0.519242,-0.533334,0.282282,-0.786798,0.129699
2.143779,-4.263065,-0.615248,1.02555,0.177164,0.382352,-0.564365,0.255563,-0.771238,0.14619
1.98727,-4.638162,-0.242724,0.943293,0.190532,0.278374,-0.595911,0.230445,-0.751223,0.165678
1.868489,-4.949961,0.044957,0.813508,0.15543,0.255927,-0.628178,0.207244,-0.726215,0.187229
1.773088,-4.971649,0.277096,0.66515,0.111286,0.229791,-0.659725,0.185558,-0.697363,0.209801
1.124873,-4.952446,0.525723,0.579292,0.00803,0.158614,-0.689591,0.16659,-0.665848,0.230994
0.083953,-5.469254,0.571133,0.540794,-0.04878,0.078541,-0.720812,0.154574,-0.628948,0.246905
-0.806598,-6.157397,0.556643,0.406991,0.04079,0.125352,-0.756445,0.14609,-0.583968,0.255795
