"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
2.680883,-2.766578,-1.207653,-0.125216,1.014632,0.064018,-0.847972,0.022183,-0.274388,0.45295
3.161689,-2.966038,-1.052594,-0.192441,0.963778,0.130123,-0.842094,-0.008363,-0.255581,0.474853
4.024169,-3.104455,-0.859798,-0.210866,0.991045,0.03882,-0.83196,-0.039885,-0.234001,0.501493
5.146588,-3.271389,-0.513186,-0.23849,1.174037,-0.06102,-0.815345,-0.071873,-0.20886,0.535187
6.708236,-3.544181,-0.077566,-0.24601,1.392021,-0.166343,-0.788561,-0.104786,-0.178043,0.579217
8.054656,-4.016788,0.229871,-0.149568,1.325359,-0.06065,-0.749842,-0.138378,-0.139465,0.631773
8.86336,-5.106937,0.255436,-0.050232,1.116451,0.229532,-0.699371,-0.175925,-0.091679,0.686678
7.948165,-6.755387,-0.230863,0.00999,0.605776,0.75892,-0.643513,-0.223143,-0.03528,0.731337
6.694329,-7.86386,-1.03199,-0.530883,0.096245,0.817354,-0.587907,-0.282696,0.024067,0.757541
6.504788,-5.679357,-2.10881,-1.426207,-0.053112,-0.243882,-0.530689,-0.342151,0.072095,0.772078
6.916891,-0.313698,-4.290953,-1.680842,0.082628,-2.878928,-0.464575,-0.375663,0.087524,0.797112
5.495261,5.27704,-6.010399,-1.522265,-2.133332,-3.589348,-0.398963,-0.374243,0.055314,0.835291
6.072239,13.064398,-6.381157,-4.37579,-1.865695,-2.351263,-0.309524,-0.308137,-0.001921,0.899579
-13.853259,16.215639,-9.090755,-7.020759,-6.092682,0.97383,-0.326404,-0.197135,-0.133498,0.914755
-21.515116,13.937258,-4.184307,-8.515924,-2.213333,6.268957,-0.450523,-0.045791,-0.279573,0.846623
-20.864677,10.831671,-1.151766,-3.450708,-1.349831,10.947619,-0.573857,0.114361,-0.360284,0.726502
-17.941084,10.247098,3.152101,1.401219,2.159947,4.461323,-0.668318,0.255397,-0.387537,0.581325
-0.697914,10.450599,7.034024,-0.696494,5.137939,-3.627615,-0.657188,0.386689,-0.401824,0.507064
10.757731,7.480225,2.096958,-3.858919,0.131491,-1.082816,-0.567037,0.435094,-0.461228,0.525767
8.298753,2.448974,-0.798835,-1.489683,-2.9679,2.914683,-0.490451,0.415074,-0.527874,0.555446
3.947307,-0.292041,-0.999094,-1.526457,0.142979,1.678389,-0.454297,0.381072,-0.562548,0.576142
1.318648,-1.186349,-0.741426,-1.35142,-0.266117,1.118515,-0.448929,0.359301,-0.572392,0.584579
2.230263,-1.581882,-0.764176,-1.138396,-0.157953,1.322525,-0.450493,0.338829,-0.576193,0.591821
3.865189,-1.922694,0.113052,-0.618507,-0.189635,1.445666,-0.442626,0.308081,-0.580703,0.60988
1.937224,-1.242092,0.634118,-0.004388,-0.130731,0.908807,-0.420267,0.256372,-0.577645,0.651134
0.797133,-0.843895,0.659813,0.25629,-0.113834,0.57668,-0.415838,0.244532,-0.57237,0.66308
0.132696,-0.464741,0.638662,0.324492,-0.057106,0.454086,-0.414926,0.240468,-0.566399,0.670227
-0.242112,-0.249968,0.629764,0.372238,-0.083857,0.471068,-0.416141,0.241397,-0.56054,0.674054
-0.267878,-0.143717,0.598769,0.338022,-0.022251,0.4769,-0.417069,0.24381,-0.554997,0.677192
-0.615061,-0.086273,0.521199,0.349959,-0.130128,0.465792,-0.419744,0.248145,-0.549435,0.678498
-0.859073,-0.035124,0.252356,0.413009,-0.122581,0.29031,-0.423753,0.253396,-0.544686,0.677894
-1.651391,-0.070109,-0.2315,0.561739,-0.282862,0.14951,-0.432136,0.259775,-0.541199,0.672963
-2.40241,-0.380026,-0.788522,0.675118,-0.275617,0.072516,-0.447921,0.266917,-0.53843,0.661978
-2.916987,-0.873423,-1.343463,0.75571,-0.234233,-0.023716,-0.471566,0.27235,-0.535377,0.645618
-3.143061,-1.373475,-1.843489,0.813784,-0.082842,-0.19005,-0.501392,0.273666,-0.531704,0.625303
-2.925643,-1.634599,-2.09796,0.79095,0.126322,-0.37598,-0.534092,0.269847,-0.527786,0.602801
-2.44072,-1.720186,-2.130938,0.696571,0.392164,-0.561678,-0.564816,0.26262,-0.523864,0.581017
-1.429901,-1.870363,-1.877458,0.657984,0.669639,-0.718605,-0.590521,0.250893,-0.520101,0.563766
-0.501496,-2.012538,-1.360301,0.695373,0.718225,-0.845641,-0.609887,0.235125,-0.515174,0.554392
0.002801,-1.944987,-0.827271,0.78816,0.633657,-0.960287,-0.623751,0.218555,-0.508277,0.552108
0.237214,-1.804726,-0.427713,0.82777,0.368257,-0.984156,-0.633765,0.203678,-0.50025,0.553721
0.122013,-1.696221,-0.120355,0.720586,0.142261,-0.863184,-0.641714,0.191238,-0.491061,0.557216
-0.385329,-1.647641,0.082979,0.627834,-0.067329,-0.705458,-0.650486,0.182661,-0.480175,0.559406
-1.007748,-1.726761,0.137031,0.589415,-0.210906,-0.567806,-0.662156,0.177639,-0.467089,0.55841
-1.083418,-1.808848,0.158364,0.601356,-0.265377,-0.379887,-0.676082,0.174058,-0.4523,0.555015
-1.733719,-1.955866,-0.19168,0.519722,-0.412505,-0.33147,-0.691845,0.170014,-0.437113,0.548979
