"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-2.844601,2.964946,0.938903,0.536052,2.022475,0.471628,-0.915103,0.041806,-0.103011,0.387593
-1.795486,3.545083,0.709474,0.68073,2.494799,0.477628,-0.919924,0.06444,-0.128358,0.364846
0.253498,4.069143,0.586527,0.75457,2.581339,0.189869,-0.916919,0.085143,-0.160816,0.355174
1.955853,4.414063,0.624072,0.630569,2.268957,-0.11843,-0.904763,0.103366,-0.197871,0.362721
3.499996,5.524601,0.715432,0.394389,2.101239,-0.074925,-0.883334,0.121863,-0.242179,0.382387
5.692149,7.997696,1.113021,0.364435,2.098566,0.250272,-0.845736,0.143639,-0.303201,0.41493
6.870478,9.049874,0.490934,0.653989,1.742085,0.54341,-0.788491,0.164951,-0.378807,0.455608
7.222179,9.914997,0.207624,1.045918,1.294009,0.606854,-0.714268,0.182743,-0.461118,0.493758
6.842932,9.729012,0.289784,1.499877,0.492916,0.438645,-0.628512,0.199238,-0.539783,0.523366
6.081428,9.33741,1.87917,1.976355,-0.152715,-0.006708,-0.536355,0.218493,-0.604141,0.547355
4.475305,6.192073,4.432602,2.755708,-1.048952,-1.096382,-0.448756,0.24435,-0.638453,0.575577
1.651343,1.435847,6.656815,3.425744,-1.909493,-2.411268,-0.39181,0.271017,-0.629006,0.614317
1.285782,-3.945794,8.347166,3.902304,-1.248036,-3.130516,-0.37189,0.284097,-0.579353,0.667336
4.535538,-10.159769,8.836721,4.894206,0.606683,-2.194569,-0.367643,0.250144,-0.498708,0.744014
6.735181,-11.09523,8.789772,4.832934,1.923383,0.429317,-0.354509,0.167003,-0.403598,0.826766
4.133067,-14.148333,11.726696,4.974926,2.474579,2.367416,-0.330974,0.073231,-0.280279,0.898074
-3.921159,-17.946917,9.947949,5.029858,-0.707253,-0.079877,-0.36199,-0.039988,-0.117746,0.923851
-16.797842,-18.150839,4.634408,8.626684,-1.130895,4.686651,-0.480226,-0.167361,0.00713,0.861001
-15.319164,-15.861943,-0.452241,5.830018,0.306225,6.01565,-0.610311,-0.305485,0.074704,0.727062
-8.475423,-11.165207,-0.921044,3.086856,0.167894,5.532871,-0.674696,-0.413324,0.117433,0.600132
7.166204,-4.428086,-0.068135,1.571438,1.485291,1.967891,-0.669182,-0.462199,0.158941,0.559736
12.090122,-1.256155,1.330378,1.525259,-1.519069,3.23669,-0.604093,-0.44963,0.231983,0.615702
4.444927,-0.596049,0.451945,1.306056,-2.727068,3.000213,-0.552203,-0.428421,0.279924,0.658156
0.712922,-0.597335,0.391469,0.664962,-1.467449,1.841114,-0.536261,-0.423551,0.295709,0.667522
-0.517998,0.450943,0.454435,-0.116241,-0.869619,1.523032,-0.538548,-0.422493,0.298948,0.664903
0.269856,1.364894,0.620144,-0.376043,-0.481518,1.013226,-0.544982,-0.414001,0.296008,0.666317
0.739415,1.673475,0.858376,-0.18204,-0.404261,0.736813,-0.548531,-0.397733,0.295165,0.673646
0.158395,1.5804,1.023345,-0.057136,-0.429647,0.528745,-0.553661,-0.379936,0.294418,0.68002
-0.610648,1.658119,1.099103,-0.148458,-0.263806,0.475242,-0.56404,-0.363735,0.291782,0.681483
-0.910774,1.7918,1.260036,-0.228149,-0.07708,0.393306,-0.578575,-0.347933,0.287105,0.679533
-0.819878,2.050139,1.430186,-0.286124,0.002217,0.340554,-0.594803,-0.329418,0.281867,0.676937
-0.885558,2.355783,1.498219,-0.305141,0.046206,0.346394,-0.611265,-0.308401,0.27592,0.67462
-0.864754,2.517335,1.520036,-0.29086,0.076946,0.192192,-0.628435,-0.28457,0.268118,0.67246
-0.735023,2.664401,1.562224,-0.319114,0.136772,0.158999,-0.64477,-0.259665,0.260078,0.670228
-0.799058,2.854074,1.550876,-0.271219,0.131732,0.159918,-0.66052,-0.232998,0.250542,0.668321
-1.097387,3.023383,1.459506,-0.169023,0.076437,0.202158,-0.677367,-0.205463,0.239027,0.664699
-1.199971,3.106264,1.261633,-0.112609,0.119956,0.149603,-0.694784,-0.178643,0.224773,0.659423
-1.207888,3.130923,1.026195,-0.082341,0.122774,0.07292,-0.711335,-0.152699,0.208263,0.653692
-1.780617,3.138746,0.706803,-0.098878,-0.074961,0.000956,-0.743888,-0.105292,0.171523,0.637278
-2.062251,3.168468,0.572857,-0.085471,-0.145799,-0.029843,-0.761627,-0.083606,0.150074,0.62483
-2.271496,3.207616,0.472164,-0.060542,-0.184662,-0.050003,-0.779961,-0.062978,0.127116,0.609538
-2.19096,3.47965,0.416639,-0.062057,-0.129729,-0.026593,-0.79773,-0.042094,0.102282,0.592785
-2.06638,3.801982,0.429525,0.02808,-0.074568,0.020139,-0.813437,-0.019437,0.074532,0.576531
-2.208215,3.815078,0.440263,0.196916,-0.023081,-0.002673,-0.82775,0.004504,0.045631,0.559221
-2.206098,3.797602,0.36536,0.27305,0.226134,-0.10759,-0.841349,0.028349,0.016464,0.539497
-2.027481,3.600802,0.268429,0.328374,0.376011,-0.169507,-0.852457,0.050405,-0.012559,0.52021
