"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.395497,0.994263,0.459625,-0.082229,0.014355,-0.079156,0.352064,0.11473,0.765215,0.526626
0.28144,0.958434,0.59513,-0.01324,0.116875,0.040256,0.347155,0.121233,0.770857,0.52016
-0.067624,0.961299,0.888842,0.005541,0.237787,-0.028654,0.341085,0.123958,0.777837,0.513093
0.337185,1.271915,1.27878,0.07983,0.404141,-0.392176,0.33446,0.12662,0.78689,0.502899
0.823825,1.794285,1.602912,0.064457,0.20693,-0.683432,0.327319,0.134031,0.798339,0.487395
1.088114,2.356881,1.818405,0.143418,0.059873,-0.863504,0.317494,0.146086,0.811849,0.467717
1.677658,2.80351,1.961876,0.479528,0.055392,-0.719339,0.305445,0.163083,0.82651,0.443834
2.140238,2.99669,1.674954,0.462433,-0.62899,-0.298978,0.292805,0.186386,0.839833,0.417381
1.687611,2.993056,0.841319,0.228515,-1.505125,0.046628,0.278184,0.211659,0.84964,0.394874
0.776702,2.557661,-0.511528,0.233667,-2.176518,0.584286,0.259117,0.232098,0.855552,0.383431
1.143744,1.438943,-2.384733,-0.022652,-2.134348,1.353402,0.241785,0.251323,0.852918,0.388468
0.881986,0.114027,-4.137882,-0.118903,-1.925819,1.780802,0.230991,0.271207,0.838682,0.411949
0.348029,-0.771752,-5.259022,-0.277516,-1.849976,1.259228,0.223453,0.284776,0.815872,0.450915
1.305403,-1.140548,-5.956543,-0.86949,-1.424825,0.700819,0.217255,0.295414,0.786002,0.497726
-0.347533,-1.930822,-6.257176,-0.89046,-1.177324,0.63832,0.212932,0.302618,0.749915,0.54837
0.92309,-2.397646,-6.194142,-0.835303,-0.059457,0.203081,0.211061,0.304613,0.708943,0.600053
1.783337,-2.599135,-5.602166,-0.914902,0.297193,0.0024,0.219394,0.31191,0.662061,0.645177
1.004217,-2.416435,-4.951015,-1.016355,0.223322,-0.173089,0.228607,0.316172,0.616922,0.683507
0.412802,-2.130427,-4.446042,-1.000164,0.353029,-0.281065,0.231814,0.314778,0.576991,0.717118
0.938487,-1.809797,-4.017087,-0.94113,0.541182,-0.51154,0.234054,0.313621,0.539589,0.745456
1.445208,-1.582047,-3.486344,-0.818457,0.551737,-0.433918,0.240532,0.316345,0.503294,0.76731
1.151172,-1.503329,-2.987392,-0.715806,0.459928,-0.300464,0.248306,0.31895,0.470189,0.784562
0.585135,-1.446957,-2.599833,-0.630639,0.339132,-0.339239,0.252885,0.318104,0.441738,0.799829
0.543286,-1.350985,-2.268619,-0.599824,0.341201,-0.420356,0.255468,0.315334,0.4169,0.813324
0.550605,-1.28707,-1.941586,-0.548593,0.304153,-0.324902,0.25869,0.312101,0.394603,0.824598
0.640063,-1.209506,-1.662156,-0.532582,0.353512,-0.224993,0.26283,0.308689,0.374654,0.833826
0.534776,-1.105085,-1.447821,-0.481266,0.331079,-0.180874,0.267488,0.305357,0.356742,0.841393
0.009125,-0.909441,-1.264049,-0.43116,0.191969,-0.128213,0.269329,0.30145,0.341774,0.848399
-0.137786,-0.705132,-1.102471,-0.390588,0.276981,-0.163746,0.267795,0.297331,0.329903,0.855011
-0.262092,-0.536202,-0.966682,-0.352098,0.177422,-0.08702,0.265006,0.294073,0.320003,0.86075
-0.107848,-0.378798,-0.882009,-0.333404,0.303645,-0.097232,0.262122,0.291762,0.311524,0.865517
-0.1174,-0.264978,-0.758921,-0.277609,0.248005,-0.014959,0.259965,0.290867,0.303779,0.869214
-0.171898,-0.171464,-0.577282,-0.255303,0.243466,-0.009949,0.257406,0.290043,0.297936,0.872268
-0.277744,-0.10586,-0.282521,-0.179261,0.221184,-0.026215,0.254946,0.289427,0.294333,0.874416
-0.377263,-0.030786,-0.019654,-0.158679,0.120865,-0.062808,0.251717,0.287915,0.294055,0.875942
-0.008031,0.028533,0.169456,-0.124185,0.233072,-0.172672,0.250099,0.287139,0.295285,0.876247
-0.038778,0.015972,0.367656,-0.085729,0.135,-0.11289,0.25108,0.286509,0.297742,0.875341
-0.081356,-0.010856,0.628432,-0.101571,0.11437,-0.098163,0.251698,0.285043,0.302364,0.874056
-0.000388,-0.050696,0.917091,-0.124998,0.11578,-0.076069,0.253875,0.28254,0.309184,0.871851
-0.007387,-0.067605,1.186372,-0.158957,0.112645,-0.050108,0.257129,0.279399,0.318135,0.868684
-0.12913,-0.028901,1.449926,-0.154684,0.090772,-0.060283,0.260431,0.275021,0.329769,0.86475
0.063801,0.05953,1.64003,-0.154884,0.177063,-0.124594,0.264127,0.270906,0.343362,0.859622
0.371501,0.10316,1.684459,-0.14374,0.277409,-0.103769,0.270365,0.26775,0.357409,0.852919
0.438601,0.094864,1.650531,-0.104186,0.330409,-0.008312,0.277999,0.265553,0.370731,0.845433
0.280631,0.070996,1.557189,-0.073342,0.339076,0.027001,0.285357,0.263004,0.383524,0.838039
-0.201053,0.103882,1.4935,-0.017993,0.257591,0.003637,0.289323,0.259448,0.396382,0.831781
