"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-4.060896,1.697754,0.485226,0.20536,-0.73083,-0.95588,0.219937,-0.493452,-0.67985,0.49592
-3.215444,2.249107,1.070164,0.453915,-0.359189,-1.566398,0.209485,-0.457986,-0.690241,0.51955
-0.197816,2.506309,1.195152,0.241932,0.274982,-1.619928,0.2125,-0.436583,-0.686255,0.541565
0.421825,2.818959,1.234299,0.066049,-0.07666,-1.161371,0.227177,-0.427606,-0.672144,0.560149
-2.87798,3.689137,1.396094,-0.105545,-0.546504,-0.934576,0.237134,-0.405187,-0.661666,0.584627
-6.422194,4.547887,1.965152,-0.127432,-0.144375,-1.015503,0.229331,-0.352555,-0.660057,0.622444
-7.322115,4.766066,2.947834,-0.247872,0.179362,-0.985946,0.206724,-0.280471,-0.656454,0.669081
-4.639816,4.431393,3.828491,-0.630563,0.538852,-0.877342,0.185704,-0.215134,-0.638924,0.714848
-1.702837,4.207267,4.334513,-0.768341,0.686516,-0.848608,0.182839,-0.172487,-0.607012,0.753893
-2.406129,4.424138,5.083921,-0.930237,0.250536,-0.645681,0.187134,-0.137561,-0.565742,0.791198
-4.706535,4.296622,6.066853,-1.045191,-0.0777,-0.33956,0.175077,-0.092265,-0.516601,0.833042
-3.982505,3.416838,6.681207,-1.068172,0.138096,-0.032347,0.149718,-0.046781,-0.458707,0.874634
-0.370427,2.721955,6.495881,-1.268549,-0.033401,-0.08184,0.140984,-0.019762,-0.395981,0.907156
0.122317,2.723542,6.583916,-0.991095,-0.290677,0.387523,0.153043,-0.005701,-0.33274,0.9305
-1.86112,2.420587,7.38939,-0.388806,-0.240793,1.304295,0.151911,0.011381,-0.2631,0.952666
-0.363211,1.153751,8.0966,-0.168273,-0.029912,1.535889,0.143694,0.020776,-0.185261,0.971905
4.18927,0.235782,7.998768,-1.079752,-0.54655,1.466088,0.165285,0.012553,-0.105532,0.980503
4.656955,-0.109299,7.111231,-1.773455,-1.44239,2.933558,0.214151,-0.00412,-0.031718,0.976277
0.779295,-1.638671,6.349404,-0.373045,-2.229916,4.821393,0.23807,-0.027395,0.033398,0.970287
2.653025,-2.892174,2.09298,-1.444865,-3.962376,4.334007,0.251329,-0.059314,0.072485,0.96336
4.182553,-5.644595,-3.999215,-0.991867,-4.199623,4.576583,0.291896,-0.092986,0.053411,0.95042
0.058872,-7.108371,-7.073244,-1.670418,-4.934461,4.240844,0.321788,-0.137327,-0.018618,0.936615
-2.331066,-6.075051,-9.391387,-3.236463,-4.778154,3.167247,0.316467,-0.171547,-0.118414,0.925418
-3.287839,-5.353052,-11.984874,-4.230356,-3.190924,2.834642,0.30046,-0.185377,-0.238347,0.904738
-1.817409,-5.683793,-15.620832,-6.824107,-2.371292,1.402447,0.280794,-0.184048,-0.379287,0.86222
-2.273884,-7.410276,-18.412079,-10.126871,-2.097057,1.057847,0.271566,-0.185201,-0.541104,0.774054
-6.604722,-5.465019,-18.629955,-10.717854,-1.073846,0.658953,0.233147,-0.157711,-0.699528,0.656834
-3.412478,-3.316829,-15.73176,-8.133631,3.766248,-0.21921,0.188686,-0.104293,-0.819927,0.530321
0.620914,-2.257309,-11.852671,-5.349183,3.027718,-0.796753,0.169005,-0.079397,-0.891345,0.413084
4.597495,-2.210932,-8.426008,-3.805505,2.976754,-1.202225,0.168538,-0.097144,-0.929436,0.313538
4.189034,-1.664084,-4.370409,-2.239963,2.222108,-1.023401,0.169949,-0.135652,-0.945196,0.243559
3.121323,-1.026011,-1.619434,-2.007025,1.419667,-1.186937,0.169343,-0.166883,-0.948593,0.208913
3.137759,-0.789639,-0.743391,-1.639221,0.543554,-1.022477,0.169097,-0.195532,-0.946684,0.192255
2.979622,-0.992066,-0.286055,-0.777995,0.234954,-1.071791,0.167715,-0.226564,-0.942459,0.179756
1.741958,-0.940068,0.52567,-0.209673,-0.085215,-1.041031,0.162815,-0.250937,-0.938135,0.174428
0.287687,-0.865805,1.774156,0.568868,-0.355467,-0.782128,0.152764,-0.262922,-0.935262,0.181162
0.417818,-0.958063,2.607338,0.736758,-0.588829,-0.634451,0.13901,-0.270233,-0.931565,0.199592
1.49748,-1.614659,2.635376,0.376971,-0.844181,-0.846426,0.121919,-0.284917,-0.92514,0.219258
1.934298,-1.580596,2.829658,0.195489,-1.125142,-0.918624,0.102758,-0.308952,-0.915269,0.237217
0.378056,-0.917186,2.823341,-0.656007,-1.777825,-0.514685,0.085182,-0.326019,-0.905518,0.257863
-1.32732,-0.565573,2.826086,-0.555377,-1.912658,0.277716,0.06804,-0.324417,-0.900348,0.281952
-0.55551,-0.365889,2.431038,-0.021447,-1.252316,0.372633,0.052377,-0.317905,-0.896257,0.304821
1.365994,-0.210396,1.947691,0.170617,-1.044561,0.108413,0.043674,-0.322887,-0.888517,0.323071
3.075132,0.295198,1.551991,0.067929,-0.702454,0.19133,0.046095,-0.344399,-0.874894,0.337381
2.822375,0.675775,1.519992,0.158954,-0.649839,0.46965,0.055357,-0.369687,-0.858625,0.350757
2.104353,0.95047,1.601557,0.480405,-0.413268,0.588891,0.06544,-0.388796,-0.843154,0.365577
