"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.873695,-2.40947,-0.060163,0.346015,0.781561,0.102818,-0.318849,-0.120058,0.881218,-0.327683
-0.988797,-2.569051,-0.894283,0.411918,0.86869,0.064828,-0.293079,-0.121721,0.889308,-0.329272
-0.807087,-2.527453,-1.667067,0.342527,1.06927,0.151196,-0.265529,-0.125118,0.899593,-0.323376
-0.592853,-2.349794,-2.182513,0.291981,1.365374,0.252122,-0.239093,-0.128554,0.910991,-0.310491
-1.22116,-2.234489,-2.404757,0.380667,1.674392,0.283306,-0.212611,-0.134364,0.922017,-0.294326
-1.94781,-1.68325,-2.812804,0.243203,2.331269,0.514516,-0.186105,-0.149743,0.9309,-0.276346
-1.234016,-0.641253,-3.462414,-0.008147,3.14026,0.874884,-0.164919,-0.168142,0.938572,-0.252217
0.528892,1.172122,-4.342968,-0.428718,3.85693,1.389745,-0.159635,-0.179103,0.946478,-0.215914
1.456042,3.251611,-6.509794,-0.378501,5.047491,2.116505,-0.1733,-0.181908,0.954634,-0.159843
1.418922,4.780646,-10.210536,0.811578,6.675977,2.770367,-0.198731,-0.187615,0.959343,-0.070489
2.212013,5.469697,-13.575936,2.792435,7.888766,2.947522,-0.225635,-0.197935,0.95215,0.057635
3.579004,5.03728,-15.735446,4.594359,8.238621,2.961846,-0.241758,-0.198446,0.925755,0.212484
3.889647,4.480145,-17.573778,6.148597,8.816933,2.881069,-0.241364,-0.190416,0.871471,0.382131
2.92862,2.802926,-18.399485,8.560782,9.064765,2.423695,-0.221784,-0.186265,0.785681,0.546646
4.083201,3.704406,-19.755419,9.793932,9.97946,2.374396,-0.189591,-0.185067,0.665159,0.698118
9.682041,3.521391,-18.264326,13.702091,10.507811,1.501321,-0.126902,-0.147578,0.527218,0.827139
9.748075,-0.181081,-16.805962,13.256572,7.228763,2.295408,-0.024626,-0.099692,0.38412,0.917555
7.090466,-2.824691,-14.600889,10.791994,4.421865,2.494339,0.073629,-0.084568,0.241513,0.963898
4.233626,-5.080554,-11.414577,9.146031,2.546998,1.942556,0.147269,-0.098122,0.115406,0.977428
1.03595,-6.272138,-9.039671,7.132041,0.53214,1.928789,0.187792,-0.136369,0.009882,0.972646
-1.575599,-6.079069,-7.126811,5.696984,-0.601229,1.836442,0.194827,-0.18074,-0.081084,0.960625
-2.793295,-5.122366,-5.070684,4.671909,-1.376029,1.600699,0.179341,-0.220364,-0.154048,0.946333
-3.65838,-3.974638,-3.363056,3.920844,-1.5877,1.130074,0.150273,-0.249934,-0.20867,0.933493
-3.660917,-3.156344,-1.78222,3.284525,-1.447563,0.657889,0.114355,-0.27081,-0.24688,0.923383
-3.637666,-2.355738,-0.309189,2.618321,-1.393864,0.269828,0.077049,-0.285937,-0.269014,0.91648
-4.439134,-1.268124,0.781259,2.105279,-1.455661,-0.016653,0.034772,-0.291911,-0.279117,0.914151
-5.156664,-0.166159,1.473592,1.864098,-1.189662,-0.187745,-0.014847,-0.284704,-0.282862,0.915813
-4.689645,0.527335,2.168102,1.831091,-0.730107,-0.32857,-0.064866,-0.268023,-0.279953,0.919555
-3.609057,0.871409,2.66691,1.662753,-0.204068,-0.485778,-0.107453,-0.247956,-0.268965,0.924462
-2.708693,1.122485,2.935755,1.503108,0.152887,-0.643969,-0.140304,-0.226966,-0.251578,0.930328
-2.405076,1.206848,3.067217,1.444029,0.338541,-0.69723,-0.167217,-0.205324,-0.23074,0.93629
-2.360478,1.137772,3.122995,1.416447,0.488179,-0.656852,-0.192914,-0.183417,-0.20847,0.941107
-2.014617,0.911548,3.142279,1.350924,0.673816,-0.64179,-0.217211,-0.162975,-0.184953,0.944485
-1.568354,0.780959,3.212093,1.133083,0.774443,-0.632415,-0.237658,-0.144685,-0.159747,0.947136
-1.350627,0.517606,3.366026,0.990873,0.74963,-0.597922,-0.25466,-0.128231,-0.132212,0.949329
-1.600802,0.043561,3.541331,0.842874,0.674019,-0.546002,-0.272146,-0.114892,-0.101864,0.949926
-1.690104,-0.31569,3.648771,0.609509,0.771071,-0.429923,-0.292236,-0.104622,-0.069284,0.948078
-1.538165,-0.652241,3.68384,0.449234,0.795326,-0.323207,-0.311234,-0.096997,-0.03469,0.944734
-1.561358,-1.074028,3.641803,0.32714,0.573207,-0.229326,-0.329107,-0.093122,0.001253,0.939689
-1.742287,-1.542025,3.492713,0.191005,0.491326,-0.125593,-0.347733,-0.09346,0.037461,0.932171
-1.959026,-2.085604,3.407522,0.115058,0.455949,-0.031456,-0.367068,-0.098978,0.074101,0.92194
-1.840807,-2.464323,3.246155,0.043877,0.507653,0.020513,-0.386287,-0.109043,0.111125,0.909144
-1.207838,-2.738516,3.191539,0.009805,0.549034,0.155028,-0.40072,-0.121944,0.148429,0.895836
-0.406922,-2.855443,3.316939,-0.077428,0.48096,0.250299,-0.407278,-0.135115,0.187554,0.883568
-0.026292,-2.809522,3.652617,-0.159107,0.355938,0.294221,-0.407885,-0.146197,0.229269,0.871603
0.063563,-2.683266,4.177377,-0.205468,0.387668,0.308448,-0.406738,-0.153928,0.274175,0.857729
