"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
1.44522,1.37387,0.247143,0.3575,0.260659,-0.250028,-0.763379,0.492528,0.226556,0.351199
1.515089,1.288948,0.167034,0.446713,0.173466,-0.28753,-0.759856,0.502147,0.210201,0.355362
1.660508,1.270697,0.058423,0.537738,0.129465,-0.333525,-0.756292,0.510835,0.192656,0.36049
2.077397,1.373714,-0.099613,0.614247,0.204974,-0.369513,-0.751908,0.518876,0.173881,0.367651
2.675983,1.284059,-0.302163,0.83666,0.439279,-0.410763,-0.74632,0.526233,0.150739,0.378634
4.061648,1.10179,-0.39094,1.015136,0.506978,-0.432056,-0.737018,0.53291,0.123349,0.396984
6.223757,0.828957,-0.286412,1.142831,0.532341,-0.366689,-0.718988,0.539604,0.087678,0.429182
8.504376,0.874759,-0.213228,1.141697,0.614877,-0.300865,-0.687264,0.546226,0.041351,0.47707
9.823782,1.10007,0.172432,1.308812,0.699536,-0.405164,-0.641089,0.551826,-0.016143,0.533135
9.580307,0.858406,0.680357,1.687941,0.45891,-0.897696,-0.583358,0.555675,-0.074131,0.587727
7.853518,0.395444,0.59995,1.936751,0.105215,-1.601621,-0.525439,0.555194,-0.12251,0.632981
5.459881,-1.335714,0.337346,2.409634,-0.229981,-2.325741,-0.480506,0.546352,-0.154682,0.668346
2.329071,-3.574717,-0.145603,2.642467,-0.97516,-3.254256,-0.457038,0.522278,-0.163634,0.701117
-2.107362,-6.66152,0.195509,3.345729,-1.425523,-3.146255,-0.463296,0.486475,-0.14085,0.727228
-6.667531,-12.68082,-1.638705,4.446192,-2.035207,-1.368133,-0.509866,0.418744,-0.078296,0.747368
-7.222534,-16.344543,-3.780721,3.247324,-0.156419,2.135064,-0.579049,0.293662,0.008553,0.760521
-9.511147,-18.317221,-4.655811,1.16391,-0.79537,5.233006,-0.638454,0.137518,0.094228,0.75139
-20.467113,-16.20018,-2.505245,0.019541,-5.061413,3.246476,-0.716146,-0.056189,0.210103,0.6632
-16.326208,-0.062661,-10.622312,-0.490391,-0.319457,2.286326,-0.821956,-0.187512,0.191256,0.502642
0.493802,-1.81377,-6.264565,5.774937,2.849731,1.943839,-0.837029,-0.284666,0.130514,0.448681
8.731843,-10.41634,-0.951548,6.111703,-2.091866,3.478314,-0.783734,-0.332212,0.206023,0.48265
5.646214,-3.852173,-2.083122,0.158123,-4.183797,2.777371,-0.724771,-0.367407,0.278537,0.511993
3.595457,4.049761,-0.425963,-0.816501,-2.05671,1.458999,-0.698159,-0.361009,0.287276,0.547466
4.225939,5.528403,-0.444537,0.22896,-0.548891,1.010693,-0.689392,-0.32189,0.259725,0.5947
4.07313,0.791191,-0.349065,1.130295,-0.620154,0.80951,-0.670737,-0.294154,0.249475,0.633519
2.738954,-0.472612,-1.035054,0.271434,-0.856825,0.667351,-0.64566,-0.291608,0.255894,0.657728
1.54503,1.123294,-0.788012,-0.52525,-0.714308,0.517794,-0.629341,-0.290527,0.254321,0.674422
1.075538,2.03802,-0.410262,-0.502497,-0.517958,0.421245,-0.623909,-0.279358,0.242818,0.688285
0.398264,1.170743,-0.320409,-0.163075,-0.551484,0.186079,-0.621689,-0.268145,0.232054,0.698393
0.062965,0.445155,-0.25378,-0.208161,-0.617375,0.020789,-0.621064,-0.264365,0.226111,0.702328
-0.4184,0.797547,-0.150749,-0.381791,-0.495398,-0.002427,-0.623675,-0.262418,0.220391,0.702563
-0.403865,1.021258,-0.030522,-0.277818,-0.437171,-0.088057,-0.627971,-0.256999,0.21305,0.703003
-0.53162,0.563833,0.091086,-0.088644,-0.250332,-0.199066,-0.633378,-0.251782,0.206469,0.702004
-0.786076,-0.059954,0.107826,-0.157586,-0.259206,-0.201579,-0.637786,-0.251028,0.204687,0.698797
-0.793008,0.213651,0.214292,-0.349648,-0.338546,-0.170278,-0.643456,-0.251155,0.203795,0.693796
-0.839699,0.320015,0.535304,-0.331159,-0.144376,-0.098093,-0.650366,-0.248169,0.202402,0.688818
-0.630812,0.216968,0.817597,-0.275799,-0.189734,-0.10646,-0.657529,-0.24355,0.203518,0.683315
-0.859772,0.151473,1.074867,-0.225824,-0.269317,0.082413,-0.665389,-0.237318,0.206725,0.676907
-0.769708,-0.222413,1.259587,-0.21606,-0.076959,0.013376,-0.673941,-0.231707,0.212792,0.668457
-0.761011,-0.123862,1.339415,-0.285743,0.007598,0.127286,-0.681526,-0.225114,0.221775,0.660047
-0.824947,-0.385892,1.604312,-0.26548,-0.036036,0.050045,-0.689497,-0.218259,0.231221,0.650764
-0.882001,-0.485584,1.794229,-0.378633,-0.031516,-0.063517,-0.69774,-0.211902,0.243626,0.639455
-1.078423,0.133229,1.813827,-0.523311,-0.033179,-0.083113,-0.70693,-0.202857,0.254594,0.627918
-1.31297,0.280059,1.792023,-0.406202,0.065186,-0.213369,-0.718645,-0.191452,0.261479,0.615244
-1.257791,-0.023558,1.802966,-0.338194,0.097262,-0.252663,-0.730177,-0.181178,0.269134,0.601318
-1.018346,0.145847,1.816094,-0.451581,0.10052,-0.266549,-0.740136,-0.170792,0.277728,0.58813
