loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-04-12 19:53:17.407 +0100|59124.696407|0.237366|0.110229|-0.899414|59124.676445|0.05561|0.242047|-0.109371|0.063243|-0.320997|-0.008999|-0.039727|0.089273|0.005011|XArbitraryZVertical|-0.057589|0.118993|0.020961|0.991002|0.238258|0.109153|-0.965048|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.416 +0100|59124.716369|0.200409|0.102631|-0.890503|59124.696407|0.056008|0.239691|-0.116179|-0.087593|-0.323326|0.021492|0.006843|0.02808|0.050831|XArbitraryZVertical|-0.06096|0.117696|0.020814|0.990958|0.235802|0.115918|-0.964863|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.431 +0100|59124.736331|0.222473|0.144196|-0.917709|59124.716369|0.058569|0.233449|-0.124516|-0.415939|-0.235823|0.098865|-0.013556|-0.025728|0.091593|XArbitraryZVertical|-0.065171|0.114375|0.021782|0.991058|0.229544|0.124194|-0.965342|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.450 +0100|59124.756293|0.223587|0.157486|-0.927292|59124.736331|0.063565|0.231901|-0.133021|-0.487637|-0.198069|0.16531|-0.016037|-0.022292|0.063922|XArbitraryZVertical|-0.06965|0.113279|0.023809|0.990833|0.227798|0.132629|-0.964633|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.470 +0100|59124.776255|0.213425|0.172028|-0.936584|59124.756293|0.069235|0.228746|-0.142179|-0.411463|-0.184089|0.196995|0.001529|0.002298|0.044217|XArbitraryZVertical|-0.074463|0.111325|0.026196|0.990644|0.224469|0.1417|-0.964124|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.490 +0100|59124.796217|0.216644|0.15062|-0.948578|59124.776255|0.075489|0.227132|-0.148509|-0.309872|-0.138451|0.269038|-0.002949|0.025133|0.027557|XArbitraryZVertical|-0.077921|0.110148|0.028988|0.990432|0.222706|0.147964|-0.963592|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.510 +0100|59124.816179|0.245132|0.171021|-0.961533|59124.796217|0.083304|0.226974|-0.152043|-0.286276|-0.058814|0.381273|-0.013725|0.013521|0.0214|XArbitraryZVertical|-0.080096|0.109677|0.032659|0.990196|0.222434|0.151458|-0.963111|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.530 +0100|59124.836141|0.293594|0.192139|-0.969833|59124.816179|0.093467|0.22819|-0.154603|-0.253725|0.019717|0.518556|0.004327|-0.001307|0.008159|XArbitraryZVertical|-0.081941|0.1098|0.037492|0.989861|0.223517|0.153988|-0.962459|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.550 +0100|59124.856103|0.283554|0.179581|-0.95314|59124.836141|0.105251|0.230749|-0.155561|-0.146311|0.017593|0.587403|0.042106|0.033422|-0.005667|XArbitraryZVertical|-0.083115|0.110552|0.043161|0.989448|0.225945|0.154934|-0.96174|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.570 +0100|59124.876065|0.284454|0.181076|-0.956238|59124.856103|0.118577|0.233073|-0.156635|-0.241878|0.015404|0.660837|0.070412|0.02438|0.003836|XArbitraryZVertical|-0.084439|0.111108|0.049591|0.988972|0.228141|0.155995|-0.96105|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.590 +0100|59124.896027|0.284134|0.171722|-0.973907|59124.876065|0.132632|0.235139|-0.158611|-0.209315|0.012382|0.670336|0.046648|0.03134|0.005716|XArbitraryZVertical|-0.086251|0.11146|0.056331|0.988415|0.230054|0.157946|-0.960275|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.610 +0100|59124.915989|0.2939|0.175919|-0.992874|59124.896027|0.147195|0.237532|-0.15929|-0.198509|0.028921|0.702286|0.056721|0.015075|-0.001381|XArbitraryZVertical|-0.087471|0.111983|0.06338|0.987822|0.232326|0.158617|-0.959617|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.630 +0100|59124.935951|0.290085|0.166245|-0.988754|59124.915989|0.162286|0.24159|-0.159885|-0.148867|0.039504|0.736534|0.051096|0.013709|-0.02165|XArbitraryZVertical|-0.088751|0.113296|0.070615|0.987067|0.236196|0.159205|-0.958575|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:53:17.650 +0100|59124.955913|0.29538|0.168777|-0.990494|59124.935951|0.177672|0.246598|-0.159013|-0.064982|0.019093|0.738618|0.054169|0.012373|-0.03388|XArbitraryZVertical|-0.089386|0.115122|0.078038|0.986239|0.241027|0.158344|-0.957514|0.0|0.0|0.0|-1.0|-1.0|3
