loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-04-12 19:47:21.394 +0100|58797.384432|-0.017242|-0.27005|-0.982483|58797.36447|-1.543346|-0.011871|0.288948|-0.002516|-0.050882|0.04573|-0.029607|-0.014846|-0.013233|XArbitraryZVertical|0.099094|-0.104605|-0.690671|0.70867|-0.011379|-0.284944|-0.958477|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.396 +0100|58797.404394|-0.017242|-0.271866|-0.971954|58797.404394|-1.542125|-0.0128|0.29065|0.067243|-0.007811|0.039959|0.005396|0.016524|-0.017423|XArbitraryZVertical|0.099441|-0.10546|-0.690202|0.708951|-0.012263|-0.286575|-0.957979|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.397 +0100|58797.424356|-0.006119|-0.298019|-0.958313||||||||||||||||||||||||3
2021-04-12 19:47:21.398 +0100|58797.444318|-0.009293|-0.301697|-0.944672|58797.424356|-1.541393|-0.013267|0.291541|0.046054|-0.021575|0.038127|0.004054|-0.000307|-0.002075|XArbitraryZVertical|0.099635|-0.105896|-0.689923|0.70913|-0.012707|-0.287428|-0.957718|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.399 +0100|58797.46428|-0.009323|-0.306976|-0.94371|58797.444318|-1.540481|-0.014609|0.292368|0.050893|-0.022172|0.02452|0.000713|-0.005039|0.007358|XArbitraryZVertical|0.099514|-0.106611|-0.689626|0.709328|-0.013989|-0.28822|-0.957462|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.409 +0100|58797.484242|-0.008987|-0.290787|-0.956085|58797.46428|-1.540027|-0.015088|0.292624|-0.00056|-0.033291|0.02099|0.009349|-0.024798|0.018691|XArbitraryZVertical|0.099464|-0.106846|-0.689477|0.709445|-0.014446|-0.288465|-0.957381|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.428 +0100|58797.504204|-0.002914|-0.267746|-0.970871|58797.484242|-1.539757|-0.015862|0.29208|-0.011018|-0.032969|0.010904|0.010184|-0.004322|0.004203|XArbitraryZVertical|0.099019|-0.106921|-0.689446|0.709527|-0.01519|-0.287945|-0.957527|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.449 +0100|58797.524165|-0.013229|-0.273087|-0.973663|58797.504204|-1.539514|-0.016492|0.291846|0.012168|-0.026289|0.017117|0.004364|0.009125|-0.008404|XArbitraryZVertical|0.098732|-0.107052|-0.689402|0.70959|-0.015794|-0.287721|-0.957584|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.469 +0100|58797.544127|-0.009018|-0.291763|-0.960388|58797.524165|-1.539031|-0.016851|0.292539|0.025414|-0.006568|0.028852|0.009953|0.023308|-0.024036|XArbitraryZVertical|0.09888|-0.107393|-0.689215|0.709699|-0.016134|-0.288384|-0.957379|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.488 +0100|58797.564089|-0.010849|-0.314835|-0.953125|58797.544127|-1.538396|-0.016875|0.293616|0.03609|0.004743|0.030374|0.00257|0.005433|-0.015665|XArbitraryZVertical|0.099289|-0.10774|-0.68894|0.709857|-0.016152|-0.289415|-0.957067|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.508 +0100|58797.584051|-0.010986|-0.317291|-0.953293|58797.564089|-1.537907|-0.016849|0.294333|0.00456|-0.006575|0.017046|0.004602|-0.015044|0.00578|XArbitraryZVertical|0.09958|-0.107953|-0.68873|0.709987|-0.016123|-0.290101|-0.95686|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.528 +0100|58797.604013|-0.010147|-0.292358|-0.970215|58797.584051|-1.537839|-0.016941|0.293923|-0.030601|-0.014368|-0.00884|0.004433|-0.027049|0.002678|XArbitraryZVertical|0.099406|-0.107842|-0.68873|0.710028|-0.016214|-0.289709|-0.956977|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.548 +0100|58797.623975|-0.016266|-0.266022|-0.971268|58797.604013|-1.53823|-0.017045|0.292547|-0.041964|-0.023522|-0.018085|0.005531|-0.020065|-0.002648|XArbitraryZVertical|0.098859|-0.107425|-0.68894|0.709964|-0.01632|-0.288392|-0.957373|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.568 +0100|58797.643937|-0.028183|-0.285568|-0.95874|58797.623975|-1.538578|-0.017243|0.292059|0.014489|-0.018718|-0.015976|-0.000273|0.018133|-0.017037|XArbitraryZVertical|0.098598|-0.107345|-0.689097|0.70986|-0.016512|-0.287924|-0.957511|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.588 +0100|58797.663898|-0.026611|-0.289185|-0.955139|58797.643937|-1.538798|-0.017279|0.292477|0.002383|-0.009876|-0.005702|-0.006589|0.00715|-0.007057|XArbitraryZVertical|0.098723|-0.107512|-0.689157|0.709759|-0.016545|-0.288325|-0.95739|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.608 +0100|58797.68386|-0.013428|-0.297897|-0.951508|58797.663898|-1.538984|-0.017322|0.293056|0.00372|-0.011298|-0.007086|-0.009587|0.005264|0.000801|XArbitraryZVertical|0.098904|-0.107736|-0.689197|0.709661|-0.016583|-0.288879|-0.957222|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.628 +0100|58797.703822|-0.019379|-0.306595|-0.946304|58797.68386|-1.539153|-0.017382|0.293674|0.014551|-0.006435|-0.006592|-0.00079|-0.007801|0.00407|XArbitraryZVertical|0.099095|-0.107978|-0.68923|0.709565|-0.016637|-0.289471|-0.957042|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.648 +0100|58797.723784|-0.016678|-0.297714|-0.942612|58797.703822|-1.539348|-0.0173|0.293825|0.008121|0.001939|-0.008998|-0.000578|-0.003476|0.001724|XArbitraryZVertical|0.099166|-0.10801|-0.689288|0.709494|-0.016558|-0.289616|-0.957|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.668 +0100|58797.743746|-0.012192|-0.283752|-0.949051|58797.723784|-1.539753|-0.017347|0.293108|-0.033589|-0.012474|-0.024752|-0.001736|-0.018079|0.015434|XArbitraryZVertical|0.098873|-0.1078|-0.689468|0.709392|-0.016606|-0.288929|-0.957207|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.688 +0100|58797.763708|-0.021973|-0.275833|-0.953857|58797.743746|-1.540152|-0.017765|0.29263|-0.010303|-0.021177|-0.014262|0.003702|0.006824|0.010255|XArbitraryZVertical|0.098537|-0.107804|-0.689653|0.709258|-0.017008|-0.288471|-0.957338|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.708 +0100|58797.78367|-0.0336|-0.279861|-0.959076|58797.763708|-1.540196|-0.018389|0.292461|-0.014962|-0.033226|0.00653|0.000807|0.003809|0.01246|XArbitraryZVertical|0.098259|-0.107969|-0.689708|0.709219|-0.017607|-0.288309|-0.957375|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.728 +0100|58797.803632|-0.038773|-0.282562|-0.96347|58797.78367|-1.539935|-0.01908|0.292549|-0.004409|-0.031309|0.02092|-0.009961|0.016344|-0.000548|XArbitraryZVertical|0.098066|-0.108232|-0.689645|0.709266|-0.018269|-0.288393|-0.957338|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.748 +0100|58797.823593|-0.026993|-0.28981|-0.966217|58797.803632|-1.539352|-0.019828|0.292935|0.007445|-0.022448|0.033592|-0.017427|0.007421|-0.003084|XArbitraryZVertical|0.097978|-0.108601|-0.689457|0.709405|-0.018982|-0.288763|-0.957212|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.768 +0100|58797.843555|-0.030823|-0.298172|-0.952469|58797.823593|-1.538648|-0.020314|0.293205|0.01249|-0.017288|0.037997|-0.012232|0.004903|-0.006269|XArbitraryZVertical|0.097944|-0.108832|-0.689218|0.709606|-0.019446|-0.289022|-0.957125|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.788 +0100|58797.863517|-0.02002|-0.295074|-0.952515|58797.843555|-1.537897|-0.020797|0.293219|-0.01471|-0.023992|0.035983|-0.012487|-0.005872|0.000355|XArbitraryZVertical|0.097824|-0.108972|-0.688975|0.709838|-0.019908|-0.289036|-0.957111|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.808 +0100|58797.883479|-0.020096|-0.301697|-0.955032|58797.863517|-1.537095|-0.021791|0.29259|-0.011894|-0.041553|0.037391|-0.002484|-0.0098|0.002317|XArbitraryZVertical|0.097301|-0.109069|-0.688768|0.710095|-0.020863|-0.288434|-0.957273|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.828 +0100|58797.903441|-0.01474|-0.285568|-0.953903|58797.883479|-1.536229|-0.023238|0.291948|-0.036168|-0.049667|0.03995|-0.000362|-0.01275|0.007231|XArbitraryZVertical|0.096622|-0.109321|-0.68856|0.710351|-0.022253|-0.287818|-0.957426|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.848 +0100|58797.923403|-0.022385|-0.265884|-0.96933|58797.903441|-1.535368|-0.02483|0.290927|-0.050947|-0.061282|0.036621|0.011546|-0.009699|0.001766|XArbitraryZVertical|0.095757|-0.109495|-0.688378|0.710618|-0.023785|-0.28684|-0.957683|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.868 +0100|58797.943365|-0.040222|-0.267532|-0.968414|58797.923403|-1.534517|-0.026374|0.290134|-0.032257|-0.058161|0.042941|0.003463|0.007347|-0.008344|XArbitraryZVertical|0.094989|-0.109731|-0.688186|0.710871|-0.025269|-0.28608|-0.957872|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.888 +0100|58797.963327|-0.056808|-0.264282|-0.964828|58797.943365|-1.533447|-0.027688|0.289913|-0.024129|-0.040965|0.064198|-0.002158|0.022822|-0.014556|XArbitraryZVertical|0.094517|-0.110072|-0.687878|0.711179|-0.02653|-0.285869|-0.957901|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.908 +0100|58797.983289|-0.09314|-0.234543|-0.987015|58797.963327|-1.53201|-0.028613|0.289641|-0.027874|-0.022338|0.074659|-0.022434|0.020715|-0.006386|XArbitraryZVertical|0.094181|-0.11024|-0.687422|0.711638|-0.027417|-0.285608|-0.957954|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.928 +0100|58798.00325|-0.145874|-0.177261|-1.004654|58797.983289|-1.530207|-0.029262|0.289049|-0.045424|-0.009375|0.110469|-0.042422|0.026725|-0.015024|XArbitraryZVertical|0.093846|-0.110184|-0.686837|0.712255|-0.028044|-0.285041|-0.958105|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.948 +0100|58798.023212|-0.169312|-0.138489|-1.020477|58798.00325|-1.52753|-0.029736|0.288505|-0.002168|0.02545|0.16238|-0.097597|0.084537|-0.040243|XArbitraryZVertical|0.093636|-0.110041|-0.68593|0.713179|-0.028503|-0.284519|-0.958247|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.985 +0100|58798.043174|-0.187775|-0.149261|-1.02121|58798.043174|-1.51543|-0.029305|0.289532|0.058896|0.186343|0.44004|-0.149685|0.146801|-0.059505|XArbitraryZVertical|0.094817|-0.109667|-0.681537|0.71728|-0.028081|-0.285504|-0.957966|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:21.988 +0100|58798.063136|-0.202805|-0.162842|-1.047806||||||||||||||||||||||||3
2021-04-12 19:47:22.008 +0100|58798.083098|-0.210449|-0.168884|-1.079254|58798.063136|-1.504568|-0.028738|0.289326|-0.000757|0.245704|0.57751|-0.1664|0.128964|-0.080106|XArbitraryZVertical|0.095528|-0.108876|-0.677613|0.721014|-0.02754|-0.285306|-0.958041|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.028 +0100|58798.10306|-0.193497|-0.162125|-1.107452|58798.083098|-1.490688|-0.028665|0.286742|-0.062106|0.298589|0.712859|-0.17765|0.11222|-0.112055|XArbitraryZVertical|0.095365|-0.107319|-0.672702|0.725852|-0.027491|-0.282829|-0.958776|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.048 +0100|58798.123022|-0.156296|-0.188065|-1.100571|58798.10306|-1.473994|-0.029261|0.282116|-0.086444|0.328624|0.840389|-0.180595|0.11399|-0.133601|XArbitraryZVertical|0.09436|-0.105202|-0.666844|0.731675|-0.0281|-0.278389|-0.960057|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.067 +0100|58798.142984|-0.106888|-0.229828|-1.068787|58798.123022|-1.454825|-0.028848|0.278616|-0.097799|0.367833|0.972209|-0.151087|0.122376|-0.145347|XArbitraryZVertical|0.094204|-0.102991|-0.659925|0.738253|-0.027732|-0.275026|-0.961037|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.088 +0100|58798.162945|-0.092804|-0.235992|-1.065353|58798.142984|-1.432884|-0.02732|0.273591|-0.317853|0.385991|1.141721|-0.103873|0.039004|-0.110413|XArbitraryZVertical|0.093946|-0.099751|-0.651915|0.745809|-0.026301|-0.270191|-0.962448|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.107 +0100|58798.182907|-0.079865|-0.231842|-1.060562|58798.162945|-1.408307|-0.02626|0.264816|-0.501036|0.365625|1.248902|-0.072453|0.040281|-0.097143|XArbitraryZVertical|0.092187|-0.095381|-0.642988|0.754301|-0.025341|-0.261732|-0.964808|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.127 +0100|58798.202869|-0.086151|-0.208542|-1.0672|58798.182907|-1.382032|-0.026091|0.252265|-0.657889|0.323274|1.32305|-0.064643|0.00828|-0.088941|XArbitraryZVertical|0.088684|-0.09014|-0.633468|0.763366|-0.025262|-0.249598|-0.96802|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.147 +0100|58798.222831|-0.103821|-0.253403|-1.095474|58798.202869|-1.35435|-0.026353|0.23728|-0.785365|0.330536|1.412619|-0.054117|0.010756|-0.08991|XArbitraryZVertical|0.084039|-0.084355|-0.623351|0.772823|-0.025611|-0.23506|-0.971643|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.167 +0100|58798.242793|-0.047485|-0.210037|-1.14325|58798.222831|-1.325044|-0.026169|0.219661|-0.935817|0.362957|1.475674|-0.073905|-0.004789|-0.117899|XArbitraryZVertical|0.078414|-0.07767|-0.61248|0.782744|-0.025537|-0.217898|-0.975637|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.187 +0100|58798.262755|-0.066193|-0.101685|-1.199631|58798.242793|-1.294824|-0.025439|0.19695|-1.214429|0.334914|1.549983|-0.03658|-0.077927|-0.137172|XArbitraryZVertical|0.070781|-0.069388|-0.601151|0.792965|-0.024945|-0.195679|-0.980351|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-12 19:47:22.207 +0100|58798.282717|-0.067169|-0.015976|-1.232574|58798.262755|-1.26359|-0.024894|0.171419|-1.248453|0.278172|1.590728|-0.042964|0.034518|-0.190636|XArbitraryZVertical|0.061751|-0.060561|-0.58924|0.803315|-0.024527|-0.170581|-0.985038|0.0|0.0|0.0|-1.0|-1.0|3
