"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
1.697129,-0.879843,-0.244355,-0.106394,-0.379813,-0.085695,-0.162719,0.431801,-0.208994,0.862202
1.658232,-0.978789,-0.490979,-0.10211,-0.280087,-0.174666,-0.15146,0.4195,-0.217859,0.868111
1.517686,-1.078403,-0.81209,-0.116197,-0.22932,-0.222403,-0.142503,0.406069,-0.228647,0.873225
1.484606,-1.247022,-1.124855,-0.140819,-0.203071,-0.133372,-0.136243,0.39109,-0.241463,0.8776
2.011486,-1.586984,-1.599616,-0.197114,0.064247,-0.133685,-0.122036,0.353145,-0.274869,0.885914
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.951391,-1.643391,-1.952828,-0.256379,0.124382,-0.256037,-0.114997,0.331045,-0.295439,0.888764
1.804246,-1.657307,-2.323671,-0.328151,0.217014,-0.235743,-0.110186,0.308226,-0.318597,0.88958
1.67522,-1.716397,-2.625603,-0.391169,0.271252,-0.092264,-0.107798,0.284922,-0.343941,0.888202
1.587277,-1.734572,-2.753034,-0.370463,0.22757,0.013624,-0.106965,0.26085,-0.37038,0.885062
1.443032,-1.654312,-2.86549,-0.377258,0.213003,0.022801,-0.106939,0.237058,-0.397065,0.880175
1.20104,-1.553486,-3.06935,-0.362613,0.253683,0.053429,-0.108244,0.214359,-0.424301,0.873099
0.850813,-1.449327,-3.264065,-0.334915,0.308097,0.081564,-0.112776,0.193519,-0.452136,0.863368
0.785882,-1.294908,-3.313744,-0.275307,0.353501,0.065406,-0.118313,0.174207,-0.480229,0.851489
0.868705,-1.132808,-3.304729,-0.202205,0.341472,0.078232,-0.122603,0.155829,-0.508123,0.838151
0.831777,-0.977027,-3.255141,-0.132772,0.314391,0.081303,-0.125849,0.138543,-0.535291,0.82367
0.527045,-0.82631,-3.204189,-0.076831,0.280821,0.073553,-0.1295,0.123295,-0.561341,0.808037
0.395589,-0.597203,-3.11563,-0.055086,0.339964,0.043483,-0.133711,0.110895,-0.586212,0.791315
0.501573,-0.409909,-2.971578,-0.01172,0.388267,0.028185,-0.136573,0.100356,-0.6098,0.774222
0.63721,-0.395106,-2.814919,0.072616,0.362372,0.037408,-0.137381,0.089829,-0.6319,0.75747
0.3348,-0.443333,-2.748997,0.089179,0.340822,-0.047992,-0.138419,0.079521,-0.652518,0.740768
-0.035616,-0.473603,-2.730455,0.082477,0.362206,-0.148039,-0.142276,0.071157,-0.671972,0.72329
-0.403792,-0.407073,-2.719964,0.068394,0.27179,-0.175214,-0.148818,0.065597,-0.690587,0.704727
-0.498082,-0.279362,-2.706765,0.114593,0.242922,-0.117749,-0.15622,0.062441,-0.708598,0.685263
-0.416702,-0.10619,-2.571403,0.204951,0.282774,-0.074429,-0.162491,0.060139,-0.725843,0.665682
-0.348817,0.20905,-2.36686,0.229166,0.278015,-0.119203,-0.166157,0.059269,-0.741886,0.646904
-0.28072,0.402431,-2.1422,0.339722,0.355035,-0.011334,-0.166917,0.059625,-0.756631,0.62936
-0.468213,0.605122,-1.853036,0.437201,0.565031,0.073937,-0.166463,0.061914,-0.769728,0.613169
-0.739307,0.90302,-1.341527,0.388261,0.809008,0.094666,-0.165564,0.068613,-0.780315,0.599158
-0.957128,1.192236,-0.653444,0.25338,1.23259,0.226228,-0.163039,0.080189,-0.787407,0.589049
-1.015856,1.202741,0.254676,0.299175,1.641144,0.534875,-0.159247,0.094539,-0.789857,0.584661
-2.605562,1.122767,1.525774,0.210648,1.649178,0.360633,-0.159009,0.115961,-0.784964,0.587453
-3.649936,0.983753,2.961141,-0.082956,1.942455,0.007635,-0.167619,0.151591,-0.76897,0.598004
-3.183033,0.881029,4.251175,-0.23169,2.116706,-0.333354,-0.174655,0.189149,-0.742932,0.617875
-4.252948,0.902291,5.018528,-0.21252,1.233492,-0.535397,-0.181943,0.228939,-0.706904,0.644027
-4.276831,0.342771,5.884608,-0.030162,0.899634,0.006065,-0.195259,0.275055,-0.660017,0.671265
-4.00348,0.001016,5.988244,-0.088057,0.003584,-0.291572,-0.206615,0.315585,-0.606558,0.69986
-2.504492,-0.06247,5.627735,-0.179378,-0.086419,-0.445717,-0.211354,0.347002,-0.553699,0.726868
-1.003635,0.02974,4.967171,-0.29715,-0.425908,-0.59689,-0.205421,0.367227,-0.508241,0.751424
-2.130473,-0.316601,4.280956,-0.243959,-0.942815,-0.582364,-0.19911,0.382129,-0.467823,0.77167
-2.714765,-0.537921,3.667204,-0.223233,-0.703469,-0.296052,-0.20472,0.397727,-0.426566,0.786095
-2.674339,-0.750634,3.126591,-0.277514,-0.411683,-0.277721,-0.215317,0.410752,-0.387221,0.796858
-2.363803,-0.822727,2.581306,-0.382079,-0.331038,-0.422755,-0.226079,0.419802,-0.352518,0.805224
-1.820361,-0.727293,2.172594,-0.46174,-0.225246,-0.45375,-0.236027,0.426131,-0.322585,0.811568
-1.076219,-0.587566,1.914391,-0.485678,-0.07891,-0.420239,-0.241033,0.43013,-0.298336,0.817244
-0.887833,-0.577262,1.71602,-0.410772,-0.163919,-0.315432,-0.242708,0.432511,-0.277993,0.822647
-0.756653,-0.566208,1.598062,-0.394341,-0.154009,-0.201278,-0.243727,0.433962,-0.259503,0.827606
-0.995247,-0.675657,1.490942,-0.402392,-0.252566,-0.188987,-0.245605,0.434691,-0.24155,0.832091
-0.827924,-0.749899,1.188142,-0.4831,-0.235558,-0.116563,-0.253595,0.434224,-0.207168,0.839178
-0.410252,-0.790785,1.014635,-0.495259,-0.190591,-0.04507,-0.255901,0.431772,-0.193079,0.843094
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.205624,-0.74216,0.824157,-0.519236,-0.194383,-0.028765,-0.254231,0.427868,-0.182949,0.847835
0.734877,-0.723899,0.620422,-0.500059,-0.225098,-0.024354,-0.248466,0.422654,-0.176997,0.853405
0.916882,-0.71796,0.401107,-0.477789,-0.307794,0.002208,-0.240629,0.416138,-0.174295,0.859388
1.480878,-0.55688,0.182371,-0.478617,-0.20669,-0.007069,-0.230397,0.409315,-0.175147,0.865276
1.895811,-0.510507,-0.045559,-0.428181,-0.142464,-0.054869,-0.216285,0.401912,-0.18021,0.871328
2.060189,-0.570915,-0.389246,-0.378836,-0.119996,-0.086576,-0.200411,0.393082,-0.188937,0.877283
2.240099,-0.659872,-0.816593,-0.386694,-0.178336,-0.036358,-0.185252,0.38234,-0.201365,0.882582
2.413311,-0.746573,-1.21385,-0.399599,-0.160433,-0.061868,-0.169954,0.369473,-0.217838,0.887216
2.477038,-0.914262,-1.638026,-0.383582,-0.086678,-0.167909,-0.155183,0.354293,-0.237922,0.890948
2.693103,-1.110945,-2.176897,-0.412159,-0.057287,-0.235348,-0.141148,0.336079,-0.262297,0.893492
2.779393,-1.303056,-2.797691,-0.459482,-0.11212,-0.251108,-0.128036,0.314434,-0.291786,0.894203
2.558902,-1.561792,-3.329141,-0.408547,-0.089718,-0.258132,-0.117826,0.289619,-0.32557,0.892324
1.991286,-1.657289,-3.76635,-0.452074,-0.050624,-0.347677,-0.112596,0.26324,-0.361693,0.887246
1.517275,-1.56312,-4.070039,-0.452293,-0.164669,-0.263399,-0.113431,0.237924,-0.398854,0.878317
1.232009,-1.349685,-4.193918,-0.466949,-0.145558,-0.21186,-0.117161,0.214937,-0.43631,0.865858
1.161301,-1.223429,-4.202278,-0.388731,-0.060468,-0.124551,-0.121185,0.19346,-0.473181,0.850874
0.944419,-1.163525,-4.208869,-0.312564,-0.080829,-0.063309,-0.12586,0.173063,-0.509013,0.833735
0.773782,-1.098619,-4.189336,-0.29198,-0.047004,-0.074574,-0.131505,0.153829,-0.54354,0.814621
