"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
1.609069,1.411247,0.864841,0.138994,0.529045,-0.563089,-0.558328,0.249505,-0.037753,0.790311
1.647492,1.18889,0.797655,0.192395,0.327031,-0.427721,-0.542669,0.263545,-0.042433,0.7964
1.68947,1.040347,0.71703,0.184516,0.247928,-0.407428,-0.526908,0.275874,-0.046824,0.802539
1.803257,0.848323,0.637117,0.15928,0.284301,-0.417037,-0.510434,0.286213,-0.051179,0.809272
1.641464,0.737658,0.448318,0.096007,0.187371,-0.277491,-0.494267,0.294331,-0.055703,0.816068
1.368194,0.798516,0.325594,0.035211,0.109855,-0.067542,-0.480519,0.301442,-0.060731,0.821308
0.998256,0.886143,0.328484,0.098011,0.076611,0.143123,-0.469246,0.309266,-0.06577,0.824523
0.634031,0.768734,0.280684,0.249306,0.174416,0.227149,-0.461021,0.317135,-0.069611,0.825857
0.524795,0.579094,0.005083,0.375191,0.33759,0.296265,-0.455443,0.323028,-0.073101,0.826366
0.558024,0.399678,-0.304201,0.467925,0.30367,0.431301,-0.451111,0.325885,-0.078429,0.827132
0.308962,0.456434,-0.528004,0.428166,0.0885,0.613173,-0.448442,0.326931,-0.085232,0.827497
-0.063919,0.636774,-0.480563,0.303853,-0.129787,0.680007,-0.448742,0.328974,-0.092283,0.825766
-0.35804,1.064056,-0.404945,0.09931,-0.211002,0.705184,-0.451308,0.334076,-0.09896,0.821536
-0.58199,1.466033,-0.262581,0.04522,-0.173495,0.659632,-0.455087,0.343515,-0.105873,0.814668
-0.393341,1.450273,-0.15396,0.106475,-0.031439,0.497764,-0.458147,0.355231,-0.112592,0.806992
-0.00416,1.282881,-0.038873,0.049227,-0.015658,0.363976,-0.458436,0.366167,-0.119089,0.800984
0.060845,1.250838,-0.001612,-0.074999,-0.046375,0.295992,-0.456672,0.376096,-0.125115,0.79646
0.067137,1.22523,0.005089,-0.149995,-0.033653,0.146738,-0.454684,0.385819,-0.130909,0.792003
0.016848,1.280839,-0.002148,-0.24534,0.003207,-0.017869,-0.452829,0.395624,-0.136659,0.787243
0.048019,1.296325,0.013867,-0.281063,0.126783,-0.167009,-0.450879,0.405754,-0.142502,0.782154
0.239005,1.255622,0.068423,-0.256899,0.277651,-0.274681,-0.44787,0.415664,-0.148469,0.777556
0.566525,1.228252,0.111896,-0.247721,0.425869,-0.347989,-0.442661,0.424987,-0.154858,0.774246
1.03547,1.315607,0.111962,-0.220319,0.583447,-0.345824,-0.434017,0.434128,-0.162947,0.772406
1.506052,1.341926,-0.010949,-0.198967,0.658601,-0.40591,-0.421638,0.442329,-0.173768,0.772251
1.91313,1.586147,-0.054918,-0.228646,0.679633,-0.461248,-0.40613,0.450263,-0.187671,0.772723
2.475544,1.883764,-0.014846,-0.189044,0.710848,-0.561151,-0.386099,0.459224,-0.20478,0.773373
3.138268,2.149063,0.007782,-0.091436,0.818476,-0.673801,-0.360038,0.468821,-0.225267,0.77449
3.878883,2.343507,0.116954,0.017971,0.910501,-0.801717,-0.327346,0.478131,-0.249146,0.775991
4.440969,2.301861,0.152973,0.129329,0.92356,-0.991442,-0.288035,0.485726,-0.275533,0.777938
4.25214,1.723635,0.143839,0.397242,0.763884,-1.204625,-0.247301,0.48961,-0.301331,0.779952
4.185155,-0.262343,0.738105,0.93847,0.408484,-1.823989,-0.210279,0.484448,-0.320866,0.786217
4.802393,-4.832399,2.263887,1.79803,-0.506669,-2.935204,-0.175668,0.453829,-0.326049,0.810476
3.555168,-10.410975,4.60153,3.34516,-2.241017,-3.04134,-0.148327,0.380539,-0.305197,0.860258
-4.379176,-13.23688,5.449358,5.086735,-3.879173,-0.257401,-0.163378,0.2798,-0.238953,0.91538
-12.790927,-14.051263,2.318909,5.03015,-2.614955,4.498528,-0.262902,0.182032,-0.155801,0.934598
-16.45248,-15.356427,1.891562,3.250785,-0.649687,6.257555,-0.412015,0.062538,-0.067572,0.906514
-16.41366,-8.003099,-2.55533,0.642562,2.897308,3.284859,-0.570961,-0.035966,-0.008148,0.820149
-3.920732,-3.746106,-4.661969,0.989652,1.270207,0.173607,-0.647798,-0.100931,-0.017196,0.754901
3.489809,-3.917735,-0.116291,2.667423,-0.398697,1.39766,-0.646113,-0.144015,-0.007907,0.74949
6.54749,-0.758452,0.05627,0.85561,-0.905146,2.08167,-0.606385,-0.162221,0.018119,0.778237
5.693895,1.322713,-0.023472,0.517881,-1.306777,1.890894,-0.555118,-0.156613,0.025274,0.816503
2.464683,1.611293,-0.186315,0.826063,-1.37885,1.584152,-0.521547,-0.14358,0.022781,0.840747
0.801491,1.617592,-0.557361,0.593571,-0.73354,1.058712,-0.509123,-0.131124,0.012959,0.850548
0.735341,1.201879,-0.644958,0.317395,-0.221595,0.659068,-0.502537,-0.122253,0.001481,0.855867
0.51409,0.960536,-0.713041,0.184687,-0.114487,0.584842,-0.495799,-0.116507,-0.008749,0.860542
-0.23458,0.855016,-0.786831,0.212926,-0.242489,0.661363,-0.493396,-0.112533,-0.019511,0.862274
-0.725683,0.886085,-0.745343,0.233625,-0.18259,0.737612,-0.496739,-0.108848,-0.030984,0.86049
-0.667385,0.974315,-0.54539,0.189536,-0.056456,0.608899,-0.501855,-0.103779,-0.042233,0.857664
