"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.127897,1.350234,-0.231741,-0.35682,0.191718,0.333896,-0.369559,-0.266097,0.214241,0.86413
-0.93581,1.160642,-0.324228,-0.241607,0.065288,0.256083,-0.376095,-0.25748,0.205731,0.865986
-1.365305,1.217406,-0.353346,-0.255861,0.125226,0.254697,-0.387753,-0.251086,0.195372,0.865121
-1.707727,1.325163,-0.466844,-0.170829,0.070532,0.343778,-0.402298,-0.244478,0.182889,0.863098
-2.382683,1.186865,-0.240288,-0.018221,-0.261607,0.460836,-0.42089,-0.238864,0.169686,0.858488
-3.283897,1.098835,0.195335,-0.039558,-0.589869,0.581156,-0.446821,-0.233936,0.157875,0.848941
-3.619043,1.53211,0.589584,-0.284319,-0.688525,0.621882,-0.479003,-0.226508,0.147419,0.835175
-3.464123,1.944051,0.681831,-0.275717,-0.490415,0.570465,-0.512422,-0.213932,0.135975,0.820468
-3.517846,1.88476,0.855684,-0.126949,-0.498937,0.427214,-0.544611,-0.198742,0.124638,0.805212
-3.63959,1.955319,1.1144,-0.266173,-0.628903,0.338031,-0.576961,-0.182221,0.115568,0.787754
-3.389715,2.310476,1.078706,-0.387754,-0.477147,0.249871,-0.608949,-0.163004,0.105062,0.769138
-2.980178,2.250045,1.221996,-0.201648,-0.335805,0.089346,-0.636995,-0.141668,0.09453,0.751819
-2.998399,2.125906,1.324601,-0.075391,-0.198303,0.027385,-0.662816,-0.119769,0.086169,0.734102
-2.827464,2.00256,1.062843,-0.003396,0.119355,0.007284,-0.687093,-0.099016,0.077984,0.715554
-1.822384,1.644633,1.068477,0.118503,-0.07306,0.023003,-0.721702,-0.062883,0.061765,0.686569
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.203104,1.596449,1.232329,0.126532,-0.31475,0.178216,-0.73666,-0.044707,0.056917,0.67238
-2.755628,1.615387,1.304061,0.187031,-0.13855,0.354154,-0.754471,-0.025697,0.052448,0.653729
-2.846001,1.487431,1.552464,0.223794,0.21861,0.454175,-0.773732,-0.006492,0.048877,0.631592
-3.310794,1.306361,1.914103,0.122196,0.218408,0.737682,-0.792977,0.014239,0.049142,0.607099
-3.703032,1.373117,1.96641,-0.076829,0.505294,0.862793,-0.814051,0.035942,0.051019,0.57743
-3.48599,1.65577,1.932086,-0.185722,0.836416,0.762582,-0.834035,0.058778,0.051324,0.546165
-3.1792,1.894044,1.85312,-0.201982,0.970297,0.700761,-0.851163,0.082461,0.048518,0.516109
-2.862408,2.075005,1.783021,-0.182304,1.11598,0.632142,-0.865724,0.106599,0.043558,0.487095
-2.107465,2.295767,1.695935,-0.193444,1.236835,0.530002,-0.87647,0.130971,0.035829,0.461913
-1.384733,2.761205,1.642758,-0.208955,1.162705,0.564436,-0.882514,0.156332,0.023848,0.442901
-1.258445,3.290532,1.702448,-0.102495,0.965648,0.65408,-0.885777,0.183885,0.006578,0.426078
-0.885142,3.788271,1.649048,0.047741,1.084861,0.488157,-0.886951,0.213691,-0.015518,0.409162
-0.062565,3.963626,1.488172,0.265523,1.237532,0.252645,-0.884121,0.243391,-0.042804,0.396558
0.796214,3.971194,1.282467,0.410735,1.330975,0.238474,-0.876961,0.270788,-0.073111,0.390215
1.789829,4.250515,1.018361,0.427391,1.405172,0.237245,-0.865025,0.295598,-0.107759,0.390821
3.255294,4.541666,0.855525,0.515007,1.523199,0.076198,-0.846851,0.317131,-0.14886,0.40014
4.004287,4.329657,0.422395,0.587399,1.279812,0.117414,-0.823208,0.333092,-0.19515,0.416288
5.585395,4.531639,0.50845,0.609953,1.501026,-0.0114,-0.791755,0.345412,-0.24472,0.44037
6.426322,5.276319,0.690173,0.604412,1.505705,-0.037626,-0.748102,0.355314,-0.300797,0.472882
5.784485,6.826051,1.086268,0.688362,1.002248,-0.010556,-0.695394,0.37025,-0.362225,0.498133
5.353134,8.184767,1.678355,1.292358,1.42882,-0.086931,-0.632306,0.39573,-0.427391,0.510807
10.747504,1.511854,6.740942,3.627293,1.6457,-1.311507,-0.463416,0.423171,-0.521638,0.577984
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.56541,-7.079891,12.361794,4.052261,-0.599352,-2.541061,-0.36464,0.383502,-0.500338,0.685292
5.027081,-10.814651,12.936096,4.609661,-5.347302,-2.23124,-0.291517,0.308479,-0.399317,0.812653
-6.28342,-14.109337,7.706798,6.802738,-2.816804,0.775322,-0.317713,0.243004,-0.264844,0.87742
-0.643365,-19.123913,4.868938,7.526308,5.738538,4.988281,-0.377432,0.118103,-0.157134,0.904934
1.43049,-20.445145,5.412984,4.522097,6.155495,5.616327,-0.373601,-0.034575,-0.021862,0.926687
-11.426253,-18.612362,2.998899,7.043725,-3.561813,6.425973,-0.392968,-0.21234,0.098513,0.88926
-17.131578,-11.870979,-7.886177,3.19915,1.418833,7.600332,-0.518457,-0.371062,0.070396,0.767177
3.716433,-6.558804,-1.346083,2.695483,1.848977,2.417852,-0.546909,-0.465105,0.054318,0.693987
8.784055,-1.028261,1.520858,1.037262,-2.636483,5.528038,-0.489119,-0.490846,0.128398,0.709469
3.653529,4.987209,2.167106,-1.006124,-2.511505,3.579343,-0.459325,-0.45575,0.155532,0.746406
5.748203,4.450198,1.964302,0.282213,0.128248,1.676749,-0.439851,-0.399072,0.169429,0.78649
3.91073,2.687165,1.221226,0.256984,-0.429183,0.885854,-0.410155,-0.355692,0.188079,0.818463
1.804085,2.30016,0.581845,-0.44383,-0.185806,0.255946,-0.396201,-0.326614,0.193752,0.835947
0.887608,1.922944,0.373202,-0.555828,-0.12703,-0.058183,-0.390262,-0.304642,0.194153,0.846873
0.055271,1.598978,0.149157,-0.247368,-0.00013,-0.084824,-0.390774,-0.287658,0.190432,0.853396
-0.890382,1.285422,0.032775,-0.019132,-0.108315,-0.038455,-0.396792,-0.275976,0.184669,0.85574
-1.611426,1.231852,0.024017,-0.013288,-0.151045,0.024509,-0.410299,-0.267664,0.176296,0.853774
-1.721217,1.233851,0.033042,-0.026732,-0.105544,0.064885,-0.42681,-0.259974,0.166898,0.849936
-1.560012,1.220213,0.166772,0.029972,-0.164498,0.119079,-0.44319,-0.251906,0.157903,0.845691
-1.596099,1.31851,0.326204,0.058197,-0.319436,0.237066,-0.459003,-0.242549,0.150479,0.841334
-1.90363,1.408788,0.390024,-0.022823,-0.59867,0.306844,-0.47614,-0.232043,0.143496,0.835976
-1.95992,1.567243,0.379589,-0.0759,-0.456331,0.306466,-0.49549,-0.220366,0.134804,0.829311
-1.680185,1.440039,0.327949,-0.09098,-0.356313,0.230926,-0.513131,-0.208544,0.126212,0.822968
-1.635698,1.367191,0.293407,-0.226857,-0.437715,0.185094,-0.529038,-0.197433,0.118423,0.816771
-1.471237,1.678656,0.122317,-0.451235,-0.28489,0.263152,-0.543754,-0.186078,0.108922,0.811075
