"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
2.860983,-0.776965,0.874743,-1.368434,-0.103875,0.052134,-0.45573,0.381795,-0.191219,0.781011
2.748414,-0.8063,0.844622,-1.127111,-0.478994,0.216519,-0.431754,0.374011,-0.19136,0.798176
2.268157,-0.901206,0.582323,-0.899592,-0.686054,0.263625,-0.41031,0.365548,-0.191362,0.813266
1.734754,-0.861962,0.405743,-0.791107,-0.743716,0.28721,-0.393914,0.356275,-0.19104,0.825472
1.324443,-0.58069,0.205715,-0.746662,-0.554682,0.260305,-0.381672,0.348763,-0.190907,0.834414
1.016561,-0.34837,0.040545,-0.602158,-0.493916,0.256171,-0.372361,0.343107,-0.192264,0.84063
0.767658,-0.199847,-0.12729,-0.445255,-0.418708,0.247968,-0.365563,0.339037,-0.194571,0.844725
0.605043,-0.163957,-0.22708,-0.285707,-0.367045,0.205098,-0.360697,0.335572,-0.197881,0.847426
0.449081,-0.088651,-0.309445,-0.231218,-0.252937,0.18111,-0.357406,0.332419,-0.201347,0.849245
0.374112,-0.057882,-0.423291,-0.138163,-0.213038,0.158891,-0.355303,0.329696,-0.205578,0.850176
0.245148,-0.017887,-0.46996,-0.062891,-0.200966,0.154099,-0.354337,0.327092,-0.210184,0.850458
0.20185,0.029836,-0.513724,0.021482,-0.144902,0.138745,-0.354062,0.325018,-0.215069,0.850146
0.261585,0.031944,-0.529846,0.053885,-0.074436,0.129282,-0.353697,0.322923,-0.220377,0.849737
0.228778,0.075547,-0.529824,0.067896,-0.004251,0.133729,-0.353224,0.320877,-0.225799,0.849286
0.045747,-0.025044,-0.585106,0.138444,-0.046799,0.139509,-0.353771,0.318892,-0.231023,0.8484
-0.235103,-0.090621,-0.690556,0.150327,-0.099801,0.133324,-0.356674,0.316297,-0.235874,0.84682
-0.526542,-0.117401,-0.762312,0.169272,-0.102911,0.097274,-0.36253,0.313773,-0.240435,0.843984
-0.745314,-0.215725,-0.792572,0.220028,-0.05737,0.062369,-0.370626,0.311204,-0.244416,0.840267
-0.896243,-0.378686,-0.808186,0.231609,-0.054726,0.049796,-0.380431,0.308691,-0.246894,0.836078
-1.020918,-0.465901,-0.853844,0.221865,-0.028869,0.038913,-0.391072,0.306398,-0.247876,0.831709
-1.082798,-0.663787,-0.82998,0.305302,-0.021957,-0.006538,-0.403726,0.301142,-0.249539,0.827073
-1.176522,-0.806576,-0.836283,0.30775,-0.0186,-0.013358,-0.417084,0.294453,-0.250129,0.822663
-1.391862,-0.877039,-0.887834,0.272531,-0.087582,-0.009232,-0.4324,0.287084,-0.249659,0.817486
-1.618571,-0.960581,-0.927989,0.269655,-0.05679,-0.001478,-0.449764,0.279489,-0.24873,0.811006
-1.507693,-0.947929,-0.883535,0.248266,0.015055,-0.01783,-0.467249,0.271599,-0.247315,0.804206
-1.471678,-0.98036,-0.838262,0.198563,0.065816,0.013921,-0.482957,0.263672,-0.246225,0.797874
-1.207187,-0.860323,-0.920224,0.119396,-0.011985,0.025473,-0.497679,0.255376,-0.2456,0.791694
-1.161674,-0.947551,-0.918166,0.124785,-0.028829,0.065761,-0.511397,0.246596,-0.24533,0.785797
-0.967603,-0.887481,-0.903153,0.033826,0.026857,0.045606,-0.523745,0.237513,-0.24558,0.780365
-0.376874,-0.751177,-0.842873,0.004871,0.080182,0.032241,-0.532775,0.228497,-0.246764,0.776562
0.041213,-0.63126,-0.719401,-0.026366,0.078598,0.048289,-0.538537,0.219509,-0.247991,0.774787
0.350192,-0.598,-0.545706,-0.037062,0.167818,0.064563,-0.539999,0.211016,-0.249711,0.775575
0.380303,-0.60841,-0.476792,-0.054786,0.046984,0.005513,-0.540136,0.202673,-0.250925,0.777312
-0.081823,-0.631509,-0.345452,-0.043302,-0.044116,-0.045178,-0.543252,0.1881,-0.250396,0.778972
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.233885,-0.675124,-0.268128,-7.2e-05,-0.023409,-0.043827,-0.546747,0.181747,-0.248901,0.778514
-0.278783,-0.633553,-0.212083,-0.006905,-0.039809,-0.01383,-0.551193,0.175933,-0.246683,0.77742
-0.180992,-0.594952,-0.122046,0.011497,0.015089,-0.01674,-0.554799,0.170714,-0.24419,0.776805
