"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.257997,-0.468718,-0.129356,0.089126,0.482185,0.120332,0.330583,-0.464858,-0.649847,0.502316
0.17752,-0.681821,-0.273327,0.028837,0.509634,0.116249,0.327377,-0.4668,-0.652976,0.498543
0.187142,-0.813432,-0.462225,0.003982,0.399707,0.108761,0.32527,-0.470827,-0.656186,0.491875
0.118272,-0.886834,-0.573112,0.033143,0.397133,0.066202,0.322898,-0.474183,-0.660862,0.483889
0.177243,-0.88186,-0.642811,-0.027847,0.548037,0.054319,0.320617,-0.477559,-0.665876,0.475133
0.010706,-0.820053,-0.682645,-0.083053,0.344792,0.054055,0.318617,-0.480163,-0.671217,0.466256
0.004257,-0.762928,-0.612269,-0.130891,0.216761,-0.013639,0.316346,-0.481467,-0.676869,0.458218
0.12403,-0.700848,-0.477479,-0.101076,0.171846,-0.08821,0.314402,-0.483616,-0.681293,0.450673
0.16569,-0.593383,-0.282723,-0.039263,0.005677,-0.077879,0.31262,-0.486387,-0.684244,0.444416
0.347797,-0.491129,-0.082636,-0.06926,-0.196775,-0.1839,0.31062,-0.489753,-0.685752,0.439775
0.460424,-0.248223,0.16435,-0.172598,-0.317738,-0.273687,0.309759,-0.494469,-0.684659,0.436798
0.157482,0.084027,0.507013,-0.206527,-0.243167,-0.316857,0.308948,-0.49831,-0.681789,0.437494
-0.172029,0.475175,0.695101,-0.18693,-0.274599,-0.363034,0.307642,-0.498623,-0.678362,0.443348
0.11103,0.528653,0.564355,-0.195142,-0.264094,-0.313113,0.307696,-0.497842,-0.674151,0.450552
0.34517,0.357489,0.346258,-0.013645,-0.122687,-0.379173,0.309795,-0.498985,-0.669389,0.454928
-0.069801,0.400466,0.44359,0.320066,-0.075287,-0.821128,0.311196,-0.499978,-0.665652,0.458353
-1.506794,0.999387,0.963373,0.502586,-0.329856,-1.132079,0.309152,-0.494652,-0.663707,0.468229
-3.556571,1.676102,1.41706,0.509331,-0.466903,-0.979632,0.29962,-0.474305,-0.666635,0.490776
-3.451428,2.217242,1.803225,0.531787,0.374994,-1.043835,0.286302,-0.444275,-0.669791,0.521567
-2.445853,2.835306,2.156066,0.372861,0.703446,-1.073872,0.279333,-0.417377,-0.664368,0.553521
-3.691821,3.575572,2.702337,0.11747,0.221197,-0.790937,0.274055,-0.386655,-0.653488,0.590207
-5.576572,4.576537,3.45245,-0.218311,0.052027,-0.995219,0.260488,-0.339473,-0.640749,0.637452
-5.591278,4.850104,4.185128,-0.363322,0.398799,-0.734031,0.240536,-0.28068,-0.621307,0.690897
-3.06801,4.457281,4.763212,-0.550932,0.793345,-0.509218,0.22579,-0.230782,-0.589764,0.740228
-1.612348,4.442566,5.237367,-1.012143,0.454269,-0.803048,0.224076,-0.196528,-0.546434,0.782672
-2.286097,4.86202,5.530834,-1.489035,-0.133672,-1.151079,0.223436,-0.16119,-0.495879,0.823528
-1.631157,4.445409,5.413403,-1.260896,0.107025,-0.818333,0.219776,-0.123382,-0.442124,0.860815
0.107626,3.539369,5.139771,-1.079716,0.396057,-0.049796,0.224394,-0.097405,-0.388294,0.888475
-0.335317,3.392043,5.148474,-1.0434,-0.286864,0.036673,0.233173,-0.079012,-0.33432,0.909735
-1.866173,3.334308,5.232713,-0.85233,-0.536796,-0.11777,0.229184,-0.056375,-0.279628,0.930648
-1.356195,2.645864,5.220252,-0.486579,-0.259621,0.10947,0.217604,-0.034974,-0.224588,0.949203
1.806148,1.847681,5.099987,-0.237935,-0.048402,0.639172,0.22069,-0.024934,-0.170286,0.96004
3.524644,1.657731,5.137578,-0.114675,0.022513,1.230659,0.251662,-0.02504,-0.11697,0.960394
0.902144,1.651775,5.638724,-0.241969,-0.781212,1.671794,0.273508,-0.025048,-0.060094,0.959664
1.427287,0.396084,5.287076,0.076238,-0.650142,1.732548,0.280727,-0.030026,-0.003806,0.95931
3.166243,-0.693199,4.415881,0.086069,-1.30111,2.315012,0.301656,-0.046243,0.042754,0.951335
1.859252,-1.018262,3.57775,-0.122905,-2.541436,3.593146,0.325423,-0.064778,0.079651,0.939979
0.903563,-2.997174,1.40343,0.168211,-3.211983,4.571158,0.337037,-0.089994,0.098827,0.931955
1.027498,-4.542118,-2.366539,-0.488597,-3.948078,3.546044,0.350827,-0.123129,0.083088,0.924585
-0.900313,-5.672298,-5.754155,-1.193545,-4.058252,3.707093,0.360779,-0.155429,0.026647,0.919223
-1.434546,-5.836492,-8.591098,-2.624043,-3.207408,3.346125,0.360742,-0.182662,-0.062095,0.912493
-2.323926,-5.559384,-11.317175,-4.17564,-3.14668,2.184939,0.355788,-0.196773,-0.175966,0.896511
-1.827787,-5.114407,-14.01525,-6.172355,-2.555545,1.282036,0.348311,-0.193463,-0.311752,0.862591
-1.776418,-6.129094,-16.561094,-9.028174,-0.897052,0.590082,0.347803,-0.181925,-0.464187,0.79402
-3.26809,-5.603888,-16.294317,-9.464075,0.434217,-0.264206,0.322938,-0.154746,-0.613718,0.703645
-1.799747,-4.329144,-12.820819,-6.758934,3.540483,-0.808671,0.292442,-0.124004,-0.72939,0.605881
1.928024,-2.841865,-8.643994,-4.002188,3.235269,-1.122344,0.276205,-0.112319,-0.799548,0.521363
4.384142,-2.433395,-4.842551,-2.848737,2.672055,-0.932474,0.279873,-0.135088,-0.834989,0.454111
3.69145,-1.921194,-2.434542,-2.622734,1.904471,-0.92664,0.284992,-0.170329,-0.849844,0.409308
1.574256,-1.569212,-1.542804,-2.301055,0.52784,-1.50302,0.283962,-0.193844,-0.857559,0.3826
0.864154,-1.433894,-1.111038,-1.465252,0.079955,-1.650731,0.27819,-0.205509,-0.864536,0.364629
0.62289,-1.265468,-0.317867,-0.610673,-0.236522,-0.985578,0.270352,-0.214236,-0.869348,0.353904
0.535336,-1.331975,0.306207,-0.498898,-0.258907,-0.616071,0.261319,-0.224061,-0.871437,0.349438
0.755926,-1.15892,0.665185,-0.684315,-0.635461,-0.904967,0.2512,-0.234588,-0.871566,0.349628
1.69263,-0.664818,0.860107,-0.513094,-0.982383,-0.476246,0.245816,-0.251191,-0.868018,0.350746
1.116368,-0.363483,0.815401,-0.431183,-1.492694,-0.000421,0.244232,-0.267133,-0.86262,0.35338
1.159961,-0.190163,0.611956,-0.319251,-1.005562,-0.004043,0.243891,-0.279447,-0.85773,0.355985
1.027178,-0.047561,0.617497,-0.449496,-1.189806,0.171378,0.245271,-0.290728,-0.852778,0.357895
0.998874,-0.034953,0.967703,-0.251278,-1.279656,0.408427,0.24633,-0.301201,-0.847128,0.361901
0.754912,0.044278,1.430602,-0.075877,-1.154499,0.665215,0.246277,-0.312118,-0.839885,0.36949
-0.28296,-0.062921,1.862949,0.010966,-1.315141,0.776737,0.241651,-0.31822,-0.833016,0.382655
