"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.467125,-0.165544,5.619081,0.857462,0.059608,0.293646,-0.144019,-0.198816,0.923715,0.294076
0.461557,-0.188042,5.639836,0.735174,0.236323,0.18189,-0.151909,-0.186684,0.93995,0.242006
0.432472,-0.092484,5.661037,0.626458,0.393267,0.038766,-0.159489,-0.173781,0.95321,0.189086
0.22251,-0.01892,5.646646,0.510375,0.626984,-0.294334,-0.168104,-0.161119,0.963042,0.135395
-0.285831,-0.311731,5.418952,0.341155,0.874903,-0.591201,-0.175314,-0.151903,0.969289,0.081662
-0.950096,-0.607778,5.06261,-0.04683,0.932013,-0.665545,-0.178868,-0.148711,0.972138,0.028951
-1.094395,-0.859342,4.4182,-0.406025,1.195859,-0.69982,-0.17886,-0.150841,0.972031,-0.020303
-0.588888,-1.018375,3.702819,-0.696168,1.381592,-0.787812,-0.17544,-0.151258,0.970779,-0.062686
-0.472972,-0.977597,2.621616,-1.031059,1.488518,-0.812802,-0.170129,-0.14977,0.969237,-0.095939
-0.544484,-1.110873,1.329041,-1.040856,1.711894,-0.864916,-0.162513,-0.150161,0.968114,-0.117462
-0.815088,-1.066246,0.133804,-0.991262,1.814042,-0.600222,-0.152047,-0.15416,0.967957,-0.127186
-0.759134,-0.685469,-1.090639,-1.099486,2.281772,-0.339585,-0.141484,-0.161468,0.968629,-0.125172
-0.785115,-0.345425,-2.436236,-1.257743,3.181368,-0.320335,-0.132924,-0.170305,0.97014,-0.110256
-2.41152,0.10702,-5.245087,-1.419729,4.947258,0.028886,-0.123622,-0.189419,0.971016,-0.077236
-2.914202,0.656999,-10.268668,-1.095471,7.333493,0.650149,-0.109552,-0.227129,0.967668,-0.005405
-2.24953,1.927336,-15.007581,-0.656879,7.082612,1.002003,-0.091231,-0.261599,0.953739,0.116726
-5.247412,4.355961,-19.880692,-0.234087,6.35954,0.1189,-0.07816,-0.304037,0.905683,0.284942
-5.147718,7.966314,-24.169312,1.142936,9.504383,-0.336218,-0.07875,-0.343744,0.79822,0.488347
2.451738,8.090322,-25.048296,5.185658,14.384492,0.155098,-0.068079,-0.327101,0.632495,0.698799
8.810432,1.009819,-18.908012,11.048851,10.837577,0.221401,0.022799,-0.258435,0.487936,0.833432
5.891496,-3.593924,-16.123402,7.793399,5.95991,0.076251,0.13263,-0.225383,0.347655,0.900415
5.153769,-7.046659,-11.121923,7.527979,4.77644,0.783797,0.229457,-0.236143,0.226367,0.916703
3.957201,-8.510132,-6.514771,7.535635,3.41226,1.304994,0.307698,-0.276051,0.136965,0.900199
0.831534,-8.564013,-3.478425,6.97895,0.683228,1.283336,0.352886,-0.333213,0.072327,0.871326
-1.056541,-6.760855,-1.770559,5.067636,-0.46737,1.224794,0.363374,-0.390528,0.02127,0.845574
-0.991531,-4.825001,-0.227269,3.483289,-0.943471,0.916777,0.357936,-0.435642,-0.012628,0.825796
-1.119517,-2.113282,0.864764,2.039085,-1.552344,0.542571,0.348092,-0.465166,-0.026427,0.813483
-1.5529,-0.130703,1.92659,1.119622,-1.356662,0.18405,0.330247,-0.477881,-0.025054,0.813596
-1.281215,0.769417,2.724128,0.889937,-0.509587,-0.218745,0.307148,-0.481922,-0.011511,0.820536
-1.442464,1.034693,3.026757,0.646353,-0.062048,-0.617504,0.282491,-0.482687,0.008871,0.828935
-1.25653,1.178555,3.089533,0.401472,0.147666,-0.623751,0.255449,-0.482039,0.030374,0.837533
-0.240291,1.275823,3.074306,0.282793,0.350206,-0.748583,0.233862,-0.479504,0.055581,0.843976
-0.019514,1.367889,2.921855,0.056022,0.240395,-0.794786,0.218243,-0.475105,0.083927,0.848293
-0.377319,1.240699,2.721382,0.018836,0.185723,-0.827293,0.201706,-0.470089,0.109463,0.852261
0.004162,1.196408,2.757004,0.00874,0.325216,-0.791686,0.185707,-0.465431,0.13388,0.854964
0.214337,1.417699,3.049735,0.048758,0.165582,-0.664103,0.171861,-0.459265,0.16165,0.856393
0.12252,1.451164,3.316001,0.338071,0.151476,-0.625324,0.156067,-0.451765,0.191978,0.857144
0.214455,1.418491,3.644127,0.474733,0.30337,-0.603889,0.139081,-0.444302,0.224505,0.856067
