"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.446447,-0.273642,-1.06774,-0.06283,-0.125224,0.099936,-0.84691,0.134083,-0.234265,0.458133
-0.066608,-0.578648,-1.523719,-0.05649,-0.200451,0.101546,-0.850749,0.122271,-0.23571,0.45356
0.607238,-0.815118,-2.051677,-0.083698,-0.14954,0.005036,-0.853211,0.103223,-0.238106,0.452417
1.514177,-1.001502,-2.435422,-0.076054,-0.100854,-0.135802,-0.852766,0.077341,-0.241578,0.456562
2.943743,-1.205951,-2.610538,-0.014903,-0.002677,-0.222391,-0.846868,0.04544,-0.245258,0.469678
4.315279,-1.526112,-2.616834,0.077923,0.087946,-0.14973,-0.833362,0.007893,-0.247359,0.494225
5.122193,-1.829261,-2.556012,0.148729,0.063161,0.041789,-0.812741,-0.033726,-0.246148,0.526997
5.113289,-2.07698,-2.444501,0.178297,0.077806,0.328923,-0.787748,-0.077068,-0.241283,0.561513
6.36477,-2.299037,-2.103426,0.080841,0.538115,0.799903,-0.759358,-0.120408,-0.232717,0.595584
8.374497,-2.93718,-0.900752,0.15554,1.93914,0.897508,-0.717589,-0.164446,-0.212017,0.642707
9.724358,-3.365481,0.525635,0.300545,2.095774,0.359093,-0.663264,-0.205021,-0.174659,0.698242
11.573367,-2.808235,2.877954,0.372866,2.167273,-0.648261,-0.593514,-0.233759,-0.11922,0.760845
11.032029,-1.800238,5.526579,0.409494,1.188,-1.642894,-0.513625,-0.238129,-0.044697,0.823095
8.013661,-0.749853,6.506068,0.627305,0.123872,-2.367772,-0.445427,-0.219221,0.035504,0.867339
4.243855,-0.592417,6.075041,0.954616,-0.232552,-2.337145,-0.40572,-0.193736,0.106785,0.886823
1.553446,-0.172763,4.312691,0.858947,-0.575864,-1.92836,-0.389398,-0.172551,0.161396,0.890251
-1.043384,1.142481,1.076155,0.461925,-1.594001,-1.515873,-0.392382,-0.158674,0.184922,0.88694
-1.538089,5.823988,-1.733721,-1.459665,-2.153162,-1.607086,-0.411656,-0.134057,0.16572,0.886062
0.669416,9.765783,-3.910744,-2.229316,0.240176,-1.626304,-0.424709,-0.0765,0.106216,0.895817
4.411168,10.274573,-3.895394,-1.942709,1.842856,0.494366,-0.409032,0.000241,0.026178,0.912145
4.73199,12.005509,-6.216951,-1.381203,1.59833,2.784944,-0.356143,0.076997,-0.055192,0.929617
-9.402658,9.510904,-7.905077,-0.840661,-5.755771,-0.085538,-0.367853,0.150499,-0.159498,0.903657
-14.904881,9.07513,-4.18884,-5.173141,-3.414498,-0.37725,-0.472136,0.224837,-0.23167,0.820283
-12.587823,11.303081,-3.930822,-8.64043,2.742907,4.247755,-0.55841,0.323889,-0.286032,0.708138
-10.022869,1.926896,1.026032,-0.820378,0.875721,2.833566,-0.619843,0.398359,-0.293728,0.608956
-6.209704,-1.884857,1.694654,0.632737,-0.260995,-0.127846,-0.66246,0.424337,-0.24669,0.565887
-1.854116,-2.380903,1.536274,-1.321933,-0.620502,-1.475391,-0.684188,0.434224,-0.204273,0.549189
3.386753,-2.440773,1.392999,-1.266603,0.855648,-1.019807,-0.677244,0.428467,-0.183314,0.569344
5.113932,-2.139698,0.826066,-1.21573,0.028019,-0.103544,-0.650007,0.414704,-0.18053,0.610672
