"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
0.3536,0.350976,0.234727,0.056052,0.083452,-0.177851,0.32306,0.131945,0.796268,0.494147
0.485202,0.499082,0.553178,0.167411,0.314861,-0.068579,0.322445,0.136653,0.798866,0.489048
-0.15631,0.692334,0.894246,0.014141,0.382084,-0.063971,0.319759,0.13879,0.803965,0.481801
-0.494829,0.957592,1.245448,0.071915,0.70768,-0.187242,0.312867,0.136271,0.812135,0.473266
0.116144,1.379301,1.644523,-0.005262,0.793087,-0.38249,0.304062,0.134885,0.82279,0.460835
1.099037,1.84792,2.03993,-0.067165,0.668157,-0.476952,0.296157,0.142064,0.83506,0.441344
1.426545,2.249816,2.362361,-0.106687,0.296553,-0.346418,0.287794,0.155411,0.84857,0.415874
1.298082,2.58282,2.383018,-0.229753,-0.314754,-0.265092,0.27657,0.169916,0.862819,0.387533
1.37038,2.969332,1.838442,-0.735273,-1.001263,-0.198112,0.261042,0.1858,0.87603,0.360426
1.799066,2.938705,0.998084,-0.662645,-1.340102,0.360158,0.242744,0.206262,0.885607,0.337983
3.008253,2.473492,-0.189731,-0.301535,-1.693344,1.095679,0.227322,0.235259,0.888254,0.322465
3.29038,1.911064,-2.419232,-0.47608,-2.509841,1.473548,0.215374,0.274644,0.880714,0.3202
0.568113,0.799057,-5.106402,-0.491022,-3.314611,1.689605,0.198937,0.305273,0.865062,0.344821
-0.677934,-0.469602,-7.147622,-0.167786,-2.4405,1.222919,0.176838,0.314143,0.843547,0.398085
0.578638,-1.366327,-7.80215,0.317532,-1.063991,0.756933,0.160404,0.322203,0.809363,0.464098
1.339884,-1.89678,-7.018176,0.260495,0.178884,0.328735,0.156001,0.338158,0.76509,0.525309
1.349734,-2.497983,-6.336121,-0.346678,0.105549,0.211559,0.155553,0.345275,0.720711,0.580658
2.579143,-3.036194,-5.699382,-0.774697,0.794005,-0.094552,0.166155,0.351693,0.672854,0.629264
2.066506,-2.77617,-4.965182,-1.056167,0.292878,-0.324637,0.182288,0.35762,0.624437,0.670044
1.123945,-2.117654,-4.2571,-1.247307,0.08448,-0.406903,0.190791,0.358478,0.582982,0.703722
1.188283,-1.683403,-3.686375,-1.17037,0.299314,-0.474455,0.195115,0.358907,0.547134,0.730589
1.529058,-1.497881,-3.27373,-1.034622,0.440477,-0.424981,0.201085,0.361298,0.513409,0.751957
1.337342,-1.344487,-2.843712,-0.874326,0.355404,-0.420476,0.208348,0.364116,0.481902,0.769273
1.129681,-1.195799,-2.459603,-0.769623,0.362069,-0.487694,0.213947,0.365593,0.454304,0.783694
0.834647,-1.148304,-2.09395,-0.644699,0.344081,-0.356399,0.218464,0.365629,0.430343,0.795861
0.674847,-1.207078,-1.773847,-0.518555,0.488279,-0.282155,0.222318,0.363597,0.409613,0.806592
0.524948,-1.203409,-1.563828,-0.528285,0.401342,-0.341659,0.225881,0.359739,0.39136,0.816335
0.469061,-1.074791,-1.397421,-0.521678,0.363291,-0.412633,0.229214,0.355735,0.374779,0.824896
0.249842,-0.947841,-1.248927,-0.505335,0.332427,-0.271061,0.231207,0.351807,0.360262,0.832458
0.143904,-0.925459,-1.133351,-0.424376,0.485604,-0.149069,0.232117,0.347485,0.347408,0.839454
-0.156744,-0.814524,-1.037081,-0.420823,0.395972,-0.129627,0.231294,0.342519,0.336304,0.846217
-0.132277,-0.666589,-0.96239,-0.368102,0.426959,-0.221425,0.228819,0.338005,0.326732,0.852433
-0.040774,-0.605532,-0.859168,-0.298338,0.44095,-0.189323,0.227039,0.334436,0.317742,0.857698
-0.085648,-0.645406,-0.684258,-0.204951,0.45357,-0.134909,0.226125,0.330792,0.309803,0.862245
-0.371898,-0.757761,-0.48173,-0.191073,0.323611,-0.083808,0.224292,0.325318,0.303948,0.866878
-0.378634,-0.880441,-0.263701,-0.174184,0.294461,-0.140242,0.222096,0.317868,0.30012,0.871528
-0.316099,-1.038481,0.432627,-0.194202,0.113644,-0.205795,0.221998,0.298647,0.298974,0.878716
-0.429869,-1.112787,0.846763,-0.234764,0.02043,-0.064524,0.22388,0.286598,0.30326,0.88078
-0.293252,-1.105909,1.219433,-0.283911,0.044371,-0.048369,0.22672,0.273249,0.31101,0.881593
0.067287,-1.03307,1.516062,-0.305678,0.080383,-0.119068,0.232733,0.260297,0.320905,0.880398
0.304134,-0.847686,1.836688,-0.345645,0.048759,-0.07645,0.241899,0.248769,0.332838,0.876823
0.139431,-0.765907,2.128971,-0.255568,0.039565,0.102592,0.251472,0.2377,0.34766,0.871432
0.003749,-0.741487,2.383754,-0.172966,0.181644,0.176921,0.259787,0.225522,0.365202,0.865031
0.169194,-0.621658,2.58388,-0.156626,0.244189,0.146711,0.268414,0.213274,0.384619,0.857051
0.384876,-0.379608,2.685351,-0.184297,0.174074,0.06786,0.278175,0.202827,0.405189,0.846937
0.443404,-0.198735,2.692078,-0.137335,0.177238,0.103369,0.28845,0.194684,0.426171,0.835029
