"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.024247,-0.704856,-0.265426,0.038727,-0.234125,0.023443,-0.477056,-0.006777,-0.048882,0.877486
-0.42007,-1.058768,-0.125481,0.146109,-0.285814,0.026141,-0.480048,-0.015341,-0.046332,0.875884
-0.151225,-1.306072,-0.048817,0.181266,-0.19203,-0.036653,-0.483127,-0.025967,-0.041472,0.874182
0.064742,-1.683378,0.097774,0.194465,-0.440687,-0.035662,-0.483928,-0.038761,-0.034201,0.87358
0.458092,-1.889861,0.100065,0.099494,-0.454724,0.123732,-0.482397,-0.054115,-0.024193,0.873945
0.420712,-2.056471,0.059736,-0.007258,-0.384143,0.026133,-0.478306,-0.071079,-0.013981,0.875201
0.106884,-2.200027,0.197967,0.011951,-0.749491,-0.086686,-0.476381,-0.089154,-0.002478,0.874704
0.253007,-2.063883,0.238049,0.076696,-0.661847,-0.035884,-0.475285,-0.107055,0.010141,0.873236
0.645085,-2.15692,0.206428,0.290057,-0.341527,-0.331431,-0.471142,-0.123991,0.022183,0.873018
1.109606,-2.062824,0.378968,0.622243,-0.337311,-0.900367,-0.463431,-0.141149,0.03569,0.874091
2.2513,-1.557546,0.54909,0.738167,-0.132101,-1.718706,-0.449206,-0.155139,0.051299,0.878359
2.957544,0.009089,-0.089571,0.410339,0.667259,-2.183839,-0.424992,-0.159277,0.061684,0.888937
1.85985,1.393611,-0.766644,-0.032775,0.151122,-2.122619,-0.402984,-0.153279,0.058484,0.900383
1.554132,3.163264,-1.068128,-0.599933,0.405935,-1.647678,-0.387221,-0.136028,0.043858,0.910842
1.694406,3.499268,-0.929409,-1.043436,0.351935,-1.416191,-0.377431,-0.106004,0.023856,0.919641
-0.621516,5.287704,-1.391446,-1.480857,2.229027,-0.902739,-0.372607,-0.067906,-0.007522,0.925471
-2.112893,5.860266,-0.492681,-1.867221,-0.111904,-0.139736,-0.384787,-0.020317,-0.035834,0.922086
-2.733766,6.150686,0.074905,-1.918268,0.823023,0.496104,-0.403515,0.036192,-0.062006,0.912152
-3.159194,5.750878,0.446706,-1.592311,0.568396,0.782577,-0.426232,0.093289,-0.081925,0.896053
-3.06018,5.185489,0.649611,-1.27542,0.303111,0.709212,-0.448567,0.147063,-0.097308,0.87618
-2.253362,4.509559,0.593431,-1.034259,0.115591,0.620594,-0.465872,0.194693,-0.109151,0.856238
-1.119928,3.906909,0.255949,-0.849319,0.076875,0.676772,-0.474359,0.234291,-0.121672,0.839814
-0.37498,3.322159,-0.16209,-0.657804,-0.151412,0.669941,-0.475384,0.26545,-0.136773,0.82755
-0.095835,2.625306,-0.448369,-0.521995,-0.411908,0.697125,-0.473805,0.288781,-0.152832,0.817775
0.007468,2.022825,-0.735946,-0.454996,-0.34095,0.771697,-0.472328,0.304847,-0.168401,0.809701
0.342235,1.564856,-0.94876,-0.433227,-0.212981,0.836113,-0.470557,0.314908,-0.184042,0.803454
0.820039,1.335872,-1.150175,-0.418122,-0.103308,0.851657,-0.466468,0.32026,-0.201066,0.799634
0.989426,1.188464,-1.209896,-0.383732,-0.154025,0.806397,-0.460185,0.322908,-0.219483,0.797363
0.739929,0.860573,-1.066086,-0.318207,-0.273463,0.751874,-0.454598,0.3239,-0.236195,0.795388
0.655266,0.505793,-0.922161,-0.270961,-0.21655,0.775444,-0.450728,0.323128,-0.249264,0.793914
0.665932,0.299714,-0.789185,-0.261538,-0.078951,0.797548,-0.447255,0.320629,-0.25989,0.793484
0.776908,0.26958,-0.653078,-0.235923,0.021519,0.832997,-0.443234,0.317835,-0.269114,0.79379
1.003096,0.169521,-0.618231,-0.106923,0.120329,0.795001,-0.437669,0.314501,-0.277771,0.795222
0.902955,-0.101786,-0.55718,0.082098,0.056726,0.641268,-0.43145,0.309543,-0.286004,0.797644
0.748347,-0.828012,-0.337237,0.270733,0.027558,0.525992,-0.42767,0.301785,-0.290053,0.801183
0.926291,-1.392406,-0.263362,0.278517,0.400731,0.485611,-0.425218,0.288968,-0.289922,0.807238
0.856468,-1.553347,-0.334819,0.181874,0.67967,0.38494,-0.422785,0.27296,-0.288632,0.814517
0.316026,-1.709105,-0.439635,0.174289,0.462622,0.256144,-0.423493,0.256403,-0.286499,0.820262
-0.093776,-1.957255,-0.636946,0.210549,0.385646,0.133071,-0.429281,0.238774,-0.283324,0.82367
-0.266814,-1.986408,-0.828185,0.171943,0.405168,0.141173,-0.43822,0.219663,-0.280297,0.825315
-0.477404,-1.687644,-0.90194,0.175937,0.313838,0.034194,-0.448113,0.201753,-0.27872,0.82511
-0.594953,-1.682964,-0.870537,0.32202,0.119836,0.000568,-0.459175,0.185422,-0.277456,0.823283
-0.73765,-1.719262,-0.737729,0.430403,0.045611,-0.122378,-0.470729,0.169519,-0.274982,0.821014
-0.992699,-1.657171,-0.525113,0.384444,-0.050212,-0.079494,-0.48376,0.154848,-0.270756,0.817734
-1.203666,-1.402315,-0.237686,0.305365,-0.197913,-0.109438,-0.497591,0.143394,-0.264689,0.813499
-1.232261,-1.064053,0.173695,0.279974,-0.225577,-0.291764,-0.511119,0.136482,-0.25704,0.80874
