"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.292976,1.582968,-5.840279,-0.531418,0.603414,1.477201,-0.068315,-0.081115,0.578023,-0.8091
-3.920594,0.215656,-6.643234,-0.424551,0.752836,1.16623,-0.052951,-0.105484,0.624819,-0.771797
-8.751422,0.126587,-6.450488,-0.464337,0.865359,1.555045,0.000659,-0.150719,0.665175,-0.731318
-13.007195,0.684332,-6.275837,-0.458692,0.810765,1.919473,0.089507,-0.227861,0.689491,-0.681668
-12.956262,0.989018,-5.189019,-0.343808,0.915974,2.019542,0.183394,-0.314821,0.693049,-0.622043
-13.198462,0.676304,-4.487505,-0.226684,0.584797,1.80679,0.27401,-0.402013,0.674724,-0.555024
-10.597021,-0.619398,-3.953549,0.527133,0.159876,2.202012,0.353809,-0.467603,0.645458,-0.489439
-3.77637,-2.442147,-3.145005,0.331573,0.907496,2.661436,0.414167,-0.492597,0.622067,-0.445923
0.462578,-4.840221,-1.035982,-0.438153,1.471,2.024741,0.454523,-0.476284,0.608252,-0.443387
1.659645,-6.382297,1.982308,-0.838831,1.9486,1.850532,0.480019,-0.444611,0.585579,-0.47854
1.648229,-7.952194,4.1354,-1.163601,1.762967,1.225643,0.497642,-0.414058,0.542117,-0.53574
1.463869,-8.421336,3.976234,-1.87319,1.331252,0.582108,0.514513,-0.380765,0.481104,-0.599027
4.284021,-9.413029,4.191862,-2.021146,-0.467582,-0.397257,0.525549,-0.332436,0.420706,-0.660523
5.669753,-7.987981,5.269341,-3.238907,-0.451725,0.105273,0.508544,-0.275666,0.353801,-0.734994
7.919163,-5.262887,3.72843,-3.441519,0.224767,0.942832,0.466123,-0.226621,0.305893,-0.798625
6.537943,-4.426162,3.127801,-3.157231,-0.17908,1.11887,0.412567,-0.17896,0.272453,-0.850606
3.964427,-4.097707,3.521667,-3.164064,-0.958678,0.623953,0.372543,-0.143056,0.235643,-0.886126
2.274022,-3.93509,3.120457,-2.577449,-0.705176,0.384706,0.350164,-0.111673,0.194951,-0.909345
1.661586,-3.277248,3.005376,-2.23875,-0.753323,0.287041,0.334881,-0.08591,0.156393,-0.925211
0.716498,-3.140153,2.74937,-1.863215,-0.704255,-0.148301,0.326903,-0.064008,0.120747,-0.935124
0.885538,-2.6818,2.538317,-1.684183,-0.458436,-0.247215,0.321559,-0.044424,0.086267,-0.941905
1.75181,-2.34558,1.989443,-1.421615,-0.199788,-0.454822,0.310232,-0.027108,0.057578,-0.948528
2.748281,-1.842905,1.412141,-1.254317,-0.028321,-0.448563,0.289088,-0.011425,0.03546,-0.956577
1.558975,-1.582129,0.944752,-1.076756,-0.0235,-0.440788,0.267566,0.002545,0.019572,-0.963337
0.882759,-1.070733,1.013809,-0.991263,-0.182093,-0.422097,0.256754,0.01294,0.006377,-0.966369
1.191662,-0.532335,0.211883,-0.92035,0.475248,-0.402836,0.247272,0.018955,-0.001723,-0.968759
0.579798,-0.104732,-0.242531,-0.670927,0.557223,-0.302428,0.2376,0.022173,-0.00241,-0.971107
-0.709183,0.11783,-0.294552,-0.573978,0.471779,-0.544172,0.238438,0.022627,0.000459,-0.970894
-0.89118,0.152048,-0.432358,-0.328446,0.604023,-0.646811,0.24647,0.022288,0.004225,-0.968885
-0.65586,0.45652,-1.120811,-0.143228,0.838525,-0.406038,0.254089,0.02121,0.012295,-0.96687
-0.812757,0.848817,-1.683756,-0.01962,0.884255,-0.033326,0.260486,0.017784,0.028148,-0.964903
-0.711787,0.980283,-1.962858,0.008739,0.697607,-0.257613,0.266005,0.013955,0.048529,-0.962648
-1.791401,1.369644,-1.815934,0.171279,0.280533,-0.091875,0.277956,0.007115,0.069789,-0.958029
-2.154685,1.968905,-1.714927,0.390828,0.086216,-0.043952,0.29539,-0.005364,0.091689,-0.950952
-1.905951,2.114645,-1.696943,0.576644,-0.139304,-0.051124,0.312778,-0.021522,0.113535,-0.942771
-1.504019,2.072232,-1.776881,0.654357,-0.367578,0.033275,0.327124,-0.037897,0.136024,-0.934372
-0.848071,2.118786,-1.877748,0.64035,-0.570731,0.115571,0.33574,-0.053157,0.159537,-0.926823
-0.265267,1.969787,-1.848095,0.614541,-0.611129,0.194428,0.338555,-0.066839,0.183296,-0.920497
0.550727,1.7326,-1.699331,0.584819,-0.593681,0.09637,0.335037,-0.077316,0.205995,-0.916154
1.149256,1.875127,-1.595636,0.564417,-0.630444,0.10178,0.324136,-0.085573,0.227406,-0.914276
0.710218,2.082393,-1.341553,0.511365,-0.795215,0.236766,0.311532,-0.09701,0.248375,-0.912056
0.368605,1.745175,-1.269661,0.457503,-0.800559,0.194389,0.303367,-0.109261,0.26659,-0.908273
0.480504,1.414748,-1.169492,0.299384,-0.562838,0.259087,0.297183,-0.119013,0.282716,-0.904207
0.475962,1.233181,-1.048948,0.118748,-0.256569,0.361567,0.289397,-0.125822,0.297333,-0.901117
0.683992,0.942743,-0.978731,0.029011,-0.109441,0.176258,0.283965,-0.131676,0.309657,-0.897852
0.938294,0.391381,-1.37537,0.040234,0.376415,-0.074288,0.273686,-0.130515,0.32337,-0.896378
