"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
1.567697,0.828112,1.421548,-0.160815,-0.444306,-0.436931,0.311699,-0.382336,0.719252,0.489223
1.452314,1.043943,1.018573,-0.226211,-0.461852,-0.416594,0.307671,-0.370748,0.733592,0.479299
1.088425,1.302992,0.670944,-0.222303,-0.49354,-0.396199,0.302055,-0.357988,0.745939,0.473479
0.659284,1.533488,0.547894,-0.172561,-0.6219,-0.490201,0.29325,-0.346592,0.756066,0.471427
1.051337,1.856478,0.598514,-0.156574,-0.520505,-0.81438,0.282231,-0.334489,0.766028,0.470812
2.893897,2.901354,0.907381,-0.147818,-0.164322,-1.246662,0.270877,-0.311422,0.781954,0.467107
5.495776,4.039252,1.486389,-0.060752,0.266493,-2.013188,0.258194,-0.264567,0.808729,0.457491
7.196725,4.389774,1.323652,0.027384,-0.370563,-1.739198,0.248963,-0.195973,0.841361,0.437863
2.806537,7.133463,-0.497193,-0.703776,-3.220422,-0.322078,0.226667,-0.125441,0.865581,0.428552
-4.553747,7.594608,-1.209598,-0.807546,-6.92604,0.488413,0.153568,-0.099714,0.875758,0.44668
-4.182045,2.934061,-3.137119,-1.034084,-7.306262,-0.471029,0.082818,-0.118429,0.866936,0.477009
0.948183,-0.135969,-7.652482,-4.578428,-8.379842,-0.077586,0.077144,-0.12218,0.841775,0.520131
1.292603,3.441252,-14.132536,-7.782606,-8.365965,3.322724,0.082318,-0.095113,0.781944,0.610526
4.201475,2.273377,-17.661394,-8.135168,-6.049371,2.159433,0.088156,-0.040853,0.677693,0.728898
3.195328,1.44599,-18.187372,-11.252651,-6.218519,0.269467,0.111167,0.015961,0.538874,0.834866
0.921462,2.594911,-17.6271,-15.967014,-4.82655,-2.150501,0.113119,0.062806,0.387617,0.912695
3.102733,3.999703,-20.091837,-15.897743,0.717262,-2.356842,0.109448,0.117378,0.212137,0.963972
2.248385,4.932263,-19.445011,-12.760479,0.954683,-2.238448,0.103267,0.185684,0.020488,0.976953
0.463237,5.915489,-16.656078,-9.921412,1.950842,-1.901276,0.079757,0.25448,-0.15431,0.95135
1.170425,5.986171,-12.66428,-7.464171,3.130179,-0.916458,0.058206,0.316947,-0.286569,0.902239
3.495942,4.897148,-8.738698,-5.270994,3.152076,-1.139594,0.06002,0.36428,-0.385064,0.845827
5.869642,2.798988,-5.442975,-3.795278,2.943278,-1.174362,0.087975,0.380338,-0.457585,0.798886
8.453703,1.04208,-3.526449,-2.948166,3.1574,-0.76862,0.137635,0.363484,-0.517681,0.762196
7.99258,0.349607,-1.741086,-2.370758,2.931922,-0.269811,0.195627,0.327033,-0.565598,0.731354
4.834474,0.244753,-0.000858,-1.89642,1.745724,-0.014947,0.240974,0.29339,-0.591192,0.71158
3.638444,-0.305141,1.243208,-1.647677,1.218774,-0.560154,0.27142,0.268059,-0.597917,0.704961
3.410678,-1.119473,2.346577,-1.489095,1.078,-0.724584,0.296224,0.236817,-0.596079,0.707713
3.339314,-1.422264,3.039137,-1.600912,0.534432,-0.799404,0.31854,0.199087,-0.588172,0.716205
3.20247,-1.427839,3.383536,-1.763496,0.026714,-0.825396,0.339775,0.158487,-0.575665,0.726667
2.272021,-1.288199,3.530693,-1.794907,-0.35476,-0.619986,0.356705,0.120937,-0.558922,0.738744
1.311144,-0.946187,3.650384,-1.65395,-0.627387,-0.491359,0.367751,0.089774,-0.538082,0.753105
0.847699,-1.121532,3.692105,-1.206509,-0.322979,-0.447121,0.372707,0.064198,-0.514614,0.769507
1.432074,-1.247056,3.694018,-1.06694,-0.379889,-0.489035,0.377015,0.034686,-0.491291,0.784404
1.317426,-0.625246,3.956192,-0.98537,-0.619995,-0.333707,0.384394,0.006068,-0.464933,0.797522
0.654187,-0.320538,4.180619,-0.632971,-0.758506,-0.369056,0.390152,-0.018075,-0.43392,0.811892
0.043668,-0.199149,4.351351,-0.39066,-0.779228,-0.312331,0.390739,-0.038686,-0.400064,0.828115
0.303893,-0.153536,4.568079,-0.15705,-0.539038,-0.244632,0.388884,-0.057744,-0.363358,0.844633
0.550785,-0.190723,4.796716,0.073507,-0.602281,-0.166987,0.388866,-0.078969,-0.323688,0.858937
0.158413,-0.126138,4.846055,0.153978,-0.882017,-0.150196,0.387414,-0.10034,-0.282362,0.871845
-0.132503,-0.118399,4.961039,0.245846,-0.733278,-0.08602,0.381542,-0.120136,-0.239947,0.884544
0.033966,-0.106038,5.229784,0.392103,-0.456509,0.039275,0.374391,-0.140351,-0.195219,0.895557
0.246985,-0.45441,5.390291,0.574551,-0.437122,0.103649,0.366966,-0.162535,-0.14813,0.903867
0.292014,-0.600425,5.593002,0.53737,-0.55733,0.007515,0.359209,-0.188112,-0.100436,0.908568
-0.437083,-0.545488,5.502258,0.335737,-0.913824,-0.117776,0.348069,-0.213649,-0.052481,0.911289
-0.596932,-0.219783,5.519239,0.249928,-0.696791,0.041768,0.329898,-0.235928,-0.005024,0.914046
-0.54796,-0.593901,5.494132,0.404404,-0.428069,0.320547,0.311103,-0.25695,0.042569,0.913991
