"rotation_x","rotation_y","rotation_z","acceleration_x","acceleration_y","acceleration_z","motionQuaternionX","motionQuaternionY","motionQuaternionZ","motionQuaternionW"
-0.171388,-5.410821,-1.463174,-0.721378,0.255022,-0.149706,-0.952834,-0.067993,-0.197071,0.220563
0.204269,-5.251781,-1.757528,-0.907268,0.394057,-0.26082,-0.960801,-0.094827,-0.149682,0.213226
0.944804,-5.197961,-2.050993,-1.01527,0.453008,-0.378877,-0.964182,-0.12495,-0.102771,0.210186
1.70219,-4.811752,-2.192155,-1.17621,0.510964,-0.225515,-0.962353,-0.157018,-0.057168,0.214369
1.599422,-4.656586,-2.210904,-1.277272,0.394463,-0.209272,-0.956476,-0.189124,-0.013618,0.221812
1.256088,-4.33645,-2.082123,-1.520648,0.269247,-0.411438,-0.948692,-0.219604,0.027368,0.225851
1.616201,-3.834507,-1.98076,-1.657017,0.342529,-0.550117,-0.938977,-0.247425,0.064485,0.230095
2.073924,-3.279817,-1.842837,-1.737169,0.473852,-0.499438,-0.926711,-0.272031,0.098066,0.239977
1.977312,-2.716045,-1.567293,-1.95474,0.450876,-0.574148,-0.913535,-0.29294,0.127132,0.251948
2.471244,-1.961092,-1.25829,-2.212882,0.538126,-0.708848,-0.900458,-0.308725,0.151133,0.266501
2.642286,-1.355825,-1.104685,-2.504252,0.745201,-1.022596,-0.886838,-0.319493,0.171015,0.286701
2.846477,-0.363961,-0.663978,-3.31129,0.987736,-1.481965,-0.874565,-0.325789,0.184749,0.308002
4.712225,2.087745,-0.021566,-4.487631,1.656401,-1.770849,-0.862869,-0.318782,0.188772,0.343804
4.081927,5.043185,0.452617,-5.228182,1.824951,-1.760811,-0.852398,-0.295227,0.17427,0.394828
0.208345,8.231464,1.415936,-5.24428,0.292305,-1.662991,-0.855581,-0.255982,0.127868,0.431399
-3.994416,11.564402,2.706568,-4.176193,-1.618396,-0.995818,-0.87765,-0.196949,0.04683,0.434451
-3.179898,16.160368,3.385256,-3.590271,-1.265666,0.541809,-0.898969,-0.11065,-0.067582,0.418382
5.282327,22.169594,2.167037,-2.769311,0.235363,3.327147,-0.870263,-0.003677,-0.228779,0.436221
1.398716,24.857233,-1.748532,-2.239521,0.684638,3.210394,-0.776072,0.092052,-0.428716,0.453257
-2.322091,19.968752,2.025147,-2.833584,-2.676197,-0.080481,-0.662187,0.196877,-0.590761,0.416832
-0.686129,17.31583,1.671327,-3.040354,-0.118907,-0.99566,-0.546321,0.293047,-0.690934,0.371843
-0.323708,14.030954,1.212825,-3.995553,0.123823,0.475997,-0.428074,0.356737,-0.761856,0.330254
-3.109978,10.922236,0.219639,-3.50738,0.140466,2.47815,-0.332879,0.410742,-0.800488,0.282315
-5.515587,7.856063,-0.473542,-2.74174,0.043474,2.695049,-0.269331,0.470134,-0.809349,0.226692
-5.323394,4.955116,-0.428875,-1.979002,-0.592907,2.323459,-0.231819,0.527343,-0.798062,0.176822
-2.26642,2.690995,-0.135161,-1.442781,-1.33747,2.029668,-0.210153,0.563962,-0.78524,0.145533
1.484538,1.310105,0.037101,-1.042914,-1.553794,1.902574,-0.195661,0.569369,-0.787246,0.133339
4.055213,0.522917,0.22644,-0.611265,-1.48182,1.913767,-0.184043,0.547653,-0.804979,0.134954
4.837683,-0.049967,0.415077,-0.263512,-1.270535,2.060524,-0.174152,0.511228,-0.829102,0.144594
4.34858,-0.629575,0.503632,0.071735,-1.064612,2.053664,-0.16765,0.472398,-0.850715,0.15817
3.423573,-1.145178,0.490624,0.311108,-0.84874,1.92527,-0.166648,0.438435,-0.866065,0.173015
2.560301,-1.418805,0.407305,0.555553,-0.718612,1.770954,-0.170697,0.411016,-0.875656,0.187495
2.051746,-1.995165,0.085179,0.850796,-0.674775,1.623841,-0.17988,0.388293,-0.881248,0.200683
1.619641,-2.581908,-0.295506,1.009063,-0.573256,1.418259,-0.196734,0.367321,-0.884046,0.211741
1.536257,-2.897907,-0.617173,0.998818,-0.477592,1.272601,-0.21935,0.346715,-0.884864,0.22066
1.550153,-3.25141,-0.96643,1.058156,-0.308067,1.139973,-0.245443,0.324002,-0.884868,0.227572
0.896934,-3.666555,-1.148854,1.109186,-0.114532,1.000876,-0.276372,0.302098,-0.882304,0.232153
0.282816,-4.104388,-1.421401,1.068515,-0.156569,0.874033,-0.312913,0.283929,-0.875604,0.234068
-0.099524,-4.583884,-1.5836,1.059997,-0.021213,0.802404,-0.354501,0.268135,-0.864916,0.233135
-0.357671,-5.060013,-1.738627,1.006688,0.214271,0.714874,-0.400802,0.252569,-0.84994,0.230584
-0.49291,-5.05371,-1.820864,0.854788,0.420453,0.568335,-0.449049,0.237247,-0.831243,0.226061
-0.085922,-4.679322,-1.785706,0.731022,0.483176,0.380962,-0.493703,0.220599,-0.811676,0.220852
0.303913,-4.992382,-1.695272,0.720719,0.402955,0.344773,-0.535318,0.200465,-0.791188,0.217418
0.257305,-5.531261,-1.549437,0.655651,0.422072,0.207713,-0.579248,0.177097,-0.76571,0.216324
-0.021498,-5.480442,-1.331014,0.446747,0.59857,-0.037364,-0.623014,0.155335,-0.73572,0.215502
-0.263194,-5.080914,-1.121572,0.346507,0.618662,-0.255409,-0.663065,0.136747,-0.704343,0.213417
