loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-04-14 20:05:09.389 +0100|78125.681268|-0.021408|-0.091949|-0.976959|78125.661306|0.408738|-0.048169|0.066806|-0.24676|0.069865|-0.149875|-0.02085|0.001297|0.004623|XArbitraryZVertical|0.037577|-0.016792|0.20199|0.978522|-0.048043|-0.066756|-0.996612|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.404 +0100|78125.701229|-0.033905|-0.04216|-0.966568|78125.681268|0.404674|-0.047589|0.061426|-0.323038|0.013478|-0.249302|0.00909|-0.031888|0.013174|XArbitraryZVertical|0.034852|-0.017127|0.200092|0.979007|-0.047482|-0.061388|-0.996984|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.405 +0100|78125.721191|-0.066284|-0.008759|-0.963974|78125.701229|0.39813|-0.046695|0.054376|-0.460292|-0.04105|-0.335462|0.023904|-0.007097|0.030423|XArbitraryZVertical|0.031256|-0.017501|0.197004|0.979748|-0.046609|-0.054349|-0.997434|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.406 +0100|78125.741152|-0.063416|-0.025284|-0.963943|78125.721191|0.391103|-0.046331|0.049489|-0.167289|-0.039733|-0.325485|-0.016487|0.039537|0.027321|XArbitraryZVertical|0.028763|-0.017909|0.193634|0.980489|-0.046257|-0.049469|-0.997704|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.424 +0100|78125.761114|-0.044647|-0.045181|-0.959381|78125.741152|0.385064|-0.047035|0.049934|0.11099|-0.05538|-0.275406|-0.01876|0.025455|0.033507|XArbitraryZVertical|0.028995|-0.018298|0.190656|0.981058|-0.046959|-0.049913|-0.997649|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.444 +0100|78125.781075|-0.048111|-0.051086|-0.985764|78125.761114|0.380872|-0.048842|0.053586|0.150768|-0.100345|-0.15677|0.001954|0.013507|0.037657|XArbitraryZVertical|0.030918|-0.018899|0.18852|0.981401|-0.048752|-0.05356|-0.997374|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.464 +0100|78125.801037|-0.053543|-0.036926|-1.013962|78125.781075|0.378521|-0.050141|0.057189|0.13904|-0.098246|-0.087606|0.0006|0.006454|0.016428|XArbitraryZVertical|0.032785|-0.019233|0.187293|0.981568|-0.050038|-0.057158|-0.99711|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.484 +0100|78125.820998|-0.055954|-0.062988|-1.020889|78125.801037|0.377217|-0.052382|0.060149|0.218351|-0.119675|-0.051484|0.000948|0.024134|-0.009815|XArbitraryZVertical|0.034435|-0.020076|0.18657|0.981633|-0.052263|-0.060113|-0.996822|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.504 +0100|78125.84096|-0.063065|-0.091522|-1.013489|78125.820998|0.377128|-0.055047|0.063313|0.189115|-0.119485|0.002676|-0.003273|0.011194|-0.023321|XArbitraryZVertical|0.036234|-0.021088|0.186428|0.981574|-0.054909|-0.063271|-0.996485|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 20:05:09.524 +0100|78125.860921|-0.067596|-0.079193|-1.009064|78125.84096|0.377517|-0.057612|0.065591|0.110513|-0.134545|0.011715|-0.000528|-0.026664|-0.017112|XArbitraryZVertical|0.037595|-0.022125|0.186533|0.98148|-0.057456|-0.065544|-0.996194|0.0|0.0|0.0|-1.0|-1.0|3
