loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-03-03 00:38:24.905 +0000|217632.8439424167|-0.165985107421875|-0.1050872802734375|-0.9252166748046875|217632.8239814167|-0.952220569407509|-0.1116687988170591|0.1109053437914252|-0.02628092654049397|0.05680826306343079|0.08887315541505814|0.06854637712240219|0.06358948349952698|-0.01123523712158203|XArbitraryZVertical|0.02364573180134677|-0.07488548295573265|-0.4596568744774353|0.8846178663419679|-0.1107522249221802|-0.1106781288981438|-0.9876660704612732|0|0|0|-1|-1|3
2021-03-03 00:38:24.907 +0000|217632.8639034167|-0.0025177001953125|-0.15106201171875|-0.9639739990234375|217632.8439424167|-0.9499730914173952|-0.1107558239888285|0.1104390829533441|-0.0118341101333499|0.1769500076770782|0.1109068989753723|-0.02974653989076614|-0.009139560163021088|0.05144715309143066|XArbitraryZVertical|0.0237322230371474|-0.07434915422669355|-0.4586460721569529|0.8851851814630449|-0.1098561584949493|-0.1102147176861763|-0.9878179430961609|0|0|0|-1|-1|3
2021-03-03 00:38:24.908 +0000|217632.8838644167|-0.11016845703125|-0.1334686279296875|-0.971771240234375|217632.8639034167|-0.9494022869841265|-0.1078232966321672|0.1089803310996247|-0.137304961681366|0.02398021891713142|-0.001281422795727849|0.07140780240297318|-0.03094476461410522|0.03893858194351196|XArbitraryZVertical|0.02377774695423331|-0.07271371047933325|-0.4583414298589212|0.8854776240982694|-0.1069760769605637|-0.1087647378444672|-0.9882946610450745|0|0|0|-1|-1|3
2021-03-03 00:38:24.909 +0000|217632.9038264167|-0.0782012939453125|-0.1190948486328125|-0.9976806640625|217632.8838644167|-0.9500497480007589|-0.1085194009653836|0.106115578050133|-0.1437772512435913|0.04762536287307739|-0.06399966031312943|0.005188725888729095|-0.03136681020259857|0.01663237810134888|XArbitraryZVertical|0.02232259430594761|-0.07238005535670415|-0.4586024930718211|0.885407610860122|-0.1076973080635071|-0.1059165373444557|-0.9885256290435791|0|0|0|-1|-1|3
2021-03-03 00:38:24.920 +0000|217632.9237874167|-0.0930023193359375|-0.1023406982421875|-0.9903106689453125|217632.9038264167|-0.9507216082126444|-0.1089330753370951|0.1022343895558483|-0.1421482115983963|0.01334217097610235|0.01258228439837694|0.04156071692705154|-0.01786245405673981|-0.008889973163604736|XArbitraryZVertical|0.02048030283095173|-0.07168993119238214|-0.4588568703493872|0.8853764975373963|-0.1081501021981239|-0.1020563915371895|-0.9888822436332703|0|0|0|-1|-1|3
2021-03-03 00:38:24.940 +0000|217632.9437484167|-0.104400634765625|-0.1019287109375|-0.982147216796875|217632.9237874167|-0.9505822742068091|-0.1075234735919721|0.1006005822397029|-0.07662114500999451|0.04148049280047417|0.03567739203572273|0.006233617663383484|-0.0005669668316841125|0.000718533992767334|XArbitraryZVertical|0.02008325664026796|-0.07069363672763444|-0.4587605791623935|0.8855155719178973|-0.106773816049099|-0.1004309803247452|-0.9891981482505798|0|0|0|-1|-1|3
2021-03-03 00:38:24.960 +0000|217632.9637094167|-0.09625244140625|-0.10223388671875|-0.96905517578125|217632.9637094167|-0.947836165795347|-0.1045299434580298|0.101007071950918|0.01284766755998135|0.08488229662179947|0.08407821506261826|-0.001874528825283051|0.00163799524307251|0.01744204759597778|XArbitraryZVertical|0.02104572962387509|-0.06943160190156025|-0.4575183384850383|0.8862354744665287|-0.1038078814744949|-0.1008354052901268|-0.9894726872444153|0|0|0|-1|-1|3
2021-03-03 00:38:24.980 +0000|217632.9836704167|-0.0827789306640625|-0.099395751953125|-0.975494384765625||||||||||||||||||||||||3
2021-03-03 00:38:25.000 +0000|217633.0036324167|-0.096160888671875|-0.0758514404296875|-0.9948577880859375|217632.9836704167|-0.9464699428260509|-0.1031757431867181|0.1013089578901282|-0.01169206388294697|0.02256150171160698|0.06212551146745682|0.02249335497617722|-0.007003307342529297|0.01630014181137085|XArbitraryZVertical|0.0215367111411955|-0.06888516975993172|-0.4569018702858012|0.8865843827092083|-0.1024647057056427|-0.1011357456445694|-0.9895820021629333|0|0|0|-1|-1|3
2021-03-03 00:38:25.020 +0000|217633.0235934167|-0.0952301025390625|-0.073089599609375|-1.005126953125|217633.0036324167|-0.9457362043910034|-0.1027653232452171|0.1014275132543302|0.02743724547326565|0.0145840011537075|0.01374688465148211|0.005209751427173615|0.0219842717051506|0.001636028289794922|XArbitraryZVertical|0.02170837697866356|-0.06872209211560031|-0.4565735169188628|0.8867618602226703|-0.1020573228597641|-0.1012536957859993|-0.9896120429039001|0|0|0|-1|-1|3
2021-03-03 00:38:25.040 +0000|217633.0435544167|-0.104705810546875|-0.077911376953125|-1.00140380859375|217633.0235934167|-0.9458186129985883|-0.1022765928697725|0.1025107766808398|0.07474778592586517|0.002101287245750427|-0.03764377906918526|0.003661967813968658|0.03154578059911728|-0.01363694667816162|XArbitraryZVertical|0.02229869971058621|-0.06875109055262639|-0.4566167731890054|0.886722788174313|-0.1015623956918716|-0.1023313328623772|-0.9895521402359009|0|0|0|-1|-1|3
2021-03-03 00:38:25.060 +0000|217633.0635154167|-0.0996856689453125|-0.088104248046875|-0.9940185546875|217633.0435544167|-0.9465548458436932|-0.1026875339531271|0.1044102830593899|0.1093776375055313|-0.01822156086564064|-0.04645547270774841|0.005726970732212067|0.02846077084541321|-0.0156591534614563|XArbitraryZVertical|0.02302376113084616|-0.06937096671915967|-0.4569687044545602|0.8864746232883063|-0.1019489243626595|-0.1042206808924675|-0.9893151521682739|0|0|0|-1|-1|3
