loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-04-12 20:24:55.004 +0100|60641.561189|-0.125504|-0.07196|-1.014877|60641.556199|2.881142|-0.042666|0.034979|0.264435|0.058158|-0.03286|-0.036779|0.038069|-0.033839|XArbitraryZVertical|-0.023418|-0.014567|-0.991107|-0.130178|-0.042627|-0.034972|-0.998479|0|0|0|-1|-1|3
2021-04-12 20:24:55.006 +0100|60641.581151|-0.010254|-0.057266|-1.012466|60641.576161|2.881219|-0.043234|0.036897|-0.023349|-0.002293|0.03605|0.036356|-0.072624|-0.014142|XArbitraryZVertical|-0.023823|-0.015482|-0.991086|-0.130162|-0.043191|-0.036889|-0.998386|0|0|0|-1|-1|3
2021-04-12 20:24:55.007 +0100|60641.601114|-0.070312|-0.020966|-1.02269|60641.596123|2.881809|-0.041626|0.037122|0.030215|0.030451|0.01906|-0.02334|0.017323|-0.025511|XArbitraryZVertical|-0.023036|-0.015705|-0.99114|-0.12986|-0.041586|-0.037114|-0.998445|0|0|0|-1|-1|3
2021-04-12 20:24:55.008 +0100|60641.621076|-0.037842|-0.052917|-1.008514|60641.616085|2.882203|-0.039867|0.037486|0.038475|0.043394|0.027946|-0.005626|-0.002364|-0.015092|XArbitraryZVertical|-0.022185|-0.016004|-0.991182|-0.129654|-0.039829|-0.037478|-0.998503|0|0|0|-1|-1|3
2021-04-12 20:24:55.014 +0100|60641.641038|-0.046005|-0.053574|-1.004333|60641.636047|2.88273|-0.03925|0.036866|-0.008341|0.055054|0.019457|-0.007768|-0.017022|-0.004928|XArbitraryZVertical|-0.021835|-0.015742|-0.991229|-0.129382|-0.039213|-0.036858|-0.998551|0|0|0|-1|-1|3
2021-04-12 20:24:55.033 +0100|60641.661|-0.035675|-0.036896|-0.999023|60641.656009|2.883291|-0.038499|0.037478|-0.017512|0.065681|0.035739|0.000942|-0.014136|-0.004159|XArbitraryZVertical|-0.021497|-0.0161|-0.991267|-0.129103|-0.038462|-0.03747|-0.998557|0|0|0|-1|-1|3
2021-04-12 20:24:55.053 +0100|60641.680962|-0.03302|-0.028931|-0.990494|60641.675971|2.88394|-0.037136|0.03736|-0.001484|0.066376|0.033434|0.001198|0.00752|0.002138|XArbitraryZVertical|-0.020809|-0.016136|-0.991325|-0.12877|-0.037101|-0.037352|-0.998613|0|0|0|-1|-1|3
2021-04-12 20:24:55.073 +0100|60641.700924|-0.031769|-0.019745|-0.983429|60641.695933|2.884713|-0.036244|0.037104|-0.001575|0.062586|0.039523|0.002581|0.012559|0.011824|XArbitraryZVertical|-0.020344|-0.016075|-0.991386|-0.128377|-0.036211|-0.037096|-0.998655|0|0|0|-1|-1|3
2021-04-12 20:24:55.093 +0100|60641.720885|-0.026489|-0.034988|-0.991791|60641.715894|2.885372|-0.035191|0.037601|0.031188|0.064725|0.014322|0.000644|0.019663|0.01169|XArbitraryZVertical|-0.019849|-0.016395|-0.991434|-0.128046|-0.035159|-0.037593|-0.998674|0|0|0|-1|-1|3
2021-04-12 20:24:55.113 +0100|60641.740847|-0.023209|-0.048187|-0.992355|60641.735856|2.88608|-0.034411|0.038397|0.037389|0.032508|0.034345|0.032594|-0.000141|0.010314|XArbitraryZVertical|-0.019507|-0.016847|-0.991479|-0.127694|-0.034379|-0.038388|-0.998671|0|0|0|-1|-1|3
