loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|label
2021-04-14 19:28:05.059 +0100|76269.778553|0.115738|-0.237549|-0.9198|76269.758591|0.034195|0.154807|0.186765|0.165968|0.04886|-0.189984|-0.042866|-0.018877|-0.026837|XArbitraryZVertical|0.091638|0.078567|0.02418|0.992394|0.151508|-0.185681|-0.970859|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.078 +0100|76269.798514|0.138565|-0.18071|-0.933563|76269.778553|0.031759|0.155807|0.190357|0.060303|0.000913|-0.077291|-0.033982|-0.078216|0.036235|XArbitraryZVertical|0.093504|0.078967|0.023154|0.992212|0.152374|-0.189209|-0.970042|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.091 +0100|76269.818475|0.12764|-0.188065|-0.932083|76269.818475|0.029296|0.15514|0.196796|0.198944|-0.036326|-0.022909|-0.023759|0.008746|0.043245|XArbitraryZVertical|0.096804|0.078544|0.022145|0.991953|0.151536|-0.195528|-0.96892|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.092 +0100|76269.838437|0.141068|-0.23262|-0.947357||||||||||||||||||||||||3
2021-04-14 19:28:05.099 +0100|76269.858398|0.132706|-0.252548|-0.965363|76269.838437|0.02853|0.153393|0.199869|0.095897|-0.066303|-0.008807|-0.01056|-0.027197|0.030566|XArbitraryZVertical|0.098377|0.07765|0.021795|0.991876|0.14975|-0.198541|-0.968585|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.119 +0100|76269.878359|0.169937|-0.220764|-0.972275|76269.858398|0.029117|0.151296|0.19886|-0.145687|-0.076464|0.053628|-0.012419|-0.049181|0.003457|XArbitraryZVertical|0.097877|0.076636|0.021946|0.992001|0.147749|-0.197552|-0.969094|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.139 +0100|76269.898321|0.147491|-0.216873|-0.974335|76269.878359|0.029752|0.149286|0.194923|-0.244622|-0.092199|0.00705|0.020969|-0.02373|-0.004093|XArbitraryZVertical|0.095922|0.075655|0.02202|0.992265|0.145916|-0.193691|-0.970151|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.159 +0100|76269.918282|0.122925|-0.197021|-0.980637|76269.898321|0.030602|0.147291|0.189724|-0.281424|-0.087335|-0.02567|-0.010215|-0.041392|-0.003828|XArbitraryZVertical|0.093331|0.074685|0.022159|0.992583|0.144126|-0.188588|-0.971423|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.179 +0100|76269.938244|0.138687|-0.168564|-0.97847|76269.918282|0.031138|0.145577|0.185581|-0.200503|-0.07004|-0.019982|-0.015498|-0.017844|-0.011896|XArbitraryZVertical|0.091274|0.073842|0.022198|0.992836|0.142573|-0.184518|-0.972433|0.0|0.0|0.0|-1.0|-1.0|3
2021-04-14 19:28:05.199 +0100|76269.958204|0.136887|-0.182053|-0.977097|76269.938244|0.031295|0.144164|0.184682|-0.010053|-0.067739|0.00905|0.000394|0.002024|-0.004727|XArbitraryZVertical|0.090837|0.073143|0.02218|0.992928|0.141222|-0.183634|-0.972798|0.0|0.0|0.0|-1.0|-1.0|3
