"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-0.015626","-0.006644","0.02329","-0.024568","-0.060462","-0.041123","-0.065661","-0.074857","-0.018991","0.091676","0.354293","1.259398","0.704792","-0.663929","-0.506606","0.839825","-0.10877","-0.747761","-0.175534","-0.167151","0.356752","0.025294","-0.108725","-0.01604","-0.113546","-0.052528","-0.069713","-0.224089","-0.250951","-0.234373","-0.137052","-0.140535","-0.160833","-0.134699","0.030076","0.043267","0.16557","0.463644","0.511928","0.184426","0.090075","0.281155","0.372287","0.238333","-0.013766","-0.21357","2"
"0.294261","0.439894","0.128492","0.066046","0.191817","0.10616","-0.058104","-0.542148","-0.42949","-0.350124","-0.38297","0.410487","0.112904","0.36783","0.082952","-0.431245","0.977203","-0.380935","0.799268","0.352613","0.074822","0.357179","0.264012","-0.029562","-0.170829","-0.133953","-0.115762","-0.089743","-0.200853","-0.281688","-0.13579","-0.100499","0.112832","0.234847","0.194539","0.150545","0.182829","0.074936","0.116888","0.136614","0.216263","0.302447","0.110827","-0.073431","-0.146232","-0.176935","2"
"0.006685","0.029737","-0.04619","-0.423922","-0.691421","-0.785093","-0.82311","-0.743387","-0.725535","-0.362628","-0.025451","0.021738","0.419056","0.85555","0.526341","0.420619","-0.039915","0.080805","0.032284","0.280069","0.437214","0.204665","0.242473","0.385044","-0.00229","-0.161909","-0.126928","-0.024493","-0.044445","-0.111023","-0.274578","-0.263515","-0.021761","0.154497","0.074892","0.068151","0.285267","0.508261","0.509483","0.550925","0.493961","0.329377","0.303682","0.392578","0.300761","0.064333","2"
"-0.167345","0.042014","-0.19167","-0.31268","-0.45234","-0.47655","-0.178352","-0.606618","-0.853129","-0.29347","0.172054","0.507699","0.39963","0.220654","0.31464","0.793224","-0.279981","-0.188181","0.101916","0.00042","0.146384","0.277344","0.109196","-0.196382","-0.050551","-0.011996","-0.026298","-0.310618","-0.462905","-0.214413","-0.041081","0.002281","-0.01191","-0.042075","-0.023926","-0.022592","0.107636","0.085272","-0.1102","-0.170784","-0.098749","-0.108653","-0.193358","-0.120041","-0.029547","0.033489","2"
"-0.327913","-0.192283","-0.534322","-0.756649","-0.434427","-0.307093","-0.435633","-0.465423","-0.372518","0.258528","1.620565","0.962068","0.329751","0.199433","1.521075","0.679386","-0.452754","0.436156","0.817439","-0.690411","0.014623","0.388448","-0.31891","-0.314637","-0.488406","-0.307749","-0.282023","-0.240844","-0.156024","-0.213836","-0.315399","-0.236565","-0.159906","-0.102778","-0.258326","-0.355466","-0.128125","0.09096","0.168906","0.119471","0.084521","0.236612","0.354107","0.127298","-0.08773","0.008488","2"
"-0.446682","-0.548856","-0.580425","-0.246331","0.034042","-0.272109","-0.446619","-0.204069","-0.02874","0.44718","-0.045787","-0.095384","1.214048","0.278242","0.438504","1.195801","0.546752","-0.475219","-0.539714","0.06714","0.460278","0.182239","0.095343","-0.14746","-0.10807","-0.225766","-0.30462","-0.272773","-0.243024","-0.311872","-0.291682","-0.354168","-0.082077","0.108599","0.165496","0.286723","0.217688","0.298841","0.351288","0.225661","0.323944","0.201578","0.006814","-0.006303","0.030359","0.020102","2"
"-0.379855","-0.658548","-0.66197","-0.563622","-0.689205","-0.937119","-0.643216","-0.59817","-0.513663","-0.256887","-0.157701","0.55556","1.611177","0.537875","0.004972","0.657214","1.744972","0.599935","0.179484","0.051858","0.46777","0.04486","-0.109278","-0.161448","-0.099443","-0.272378","-0.371488","-0.334935","-0.305442","-0.266684","-0.114225","0.001751","0.105555","0.397929","0.563469","0.546672","0.411159","0.312802","0.264244","0.194776","0.024533","0.003287","-0.040989","-0.068845","-0.019515","-0.047614","2"
"-0.291509","-0.58494","-0.552783","-0.25265","-0.364313","-0.604109","-0.377265","-0.247634","0.191666","-0.106404","0.31432","1.392935","0.601952","0.359319","0.896008","1.405048","1.648826","-1.111729","0.642434","0.165144","0.10733","0.198517","0.005886","-0.208853","-0.319217","-0.373452","-0.255694","-0.184478","-0.216713","-0.170182","-0.102074","0.010565","0.135066","0.297565","0.35506","0.255465","0.179468","0.138667","0.046619","0.03513","0.005974","-0.058669","-0.14173","-0.212777","-0.133831","-0.083498","2"
"-0.469617","-0.505633","-0.608328","-0.618017","-0.504694","-0.368042","-0.453443","-0.209352","0.086043","-0.191084","0.51461","0.604929","0.443036","1.386883","0.803891","-0.16699","0.278409","-0.475996","-0.047426","0.593958","0.119962","0.061097","0.187412","0.084824","-0.103758","-0.125916","-0.198539","-0.265108","-0.2047","-0.329369","-0.201079","-0.046432","-0.025881","0.04427","0.376191","0.243605","0.169279","0.136191","0.305321","0.29421","0.047152","-0.115604","0.017306","0.131141","0.09559","0.003865","2"
"-0.631658","-0.548815","-0.461743","-0.654474","-0.802514","-0.519705","-0.21981","-0.122926","-0.068794","0.407125","0.170213","0.657345","0.71521","1.079046","0.383395","0.098527","0.963623","-0.389493","0.361638","0.185704","-0.084684","-0.02309","0.277275","0.025439","-0.28412","-0.29989","-0.125608","-0.19591","-0.35049","-0.431532","-0.465267","-0.251647","0.069747","0.20892","0.295054","0.543816","0.245658","0.020676","0.247279","0.356425","0.472125","0.31207","-0.092332","-0.216991","-0.084774","0.116583","2"
"-0.645951","-0.683468","-0.482294","-0.325472","-0.497528","-0.676063","-0.504179","-0.267357","-0.053813","0.069127","0.082759","0.451629","0.256158","-0.083359","0.462428","1.437231","0.694058","-0.042442","-0.472568","-0.15423","-0.129774","0.46895","-0.01394","-0.073803","0.035986","-0.230519","-0.429671","-0.313791","-0.276404","-0.392419","-0.313631","-0.216144","0.126243","0.303014","0.183648","0.285765","0.481042","0.415036","0.29837","0.254778","0.190736","0.183285","0.188361","0.092743","-0.003132","0.173734","2"
"-0.697962","-0.571418","-0.654655","-0.623524","-0.430848","-0.218736","-0.061555","-0.032662","0.022843","0.26038","0.512484","1.024308","0.724576","1.25368","0.540762","0.311577","0.073542","0.219516","-0.350066","-0.188769","-0.056725","-0.102508","-0.034633","-0.121932","-0.226158","-0.171416","-0.291522","-0.275822","-0.277608","-0.382461","-0.310197","-0.168432","-0.032484","0.12997","0.289147","0.427969","0.433","0.27179","0.150075","0.182261","0.178938","0.168093","0.071803","-0.233174","-0.289479","-0.131925","2"
