"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"-0.098292","-0.109988","-0.12983","-0.150942","-0.177676","-0.204895","-0.213825","-0.158843","0.065665","0.368757","0.715067","0.49508","0.129012","-0.000342","-0.312948","-1.218361","-0.648577","0.116166","0.274124","-0.008737","-0.370444","-0.482994","-0.35347","-0.3024","-0.204457","-0.265321","-0.418876","-0.49432","-0.517753","-0.495206","-0.477494","-0.442184","-0.299419","0.079438","0.401942","0.575534","0.595208","0.51585","0.490407","0.413053","0.195567","-0.119287","-0.374419","-0.402064","-0.308666","-0.134574","2"
"-0.280553","-0.585059","-0.673512","-0.689362","-0.748198","-0.67624","-0.529707","-0.190434","-0.085147","0.107227","0.439692","0.246554","-0.073982","-0.918463","-1.651948","-0.586966","-0.403133","0.478704","0.5235","0.673587","0.568867","0.326104","0.057712","-0.125443","-0.344051","-0.593396","-0.726735","-0.865891","-0.916835","-0.775214","-0.635093","-0.583632","-0.613877","-0.630421","-0.733728","-0.829243","-0.988732","-1.046556","-1.068589","-1.018589","-0.749792","-0.396387","0.026239","0.490599","0.910031","1.301608","2"
"-0.276519","-0.01506","0.078188","0.118206","0.181243","0.162428","-0.065254","-0.685872","-1.188059","-1.498676","-1.610661","-1.266008","-0.844097","-0.529746","-0.266472","-0.206081","-0.020651","0.22963","0.0266","-0.153976","-0.195502","0.030188","0.328052","0.381977","0.448301","0.509698","0.369149","0.06774","-0.314015","-0.548735","-0.654929","-0.665365","-0.743777","-0.826026","-0.66429","-0.613724","-0.609354","-0.629224","-0.557703","-0.682815","-0.964127","-1.208671","-1.245302","-1.11405","-0.906659","-0.453171","2"
"-0.388305","-0.377643","-0.194375","-0.166323","-0.154365","0.074215","0.056409","0.215719","0.473509","0.671047","0.750823","0.33268","-0.31747","-0.285173","-0.51689","-0.907118","-0.370071","-0.212209","-0.181037","-0.05979","-0.078469","-0.088175","0.001848","0.224925","0.32008","0.342074","0.133906","0.156238","0.404488","0.565764","0.609508","0.547957","0.362377","0.315446","0.148461","-0.088014","-0.495733","-0.827908","-1.036286","-1.032575","-0.926604","-0.67219","-0.231903","0.186624","0.572351","0.830421","2"
"0.415917","0.52618","0.695107","0.836273","0.684133","0.520766","0.529073","0.849168","0.967187","1.068907","0.926279","0.5348","0.097971","-0.389508","-1.758751","-2.44731","-0.112432","0.764891","1.185078","1.281054","0.493038","-0.089399","-0.046767","-0.02175","0.178143","0.312099","0.388769","0.178458","-0.177848","-0.47638","-0.685021","-0.829837","-0.847539","-0.764716","-0.532435","-0.261604","0.015461","0.435611","0.817217","1.009541","1.002329","0.983593","0.784318","0.359341","-0.056994","-0.40815","2"
"0.851294","0.70374","0.704754","0.389807","0.039343","0.013298","0.16018","-0.00518","-0.041778","-0.036497","0.29471","0.540788","0.125257","-0.115936","-0.187029","-0.695771","-0.769489","-0.50887","-0.203057","-0.467172","-0.935139","-0.918867","-0.924571","-0.587374","-0.219895","-0.00504","0.063643","-0.011613","-0.197684","-0.314425","-0.30897","-0.295369","-0.39213","-0.510411","-0.564222","-0.773603","-0.960079","-1.172573","-1.408231","-1.531834","-1.512645","-1.243252","-0.760041","-0.2689","0.221801","0.631176","2"
"0.692004","0.91509","1.087048","0.900185","0.564881","0.415216","0.035676","-0.253702","-0.295625","-0.095295","0.248674","0.389687","0.106445","0.106851","0.046363","0.353073","-0.802663","-1.422719","-0.654145","0.258022","0.632526","0.747704","0.508538","0.12465","-0.320126","-0.702521","-0.967951","-1.129329","-1.208855","-1.146526","-1.028663","-0.905087","-0.751113","-0.680958","-0.540081","-0.479385","-0.511315","-0.924802","-0.986446","-1.060471","-0.836113","-0.50381","-0.071324","0.422411","0.873472","1.285249","2"
"0.563616","0.847242","1.06289","1.046102","1.054561","1.229039","1.164167","1.204607","0.997911","0.754025","0.769525","0.592271","0.505726","0.651388","0.281367","-0.350586","-1.727859","-0.827285","-0.575372","-0.228108","-0.326684","-0.487869","-0.484378","-0.402143","-0.428918","-0.414411","-0.420315","-0.360239","-0.290443","-0.288415","-0.317653","-0.364251","-0.403802","-0.515613","-0.663877","-0.784119","-0.86192","-0.863086","-0.759616","-0.579856","-0.31153","-0.005023","0.326871","0.68337","1.076392","1.416804","2"
"0.191334","0.153019","0.237063","0.364545","0.273838","0.205178","0.296057","0.293207","0.27422","0.63216","0.704654","0.381428","0.171021","-0.496382","-0.932916","-0.541005","-0.570544","-0.596514","-0.768133","-0.975686","-1.014382","-0.791111","-0.472493","-0.259847","-0.155213","-0.192732","-0.263094","-0.297827","-0.326858","-0.383367","-0.414735","-0.413916","-0.466929","-0.565673","-0.801463","-1.011406","-1.180686","-1.32257","-1.468678","-1.48807","-1.310454","-0.803679","-0.325902","0.260715","0.838119","1.325953","2"
"0.734844","0.753788","0.664039","0.688311","0.575682","0.320128","0.207235","0.214099","0.495663","0.725757","1.073423","0.77613","0.584188","0.265804","0.1383","0.434478","-0.379678","-0.53619","-1.020817","-1.163286","-0.941454","-0.44482","-0.078236","0.044115","0.01709","-0.104215","-0.333519","-0.549856","-0.693229","-0.729226","-0.56434","-0.274395","-0.132069","-0.245571","-0.362083","-0.764815","-1.055117","-1.152843","-1.439729","-1.574419","-1.368331","-0.984878","-0.321841","0.387658","0.971019","1.460222","2"
